"","BIG.Open","BIG.High","BIG.Low","BIG.Close","BIG.Volume","BIG.Adjusted"
"1",44.82,44.98,44.490002,44.57,697200,43.704893
"2",44.540001,44.75,44.049999,44.52,668800,43.655864
"3",44.349998,44.580002,43.98,44.299999,484400,43.440133
"4",44.48,44.880001,44.259998,44.68,655700,43.812758
"5",44.220001,44.529999,43.93,44.349998,808700,43.489162
"6",44.419998,45.619999,44.419998,45.290001,688500,44.410919
"7",45.279999,45.48,44.740002,45.009998,542500,44.136351
"8",45.060001,45.240002,44.720001,45.049999,625500,44.175575
"9",45.02,45.279999,44.57,45.07,1468000,44.195188
"10",45.799999,46.060001,45.23,45.310001,419800,44.430531
"11",45.110001,45.220001,44.439999,44.599998,889000,43.734309
"12",44.59,45.18,44.360001,44.849998,810600,43.979457
"13",45.099998,45.139999,43.040001,44.290001,2222000,43.430329
"14",44.27,46.290001,44.02,46.169998,2744200,45.273835
"15",45.959999,46.16,45.279999,45.700001,952300,44.81296
"16",45.689999,46.360001,45.689999,45.98,870300,45.087524
"17",45.91,46.07,45.610001,45.75,536500,44.861989
"18",45.919998,46.389999,45.84,46.150002,366800,45.254227
"19",45.970001,46.119999,45.610001,45.68,494600,44.793348
"20",45.66,45.700001,44.84,45.040001,669500,44.165771
"21",44.990002,45.830002,44.950001,45.450001,499200,44.73667
"22",44.810001,45.540001,44.619999,45.220001,775400,44.51028
"23",45.049999,45.09,43.869999,44.290001,687900,43.594876
"24",44.5,45.07,44.349998,44.639999,583300,43.939381
"25",44.599998,44.75,44.220001,44.450001,430700,43.752364
"26",44.68,44.68,43.57,43.82,632600,43.132251
"27",43.84,43.860001,43.220001,43.389999,520100,42.709
"28",43.540001,44.18,43.279999,44.099998,560700,43.407855
"29",44,44.060001,43.290001,43.48,434900,42.797587
"30",43.560001,43.73,43.18,43.549999,700100,42.866488
"31",43.59,43.82,43.27,43.810001,498000,43.12241
"32",43.889999,44.57,43.889999,44.459999,702000,43.762206
"33",44.27,44.459999,43.59,43.650002,510300,42.964921
"34",43.869999,44.41,43.68,44.279999,780800,43.585031
"35",44.220001,44.57,43.849998,43.900002,875100,43.210997
"36",44.139999,44.77,43.880001,44.23,555000,43.535816
"37",43.98,44.400002,43.549999,43.75,650600,43.06335
"38",43.509998,43.66,42.900002,43.279999,1125600,42.600725
"39",43.419998,44.240002,43.32,44.09,609300,43.398014
"40",43.790001,44.560001,43.740002,44.09,388700,43.398014
"41",43.889999,44.77,43.810001,44.349998,487700,43.653932
"42",44.549999,44.639999,43.939999,44.150002,432900,43.457074
"43",44.48,46.110001,44.48,46.02,1229700,45.297723
"44",45.950001,46.32,45.560001,46.23,786800,45.504426
"45",46.18,46.330002,45.490002,45.77,480400,45.051647
"46",45.849998,46.299999,45.099998,46.150002,507900,45.425684
"47",46.290001,46.939999,46.060001,46.799999,581700,46.06548
"48",47.110001,47.209999,45.93,46.380001,721700,45.652074
"49",46.959999,47.459999,46.849998,47.130001,536300,46.390302
"50",47.41,47.759998,47.09,47.470001,483500,46.724966
"51",47.5,47.75,47.16,47.580002,568800,46.833241
"52",47.549999,47.549999,46.970001,47.150002,468500,46.409989
"53",47.25,47.470001,47.07,47.25,678700,46.508418
"54",47.529999,47.59,47.009998,47.380001,598000,46.636379
"55",47.619999,48.419998,47.560001,47.970001,870700,47.217119
"56",48.150002,48.52,47.82,47.959999,888500,47.207274
"57",47.790001,48.060001,47.09,47.200001,1320900,46.459204
"58",46.689999,46.75,45.720001,46.349998,3004800,45.622542
"59",46.490002,46.77,45.84,46.5,1094500,45.770189
"60",46.549999,46.549999,45.669998,45.799999,967500,45.081175
"61",45.98,46.16,45.68,45.919998,852400,45.19929
"62",45.82,46.459999,45.650002,46.450001,675500,45.720975
"63",46.439999,46.439999,45.919998,46.330002,778900,45.602859
"64",46.099998,46.700001,45.990002,46.369999,1035100,45.642228
"65",46.139999,46.299999,45.599998,46.139999,945700,45.582952
"66",45.84,46.669998,45.700001,46.599998,1399200,46.037398
"67",46.630001,47.16,46.43,47.130001,1000400,46.561001
"68",47.209999,47.32,46.57,46.700001,989600,46.136193
"69",46.619999,47.639999,46.369999,47.330002,1061300,46.758588
"70",47.259998,47.330002,46.540001,46.689999,700100,46.126311
"71",46.82,47.02,46.5,46.610001,433400,46.047279
"72",46.869999,46.869999,45.549999,45.66,1126000,45.108748
"73",45.66,45.759998,44.91,45.029999,544400,44.486352
"74",44.709999,45.220001,44.32,44.330002,803000,43.794807
"75",44.470001,44.799999,44.27,44.68,559100,44.14058
"76",44.580002,44.77,44.200001,44.599998,703500,44.061544
"77",44.580002,45.110001,44.540001,44.91,482200,44.367802
"78",44.549999,45.040001,44.349998,44.830002,491200,44.28877
"79",44.73,44.73,43.009998,43.049999,1273100,42.530257
"80",42.939999,43.150002,42.509998,42.75,1402000,42.23388
"81",42.66,43.040001,41.689999,42.779999,1162700,42.263517
"82",43.16,44.889999,42.779999,44.459999,1692600,43.923234
"83",44.560001,44.630001,43.849998,43.919998,928400,43.389753
"84",43.700001,44.130001,43.419998,43.43,912400,42.905671
"85",43.52,44.98,43.279999,44.889999,1071600,44.348043
"86",44.82,44.900002,43.880001,44.330002,1278900,43.794807
"87",44.189999,44.919998,43.740002,44.400002,1628400,43.863961
"88",44.220001,44.349998,43.419998,43.48,1273700,42.955066
"89",43.700001,44.349998,43.290001,44.259998,1410300,43.725648
"90",43.73,44.029999,42.740002,43.049999,1578800,42.530257
"91",42,42.790001,41.23,42.650002,1527500,42.135089
"92",43.369999,44.639999,43.18,44.330002,1426700,43.794807
"93",44.310001,45.490002,44.27,45.349998,938600,44.802489
"94",45.580002,46.790001,45.439999,46.099998,1444500,45.543434
"95",46.32,46.639999,45.560001,45.599998,799600,45.049471
"96",45.900002,46.380001,45.560001,45.799999,912600,45.247057
"97",45.709999,45.919998,45.25,45.580002,719800,45.029715
"98",45.41,45.580002,44.889999,45.110001,988600,44.565388
"99",45.150002,45.419998,44.889999,45.41,1047500,44.861766
"100",45.389999,45.779999,44.82,44.82,1421700,44.278889
"101",44.68,45.23,44.68,44.950001,919500,44.40732
"102",45.709999,45.889999,45.119999,45.650002,1415700,45.09887
"103",45.68,45.84,45.299999,45.610001,613300,45.059352
"104",45.709999,45.900002,44.880001,44.939999,859200,44.397439
"105",45.25,45.630001,44.490002,44.490002,1274400,43.952875
"106",44.66,46.540001,44.360001,46.009998,1746800,45.454521
"107",46.040001,47.200001,45.900002,47.139999,1013100,46.570879
"108",47.040001,47.439999,46.830002,47,615200,46.43257
"109",47,47.41,46.82,47.07,547500,46.501725
"110",47.040001,48.459999,47.040001,48.389999,642800,47.805788
"111",48.560001,50,48.299999,49.75,2288400,49.149369
"112",49.650002,50.529999,49.52,49.790001,1151700,49.188887
"113",49.549999,49.970001,47.48,47.619999,1390100,47.045084
"114",47.490002,48.619999,47.470001,48.23,1028700,47.64772
"115",48.189999,48.759998,47.709999,48.59,513500,48.003374
"116",48.630001,50.470001,48.630001,50.32,1140200,49.712487
"117",50.759998,50.830002,50,50.25,1185400,49.643333
"118",50.290001,50.919998,50.119999,50.439999,767300,49.831038
"119",50.560001,50.75,50.02,50.139999,708000,49.53466
"120",50.240002,50.490002,49.709999,49.799999,682600,49.198765
"121",49.799999,51.75,49.799999,50.799999,567700,50.186692
"122",48.580002,48.59,47.139999,47.57,1751600,46.995688
"123",48.049999,48.779999,47.439999,47.919998,1021100,47.341461
"124",48.07,48.709999,47.82,48.540001,956600,47.953978
"125",48.299999,48.540001,47.459999,47.950001,1565200,47.371101
"126",44.490002,44.529999,39.939999,40,9258000,39.517081
"127",39.740002,41.529999,39.59,41.25,3607900,40.75199
"128",40.599998,41.41,39.91,41.18,1982800,40.682835
"129",41.259998,41.470001,39.900002,39.970001,1337000,39.487444
"130",40.119999,41.150002,40.060001,40.669998,1546900,40.17899
"131",40.189999,40.82,39.73,39.98,1138500,39.663114
"132",40.290001,40.349998,38.549999,38.799999,2068600,38.492466
"133",38.990002,39.139999,38.150002,38.380001,1631600,38.075797
"134",38.709999,39.869999,38.459999,39.759998,1116100,39.444856
"135",40.169998,40.200001,39.5,39.790001,1056800,39.474621
"136",39.849998,39.849998,38.189999,38.389999,2631200,38.085716
"137",38.5,38.950001,38.32,38.919998,941300,38.611514
"138",39.07,39.490002,38.59,38.610001,871500,38.303974
"139",38.709999,39.59,38.630001,39.310001,499500,38.998426
"140",39.299999,39.459999,38.799999,38.939999,563700,38.631356
"141",38.939999,39.349998,38.650002,39.09,869600,38.780169
"142",39.18,40.470001,39.060001,40.150002,917800,39.831768
"143",40.189999,41.119999,40,40.02,800700,39.702798
"144",40.360001,40.459999,38.98,39.290001,608300,38.978584
"145",39.07,40.139999,38.77,39.740002,1601900,39.425018
"146",39.689999,40.099998,38.740002,39.310001,1896100,38.998426
"147",39.709999,41.720001,39.709999,41.630001,2196400,41.300037
"148",42.060001,43.849998,42.009998,43.759998,2345700,43.413152
"149",43.59,44.16,43.009998,43.689999,1762300,43.343707
"150",43.91,44.619999,43.080002,44.43,1623000,44.077843
"151",44.689999,46.200001,44.279999,44.630001,2007600,44.276259
"152",44.459999,45.650002,43.849998,45.380001,1519600,45.020314
"153",45.509998,45.950001,44.220001,44.73,1472700,44.375465
"154",44.700001,45.619999,44.419998,45.549999,1006700,45.188965
"155",45.650002,45.650002,43.639999,44.139999,945800,43.790141
"156",44.240002,44.900002,43.959999,44.529999,915700,44.177049
"157",44.619999,45.540001,44.48,45.169998,972700,44.811976
"158",45.290001,47.029999,44.720001,46.759998,1122400,46.389374
"159",46.619999,47.540001,46.25,47.450001,903900,47.073907
"160",47.110001,47.959999,46.68,47.599998,930100,47.222716
"161",47.959999,48.220001,46.07,46.099998,1140000,45.734605
"162",46.32,46.900002,45.759998,46.799999,830700,46.429057
"163",46.540001,46.759998,45.400002,45.91,951900,45.546112
"164",45.900002,46.220001,44.450001,46.09,858200,45.724686
"165",46.09,47.25,46.009998,47.200001,721200,46.825889
"166",46.790001,47.75,46.700001,47.48,754500,47.103668
"167",47.52,48,47.009998,47.450001,637500,47.073907
"168",47.490002,47.77,47.02,47.580002,456700,47.202878
"169",47.380001,47.650002,46.93,46.959999,587600,46.587789
"170",47.41,47.91,46.959999,47.650002,501100,47.272323
"171",47.73,48.139999,47.310001,47.779999,545700,47.401289
"172",47.950001,48.16,47.290001,48.080002,373700,47.698915
"173",48.110001,48.380001,46.82,47.02,937400,46.647315
"174",46.669998,48.09,46.41,48.060001,1439600,47.679073
"175",47.849998,48.689999,47.75,48.5,469100,48.115584
"176",48.259998,48.830002,48.029999,48.209999,421000,47.827881
"177",48.029999,48.59,47.93,48.27,576000,47.887407
"178",48.470001,48.91,47.950001,48.130001,468000,47.748518
"179",48.5,48.91,48.23,48.580002,458300,48.194952
"180",48.630001,48.799999,48,48.09,563400,47.708834
