"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"1",51.599998,53.200001,51.599998,53.060001,6589800,53.060001
"2",52.689999,53.610001,52.5,53.310001,4151400,53.310001
"3",53.169998,53.57,52.630001,53.040001,3626800,53.040001
"4",53.130001,54.389999,52.75,54.310001,5127700,54.310001
"5",53.16,54.73,52.52,54.610001,6994100,54.610001
"6",54.299999,58,54.25,57.82,13418900,57.82
"7",57.59,57.939999,56.740002,57.759998,6043400,57.759998
"8",57.970001,58.619999,57.509998,57.880001,4735800,57.880001
"9",57.970001,57.970001,57.009998,57.509998,5955600,57.509998
"10",57.450001,58.23,56.75,58,3897100,58
"11",58.09,58.220001,57.080002,57.459999,7784300,57.459999
"12",57.110001,57.68,56.630001,57.41,3233100,57.41
"13",57.599998,57.98,56.889999,57.169998,3048800,57.169998
"14",56.93,57.59,56.919998,57.380001,3288100,57.380001
"15",57.349998,58.630001,57.349998,58.080002,5393200,58.080002
"16",58.240002,59.490002,58.169998,59.200001,5288500,59.200001
"17",59.169998,59.48,58.669998,58.91,3621800,58.91
"18",59,59.080002,57.959999,58.759998,2415000,58.759998
"19",58.720001,58.720001,57.189999,57.34,4332400,57.34
"20",57.34,57.34,54.07,54.889999,9256400,54.889999
"21",55.099998,55.470001,54.18,54.599998,4227400,54.599998
"22",53.41,55.040001,53.299999,54.299999,4437400,54.299999
"23",54.5,54.790001,53.75,54.209999,2521500,54.209999
"24",54.689999,55.200001,54.040001,54.73,3004800,54.73
"25",54.77,54.959999,53.16,53.740002,4646700,53.740002
"26",53.990002,54.25,53.68,53.950001,2537400,53.950001
"27",53.619999,54.279999,52.48,52.639999,4800100,52.639999
"28",52.98,54.27,52.720001,53.5,3597800,53.5
"29",53.25,53.48,52.580002,53.32,2662700,53.32
"30",53.529999,54,53.41,53.599998,2991500,53.599998
"31",53.959999,53.970001,53.18,53.599998,3209400,53.599998
"32",53.700001,54.709999,53.669998,54.060001,3122800,54.060001
"33",53.889999,55.369999,53.59,54.889999,4911200,54.889999
"34",54.740002,55.200001,53.860001,54,4017700,54
"35",54.259998,55.16,53.639999,54.830002,3704400,54.830002
"36",55.09,56.490002,55.040001,56.25,3881200,56.25
"37",55.68,55.91,54.150002,54.25,4291100,54.25
"38",54.330002,54.75,52.91,53.48,4311800,53.48
"39",53.889999,55.150002,53.779999,54.900002,3499900,54.900002
"40",54.619999,55.330002,54.029999,54.299999,3379200,54.299999
"41",54.099998,54.919998,53.560001,53.889999,2606600,53.889999
"42",54.169998,54.740002,53.360001,53.75,2754000,53.75
"43",53.91,54.540001,53.529999,54.439999,2516700,54.439999
"44",54.68,55.18,54.459999,54.869999,2573500,54.869999
"45",54.389999,54.490002,52.5,52.75,6298600,52.75
"46",53.029999,53.490002,52.740002,52.82,4714700,52.82
"47",53.150002,53.75,52.82,53.509998,4855700,53.509998
"48",53.84,54.049999,53.02,53.630001,4697000,53.630001
"49",54.110001,54.630001,53.900002,54.380001,4757300,54.380001
"50",54.529999,55.209999,54.43,54.959999,4713500,54.959999
"51",55.380001,55.560001,54.639999,55.389999,5057600,55.389999
"52",55.650002,56.049999,54.889999,55.709999,9544200,55.709999
"53",57.889999,61.009998,57.77,59.799999,25342200,59.799999
"54",59.34,59.689999,58.540001,59.23,7388400,59.23
"55",58.810001,59.860001,58.380001,59.639999,5760900,59.639999
"56",59.419998,60.599998,59.32,59.580002,5347600,59.580002
"57",58.150002,59.029999,57.799999,58.290001,5848400,58.290001
"58",58.060001,59.889999,57.93,59.09,5603900,59.09
"59",59.200001,60.110001,59.110001,59.849998,5268100,59.849998
"60",60.009998,60.369999,58.830002,59.029999,3935200,59.029999
"61",59.18,59.869999,58.849998,59.080002,4244200,59.080002
"62",58.970001,59.889999,58.75,59.810001,2789700,59.810001
"63",59.82,61,59.77,60.360001,3976900,60.360001
"64",60.5,60.93,59.580002,59.66,4419500,59.66
"65",59.810001,60.720001,59.509998,60.700001,2744000,60.700001
"66",60.389999,61.439999,60.119999,61.209999,4437000,61.209999
"67",60.91,61.049999,59.060001,59.25,5833500,59.25
"68",59.150002,59.150002,56.830002,57.57,5678500,57.57
"69",57.459999,57.950001,57.02,57.610001,4062100,57.610001
"70",57.459999,58.060001,56.990002,57.450001,4674700,57.450001
"71",57.900002,57.93,57.189999,57.66,3573200,57.66
"72",58.32,58.799999,57.73,58.240002,6455500,58.240002
"73",58.049999,58.23,56.599998,57.32,5440900,57.32
"74",57.18,57.799999,56.799999,56.810001,4010800,56.810001
"75",56.950001,57.84,56.599998,57.66,4153700,57.66
"76",57.560001,57.779999,55.799999,55.919998,4901400,55.919998
"77",56.009998,56.68,55.830002,56.560001,2830800,56.560001
"78",55.560001,57.389999,55.290001,57.23,4540800,57.23
"79",57.169998,57.68,56.709999,57.529999,3922200,57.529999
"80",57.290001,57.369999,56.389999,56.73,4546700,56.73
"81",56.41,57.099998,56.200001,56.639999,4604400,56.639999
"82",57.630001,58.560001,57.490002,58.459999,5317700,58.459999
"83",58.959999,59.09,57.73,58.299999,3295100,58.299999
"84",57.91,58.130001,56.880001,56.91,2470800,56.91
"85",57,58.060001,55.950001,57.900002,3417000,57.900002
"86",57.75,59.400002,56.919998,57.130001,5436800,57.130001
"87",57.07,57.889999,54.759998,54.77,5873000,54.77
"88",54.75,54.98,52.700001,53.23,5442200,53.23
"89",53.919998,54.290001,52.419998,52.720001,5739700,52.720001
"90",51.950001,53.400002,51.040001,53.09,7010000,53.09
