"","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume","IP.Adjusted"
"1",48.080009,48.480002,48.080009,48.470003,2752900,46.409153
"2",48.000005,48.320002,48.000005,48.139999,1838400,46.093181
"3",48.019999,48.34,47.910002,48.070002,2193100,46.02616
"4",48.000005,48.120001,47.800005,48.080009,1786500,46.035741
"5",48.029998,48.610009,48.010004,48.480002,2370600,46.418727
"6",48.250008,48.690001,47.910002,48.630003,2372500,46.562351
"7",48.520006,48.880006,48.290008,48.799998,2010100,46.725118
"8",48.749999,48.959999,48.670007,48.820008,1718700,46.744277
"9",48.909999,49.290006,48.799998,48.990003,3040800,46.907044
"10",49.030007,49.119999,48.560006,48.599998,4076600,46.533621
"11",48.599998,49.000002,48.280001,48.549999,2473700,46.485748
"12",48.510007,48.990003,48.450008,48.7,1761600,46.629372
"13",48.7,48.880006,48.510007,48.749999,2088200,46.677245
"14",48.599998,49.150004,48.580004,49.050002,6875400,46.964492
"15",50.060006,50.650004,49.500005,50.470005,7645500,48.32412
"16",50.850004,51.070002,50.57,50.81,5696300,48.649659
"17",50.389999,50.98,49.599998,49.639999,5354200,48.194816
"18",49.810001,50.299999,49.799999,50.049999,1628700,48.592879
"19",49.93,50.049999,49.139999,49.450001,3537000,48.010348
"20",49.450001,49.560001,48.950001,49.040001,2463300,47.612285
"21",49.200001,49.98,49.139999,49.830002,4345900,48.379286
"22",49.310001,49.849998,49.18,49.779999,3449200,48.330739
"23",49.84,50.25,49.73,50.07,2291600,48.612297
"24",49.68,50.450001,49.639999,50.060001,3070000,48.60259
"25",50.07,50.490002,49.740002,49.759998,2344000,48.311321
"26",49.98,50.139999,49.310001,50.09,4464100,48.631715
"27",49.630001,49.75,49.32,49.43,5428800,47.99093
"28",49.610001,50.139999,49.5,49.700001,3331200,48.25307
"29",48.68,48.939999,48.220001,48.349998,6688100,46.942371
"30",48.439999,48.560001,47.060001,47.110001,12432500,45.738473
"31",47.16,48.110001,47.150002,47.990002,5203000,46.592855
"32",48.169998,51.98,48.150002,50.650002,19274900,49.175413
"33",50.259998,50.549999,49.68,49.919998,5028700,48.466663
"34",49.75,50.009998,49.439999,49.970001,5131600,48.51521
"35",50.060001,50.060001,48.860001,48.860001,6116500,47.437525
"36",48.580002,49.02,48.049999,48.220001,4809200,46.816158
"37",48.02,48.029999,47.299999,47.5,3978600,46.117119
"38",47.459999,47.799999,47.259998,47.450001,3193200,46.068575
"39",47.790001,47.990002,47.349998,47.849998,2536300,46.456927
"40",47.509998,47.68,47.25,47.57,3361400,46.18508
"41",47.580002,48.009998,47.389999,47.75,2117200,46.35984
"42",47.740002,48.09,47.290001,47.360001,2525500,45.981195
"43",47.52,48.049999,47.259998,48.02,2412300,46.62198
"44",48.060001,48.240002,47.779999,48.09,2399900,46.689942
"45",47.77,48.02,47.490002,47.799999,2114300,46.408384
"46",47.560001,47.66,46.77,47,3524400,45.968263
"47",47.16,48.07,47.16,47.830002,2918500,46.780045
