"","XLNX.Open","XLNX.High","XLNX.Low","XLNX.Close","XLNX.Volume","XLNX.Adjusted"
"1",46.23,46.369999,45.830002,45.869999,1692400,44.596198
"2",45.849998,46.049999,45.619999,45.98,2123200,44.703144
"3",46.07,46.619999,45.889999,46.189999,2805900,44.907311
"4",46.5,46.849998,46.349998,46.759998,3700200,45.461482
"5",46.529999,47.400002,46.529999,47.09,2585600,45.78232
"6",46.889999,47.689999,46.889999,47.470001,2150300,46.151769
"7",47.450001,47.5,47.080002,47.419998,1951600,46.103154
"8",47.41,47.529999,47.119999,47.43,1361800,46.112878
"9",47.509998,47.59,47.23,47.470001,2589400,46.151769
"10",47.48,47.689999,47.25,47.330002,1230600,46.015657
"11",47.43,47.610001,46.869999,46.93,1821300,45.626763
"12",46.73,47,46.57,46.919998,2193500,45.617039
"13",47.139999,47.150002,46.48,46.830002,1821400,45.529542
"14",46.669998,46.919998,46.439999,46.91,1780900,45.607318
"15",47.040001,47.450001,46.860001,47.310001,1938800,45.996212
"16",47.5,48.290001,47.310001,48.16,3470500,46.822606
"17",47.93,49.119999,47.900002,48.799999,4189300,47.444833
"18",48.669998,49.5,48.669998,49.119999,2143200,47.755946
"19",49.23,49.25,48.610001,48.790001,2297700,47.435112
"20",48.639999,48.82,48.23,48.57,3419800,47.22122
"21",48.689999,48.830002,48.259998,48.82,2914400,47.464278
"22",47.700001,48.669998,47.639999,48.32,2178200,46.978163
"23",48.459999,48.540001,48.150002,48.25,1469300,46.910107
"24",48.59,48.639999,48.099998,48.290001,2188400,46.948997
"25",48.310001,48.619999,47.959999,48.299999,1894300,46.958718
"26",48.540001,48.759998,48.349998,48.419998,1617500,47.075384
"27",48.330002,48.419998,47.48,47.540001,2765800,46.219824
"28",47.84,48,47.57,47.77,3935900,46.443437
"29",47.860001,48.599998,47.779999,48.330002,2294000,46.987887
"30",48.740002,48.779999,47.970001,48.150002,3796300,46.812885
"31",40.889999,42,39.119999,41.259998,33023800,40.114216
"32",41.32,41.779999,41.02,41.349998,10162100,40.201717
