"","GPC.Open","GPC.High","GPC.Low","GPC.Close","GPC.Volume","GPC.Adjusted"
"1",86.589996,86.760002,86.019997,86.169998,392100,84.002694
"2",85.75,85.970001,85.050003,85.559998,555400,83.408036
"3",85.489998,85.489998,84.980003,85.089996,431300,82.949856
"4",85.169998,85.599998,84.919998,85.099998,329600,82.959607
"5",84.980003,85.559998,84.949997,85.459999,505700,83.310553
"6",85.139999,86.209999,85.010002,86.010002,379500,83.846722
"7",86.139999,86.900002,85.830002,86.860001,369900,84.675342
"8",87.029999,87.339996,86.370003,86.660004,451700,84.480375
"9",87.029999,87.5,86.540001,87.470001,775100,85.27
"10",87.32,87.629997,86.830002,86.940002,347800,84.753332
"11",86.790001,87.169998,86.32,86.379997,409300,84.207412
"12",86.110001,86.839996,86.050003,86.529999,370100,84.35364
"13",86.620003,86.720001,85.739998,86.459999,291900,84.285401
"14",86.290001,87.459999,86.290001,87.379997,620600,85.18226
"15",87.269997,87.940002,87.07,87.800003,696100,85.591702
"16",87,88.209999,86.599998,87.910004,795000,85.698936
"17",87.620003,88.010002,87.040001,87.599998,629800,85.396728
"18",88.010002,89.150002,87.879997,89.050003,417700,86.810263
"19",88.879997,88.910004,88.25,88.550003,509400,86.322838
"20",88.279999,88.400002,87.779999,87.879997,343700,85.669684
"21",87.970001,88.709999,87.849998,88.589996,494300,86.361826
"22",87.599998,87.860001,86.849998,86.879997,562000,84.694836
"23",86.760002,87.129997,86.309998,87.120003,511300,84.928805
"24",87.82,87.82,87.139999,87.269997,287300,85.075026
"25",87.160004,87.470001,86.300003,86.580002,448600,84.402386
"26",87.050003,87.220001,86.260002,86.760002,778200,84.577859
"27",86.339996,87.050003,85.989998,86.029999,414500,83.866216
"28",86.489998,87.199997,85.919998,87.190002,872500,84.997044
"29",87.779999,89.900002,86.68,87.379997,1336900,85.18226
"30",87.849998,87.910004,85.739998,85.900002,984700,83.739488
"31",85.870003,86.059998,85.269997,85.309998,642800,83.164324
"32",85.730003,85.910004,85.239998,85.459999,520000,83.310553
"33",85.110001,85.519997,84.949997,85.309998,326100,83.164324
"34",85.290001,85.349998,84.639999,84.830002,436400,82.696401
"35",84.760002,85.07,84.239998,84.239998,416800,82.121236
"36",84.5,85.050003,84.199997,84.919998,761200,82.784134
"37",84.269997,84.559998,82.82,82.82,1142600,80.736953
"38",82.739998,83.019997,82.209999,82.610001,625700,80.532236
"39",82.610001,83.330002,82.150002,83.099998,1176300,81.00991
"40",82.769997,83.580002,82.400002,82.870003,739300,80.785699
"41",82.650002,83.459999,82.519997,82.980003,387500,80.892933
"42",83.419998,83.660004,82.169998,82.349998,463000,80.278773
"43",82.68,84.290001,82.68,84.239998,608500,82.121236
"44",84.410004,84.5,83.919998,84.089996,365100,81.975008
"45",84.07,84.169998,83.5,83.879997,272700,81.77029
"46",84.07,84.440002,83.580002,84.160004,425800,82.043254
"47",84.709999,85.620003,84.480003,85.550003,642000,83.398293
"48",85.779999,85.849998,84.349998,85.120003,609600,82.979108
"49",85.709999,86.220001,85.629997,86.139999,488000,83.97345
"50",86.360001,86.860001,86.160004,86.559998,354200,84.382885
"51",86.230003,87.150002,86.040001,87.120003,434800,84.928805
"52",87.559998,88.360001,86.989998,87.699997,559700,85.494211
"53",87.559998,88.129997,87.220001,87.849998,633100,85.64044
"54",88.199997,88.410004,87.879997,88.279999,391000,86.059625
"55",88.279999,88.459999,87.779999,87.82,324500,85.611196
"56",87.849998,88.010002,87.459999,87.800003,307300,85.591702
"57",86.410004,87.550003,86.410004,87.449997,429600,85.250499
"58",87.75,87.779999,87.019997,87.739998,398600,85.533206
"59",87.949997,88.540001,87.470001,87.989998,449800,85.776918
"60",87.849998,87.879997,87.349998,87.480003,422000,85.840706
"61",87.5,88.440002,87.480003,87.860001,356300,86.213583
"62",87.639999,88.349998,87.309998,88.239998,516200,86.586459
"63",88.010002,88.18,87.480003,87.760002,287700,86.115458
"64",87.470001,87.57,86.830002,86.989998,354300,85.359883
"65",87.050003,87.540001,86.480003,87.540001,378300,85.89958
