"","CNX.Open","CNX.High","CNX.Low","CNX.Close","CNX.Volume","CNX.Adjusted"
"1",46.889999,47.310001,46.360001,46.549999,2305000,46.222608
"2",46.470001,47.139999,46.25,47,1905300,46.669444
"3",47.150002,47.290001,44.48,44.82,7512400,44.504776
"4",45.169998,46.459999,45.099998,46.09,4367200,45.765844
"5",46.09,46.09,45.209999,45.709999,2495800,45.388516
"6",45.610001,46.119999,45.509998,45.709999,1572600,45.388516
"7",45.709999,46.290001,45.470001,46.259998,1192200,45.934647
"8",46.139999,47,46.139999,46.810001,2918500,46.480782
"9",47.09,47.310001,46.639999,47.25,3027300,46.917686
"10",47.259998,47.830002,47.07,47.189999,1500700,46.858106
"11",47,47.189999,45.459999,45.669998,1931100,45.348796
"12",45.450001,46.439999,45.450001,46.299999,1657700,45.974366
"13",46.389999,46.73,45.939999,46.389999,1361000,46.063733
"14",46.18,46.610001,45.639999,46.040001,1676300,45.716197
"15",45.849998,46.119999,45.57,46.07,2231600,45.745984
"16",46.299999,46.610001,45.799999,45.91,1098500,45.58711
"17",45.68,46.23,45.189999,45.290001,2029000,44.971471
"18",45.490002,45.799999,45.240002,45.700001,882800,45.378588
"19",45.580002,45.580002,44.470001,44.549999,2356100,44.236674
"20",44.490002,44.5,43.66,43.68,3040500,43.372794
"21",43.740002,44.150002,43.240002,44.110001,1813200,43.79977
"22",43.66,43.98,43.439999,43.490002,1987000,43.184132
"23",43.189999,43.610001,42.919998,43.290001,2016900,42.985538
"24",43.630001,43.84,43.25,43.560001,1706900,43.253639
"25",43.57,43.630001,41.91,42.509998,3260600,42.211021
"26",42.830002,42.990002,42.509998,42.630001,1970500,42.33018
"27",42.240002,42.790001,40.84,40.970001,3240300,40.681855
"28",41.02,41.849998,40.84,41.689999,2248200,41.396788
"29",41.5,41.5,40.779999,40.880001,2962500,40.592488
"30",41.330002,41.52,40.610001,40.759998,2333800,40.473329
"31",40.759998,40.799999,40.130001,40.709999,2034600,40.423681
"32",40.709999,41.130001,40.52,40.740002,1506800,40.453473
"33",40.529999,40.75,39.959999,40.009998,1853400,39.728604
"34",40.189999,40.470001,39.779999,39.939999,1844000,39.659096
"35",39.939999,40.880001,39.16,40.32,3223800,40.036425
"36",40.5,40.759998,39.360001,39.869999,3486200,39.589589
"37",39.549999,39.630001,38.740002,38.82,2002300,38.546974
"38",38.560001,39.240002,38.459999,38.950001,2209800,38.676061
"39",39.049999,39.740002,38.880001,39.580002,1804600,39.301631
"40",39.23,40.139999,39.169998,39.349998,2294800,39.073246
"41",39.080002,40.18,39.080002,39.919998,1684200,39.639236
"42",40.529999,40.68,39.799999,39.959999,2748000,39.678956
