"","FITB.Open","FITB.High","FITB.Low","FITB.Close","FITB.Volume","FITB.Adjusted"
"1",21.6,21.629999,21.450001,21.540001,6128900,20.866687
"2",21.469999,21.559999,21.35,21.440001,5599900,20.769813
"3",21.370001,21.549999,21.27,21.290001,6311800,20.624502
"4",21.4,21.57,21.280001,21.370001,6647800,20.702001
"5",21.24,21.290001,21,21.110001,6900100,20.450128
"6",21.030001,21.629999,21.01,21.48,9316900,20.808561
"7",21.51,21.540001,21.23,21.49,9144200,20.818249
"8",21.809999,21.809999,21.34,21.51,7840500,20.837624
"9",21.65,21.780001,21.51,21.59,7451600,20.915123
"10",21.639999,21.639999,21.440001,21.530001,4576100,20.857
"11",21.5,21.74,21.450001,21.459999,7980700,20.789186
"12",21.34,21.51,21.120001,21.450001,9006700,20.7795
"13",21.34,21.389999,21.110001,21.290001,5670200,20.750261
"14",21.290001,21.32,21.1,21.26,6966800,20.72102
"15",21.33,21.41,21.16,21.35,6321200,20.808739
"16",21.459999,21.690001,21.360001,21.540001,8530100,20.993923
"17",21.469999,21.66,21.34,21.41,6146000,20.867217
"18",21.52,21.690001,21.48,21.629999,4007100,21.081639
"19",21.49,21.65,21.48,21.57,5583000,21.023161
"20",21.559999,21.559999,21.33,21.41,9411700,20.867217
"21",21.440001,21.620001,21.43,21.52,6922600,20.974429
"22",21.309999,21.34,21.16,21.219999,8623500,20.682034
"23",21.209999,21.5,21.1,21.43,6462100,20.886711
"24",21.559999,21.629999,21.34,21.4,6229800,20.857471
"25",21.299999,21.790001,21.299999,21.75,10491700,21.198598
"26",21.780001,21.790001,21.440001,21.549999,11517900,21.003667
"27",21.120001,21.200001,20.16,20.280001,26030400,19.765866
"28",20.42,20.51,20.110001,20.450001,17694800,19.931556
"29",20.559999,20.74,20.34,20.530001,8143900,20.009528
"30",20.66,20.77,20.610001,20.700001,10887700,20.175218
"31",20.780001,20.809999,20.59,20.74,7362900,20.214203
"32",20.74,21.15,20.74,21.09,11285600,20.55533
"33",20.950001,21.280001,20.940001,21.18,10398300,20.643049
