"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"1",79.720002,80.370005,79.370008,79.400006,2255400,67.699724
"2",78.599998,78.960002,78.1,78.540003,1827400,67.373744
"3",78.080004,78.630004,77.949995,78.249996,1331900,67.124968
"4",78.540003,79.069999,78.249996,78.809998,1233700,67.605353
"5",78.470006,79.130003,78.449993,78.650008,1170100,67.46811
"6",78.480008,78.82,78.210005,78.220007,2226100,67.099243
"7",78.220007,78.70001,77.920006,78.61,2551400,67.43379
"8",78.880003,78.920003,78.349999,78.460004,1875600,67.305119
"9",78.859999,79.660016,78.500012,79.450007,3984800,68.154371
"10",79.359998,79.590001,78.859999,79.220004,1049200,67.957067
"11",79.150007,79.630001,78.849997,79.059997,1189600,67.819809
"12",78.760005,79.440005,78.61,79.25001,1182400,67.982807
"13",79.280007,79.280007,78.630004,79.109998,1000200,67.862702
"14",79.059997,79.550011,78.859999,79.480005,1553900,68.180103
"15",79.130003,79.490007,78.82,79.280007,1275500,68.00854
"16",79.620008,80.560001,79.200008,80.370005,1871900,68.94357
"17",80.010001,80.35001,79.609997,80.22,1591100,68.814892
"18",80.000007,80.610011,80.000007,80.590007,883300,69.132293
"19",80.180001,80.520001,80.100011,80.440011,1255300,69.003623
"20",80.360012,80.800006,80.120006,80.47,1723800,69.029348
"21",80.669997,80.719999,80.190012,80.47,1074600,69.029348
"22",80.800006,80.800006,79.770004,80.150012,1085700,68.754854
"23",80.270002,80.300008,79.620008,80.129999,1217800,68.737686
"24",80.390009,80.500006,80.160014,80.339999,913000,68.91783
"25",80.35001,80.709997,79.890002,80.339999,1059600,68.91783
"26",80.65001,80.680008,80.320004,80.500006,1121700,69.055088
"27",80.040007,80.530003,79.860013,79.959999,1214900,68.591856
"28",80.43,81.160011,80.020003,81.030002,1583900,69.509733
"29",80.590007,81.070001,80.410013,80.980009,1141800,69.466847
"30",81.160011,81.790001,81.030002,81.680005,949100,70.067323
"31",81.559997,81.880002,81.290003,81.830001,1188800,70.195994
"32",81.600006,82.51001,81.590004,82.430002,1443800,70.710691
"33",82.519995,82.620015,82.040009,82.609996,1364100,70.865094
"34",82.470002,82.609996,81.910008,82.490006,1005200,70.762164
"35",82.640002,82.690003,81.87,81.87,1505300,70.230306
"36",82.330008,82.460008,81.710011,82.150006,1898900,70.470502
"37",82.230005,82.500008,80.930007,81.309998,1865900,69.749921
"38",80.870003,81.830001,80.870003,81.540002,1922300,69.947225
"39",81.32,81.500002,80.590007,81.209995,2411400,69.664136
"40",81.230008,81.230008,80.160014,80.48001,1750900,69.037935
"41",80.419998,80.669997,80.140001,80.360012,1184200,68.934997
"42",80.680008,80.970007,79.809994,80.070004,1504300,68.686221
"43",80.200005,81.280001,80.200005,81.120003,1463800,69.586938
"44",81.209995,81.74,81.160011,81.340004,1120300,69.775661
"45",81.110009,81.680005,80.930007,81.269999,1165300,69.715609
"46",81.74,82.069998,81.170004,82.000009,1206300,70.341832
"47",83.780001,83.780001,81.690007,82.390003,905600,70.676378
"48",83.14,83.150011,81.670003,82.269995,1885300,70.573433
"49",82.620015,83.330004,82.51001,83.250005,1072400,71.414112
"50",83.010008,83.550006,82.950005,83.429999,958100,71.568515
"51",83.360011,83.679998,82.790007,83.57001,1228000,71.688621
"52",83.57001,84.070009,83.270001,83.890006,923700,71.963122
"53",84.050005,84.200001,83.280003,83.490003,1041600,71.619988
"54",83.629997,83.940008,83.270001,83.620012,962800,71.731514
"55",83.600008,84.230015,83.419997,83.820009,1217400,71.903077
"56",83.750004,83.969997,83.429999,83.669996,983300,71.774391
"57",83.030004,83.719998,83.030004,83.500005,948000,71.628568
"58",83.950001,83.950001,82.910014,83.48,1773300,71.611408
"59",83.679998,83.940008,83.270001,83.690009,1374800,71.791559
"60",84.090004,84.16001,83.600008,83.780001,1212700,71.868757
"61",83.669996,84.440006,83.629997,83.810007,1006500,71.894497
"62",83.690009,84.370009,83.620012,84.340003,1367900,72.349142
"63",83.910011,84.480006,83.740002,84.090004,980200,72.134686
"64",83.850007,84.050005,83.450003,83.61001,1140900,71.722934
"65",83.320011,83.650009,82.919998,83.61001,1457400,72.137067
"66",83.300007,83.410012,82.690003,83.200004,1534000,71.783322
"67",83.260007,83.379997,82.330008,83.020002,1924800,71.628019
"68",82.940003,83.61001,82.550009,83.460005,1412400,72.007646
"69",82.559994,83.560008,82.559994,83.410012,1582600,71.964513
"70",83.469998,83.510007,82.809993,83.350009,1625100,71.912743
"71",83.490003,84.310006,83.310009,84.190007,1835800,72.637477
"72",84.550003,84.680004,83.560008,83.879996,2696400,72.370005
"73",83.419997,83.769999,82.770002,83.090007,1090600,71.688419
"74",82.940003,83.090007,82.59,82.609996,1094400,71.274274
"75",82.520003,84.060007,82.390003,83.930006,1189700,72.413153
"76",83.61001,83.61001,82.319997,82.359997,1519100,71.05858
"77",82.240007,82.760009,81.800003,82.59,1459500,71.257023
"78",82.059996,82.910005,81.910008,82.810011,1482100,71.446843
"79",83.340006,83.450003,82.700005,83.080005,2068600,71.679789
"80",73.029999,73.080002,71.410004,71.419998,3540300,70.184913
"81",71.709999,72.629997,71.510002,72.5,3008000,71.246238
"82",73.559998,75.040001,73.550003,74.849998,4475400,73.555597
"83",74.959999,75.040001,74.290001,74.519997,2919500,73.231302
"84",74.339996,74.5,73.480003,73.519997,2233300,72.248595
"85",73.5,74.980003,73.260002,74.779999,2078800,73.486808
"86",74.800003,74.949997,73.160004,73.190002,1972800,71.924308
"87",73.25,73.82,72.650002,72.660004,2395900,71.403474
"88",72.82,73.120003,71.93,71.949997,2058700,70.705746
"89",72.559998,72.980003,72.25,72.639999,2088100,71.383816
"90",72,72.339996,70.5,71.779999,2482900,70.538688
"91",70.790001,72.150002,70.690002,71.629997,2179300,70.39128
"92",72.510002,72.980003,71.510002,72.68,1700400,71.423125
"93",72.540001,73.389999,72.349998,73.349998,2125400,72.081537
"94",73.629997,74.889999,73.25,74.809998,1565300,73.516288
"95",75.010002,75.18,74.559998,74.610001,1416100,73.319749
"96",75.75,76.199997,75.220001,75.440002,1462300,74.135398
"97",75.779999,76.25,75.470001,76.199997,1131800,74.882249
"98",76.25,76.599998,75.949997,76.470001,1103400,75.147585
"99",76.940002,77.32,76.220001,77.260002,2314800,75.923924
"100",77.089996,78.099998,76.93,77.919998,1357100,76.572506
"101",77.889999,79.389999,77.300003,78.949997,2113800,77.584693
"102",80.610001,81.989998,79.860001,81.779999,3712300,80.365755
"103",81.5,82.470001,81.480003,81.739998,2707500,80.326446
"104",82.349998,83.360001,82,83.150002,2508300,81.712066
"105",83.779999,84.379997,83.330002,84.300003,2325900,82.84218
"106",84.660004,85.099998,84.150002,84.75,2126500,83.284395
"107",84.870003,84.980003,83.68,84.379997,2441300,82.920791
"108",84.309998,85.279999,84.059998,85.120003,1611400,83.647999
"109",85.089996,85.32,84.639999,84.949997,1267100,83.480933
"110",84.769997,85.540001,84.629997,85.209999,1516200,83.736439
"111",85.43,85.889999,84.980003,85.410004,1451600,83.932985
"112",85.410004,85.529999,84.459999,84.75,1853000,83.284395
"113",84.699997,85.080002,84.540001,84.839996,1531800,83.372835
"114",84.849998,85.120003,84.449997,84.75,1807300,83.284395
"115",84.790001,84.790001,84.059998,84.269997,2362400,82.812692
"116",84.279999,84.419998,83.599998,84.120003,2507400,82.665292
"117",85.220001,85.220001,83.809998,84.139999,2692000,82.684943
"118",84.510002,84.919998,84.43,84.790001,2295400,83.323704
"119",84.690002,85.07,84.489998,84.519997,1852600,83.058369
"120",84.720001,84.959999,84.360001,84.860001,1997100,83.392493
"121",85.260002,86.260002,84.809998,85.639999,1267300,84.159003
"122",85.18,86.5,85,86.07,2055000,84.581568
"123",86.449997,86.540001,85.620003,85.800003,1669300,84.31624
"124",85.489998,86,84.989998,85.940002,1875800,84.453818
"125",86.059998,86.419998,85.730003,86.059998,1550900,84.571738
"126",85.790001,85.919998,85.110001,85.82,1792000,84.335891
"127",85.360001,86.010002,85.050003,85.589996,1674200,84.109865
"128",85.18,85.589996,84.360001,85.260002,1941400,83.785578
"129",84.559998,85.540001,83.980003,84.129997,2024900,83.153005
"130",85.529999,85.57,84.43,84.599998,1976800,83.617548
"131",83.470001,84.650002,82.5,82.5,2415600,81.541936
"132",82.809998,83.419998,82.040001,82.779999,1841700,81.818684
"133",82.769997,84.07,82.43,82.910004,1986400,81.947179
"134",82.620003,84.860001,82.620003,84.690002,1906200,83.706507
"135",85.870003,85.940002,85.029999,85.68,3535500,84.685008
"136",85.449997,86.150002,84.660004,84.709999,4230500,83.726271
"137",84.720001,85.720001,84.610001,85.699997,1672100,84.704772
