"","PX.Open","PX.High","PX.Low","PX.Close","PX.Volume","PX.Adjusted"
"1",133.770004,134.240005,133.039993,133.589996,671800,130.760396
"2",133.350006,133.570007,132.350006,132.479996,614700,129.673907
"3",132.229996,132.630005,130.720001,130.990005,680000,128.215477
"4",131.119995,131.940002,130.649994,131.529999,674200,128.744032
"5",131.440002,131.559998,130.350006,130.610001,872900,127.843521
"6",130.389999,130.990005,130.199997,130.839996,947700,128.068645
"7",130.449997,132.850006,130.449997,132.350006,1547400,129.546671
"8",132.199997,132.630005,131.169998,131.5,992100,128.714669
"9",131.970001,132.240005,131.449997,132.110001,1029000,129.311749
"10",131.899994,132.5,131.729996,131.860001,514100,129.067044
"11",131.899994,132.270004,131.160004,131.210007,556300,128.430818
"12",131.410004,132.179993,131.149994,131.389999,589300,128.606998
"13",131.429993,131.529999,130.279999,131.029999,1152800,128.254623
"14",130.899994,131.940002,130.449997,131.899994,1005500,129.10619
"15",132.429993,133.740005,131.75,132.839996,1521200,130.026282
"16",133.279999,133.410004,132.259995,132.839996,654700,130.026282
"17",132.520004,133.229996,132.100006,132.729996,670400,129.918612
"18",132.75,133.330002,132.160004,133.300003,531200,130.476546
"19",133.029999,133.210007,132.339996,133,936400,130.182897
"20",132.770004,133.070007,132.259995,132.779999,729600,129.967556
"21",133.119995,133.119995,131.800003,132.410004,694900,129.605397
"22",131.509995,132.350006,131.490005,131.869995,583500,129.076827
"23",131.699997,131.800003,131.369995,131.589996,508900,128.802759
"24",132.330002,132.580002,131.600006,132.410004,706000,129.605397
"25",133.089996,133.580002,132.479996,132.660004,941500,129.850102
"26",133.100006,133.649994,132.710007,133.550003,845200,130.72125
"27",132.699997,133.210007,131.539993,131.669998,812900,128.881066
"28",132.199997,133.149994,131.410004,132.770004,1074000,129.957773
"29",132.330002,132.429993,131.419998,131.479996,688300,128.695088
"30",131.779999,132.410004,131.509995,131.690002,1007200,128.900647
"31",130.460007,131.630005,128.669998,131.149994,1963500,128.372076
"32",130.449997,130.949997,129.100006,129.229996,1695200,126.492746
"33",129.100006,130.639999,128.830002,130.539993,1060900,127.774996
"34",130.630005,131.259995,130.169998,130.300003,850700,127.540089
"35",130.179993,130.429993,128.649994,128.679993,1090200,125.954393
"36",129.350006,129.759995,128.5,129.220001,869300,126.482963
"37",129.130005,129.570007,128.029999,128.139999,1280200,125.425837
"38",127.699997,128.820007,127.389999,128.229996,1322700,125.513927
"39",128.990005,129.179993,127.620003,128.910004,801100,126.179532
"40",128.740005,128.899994,126.580002,127.050003,1243700,124.358928
"41",127.050003,128.259995,126.980003,127.879997,1094200,125.171342
"42",128.050003,128.449997,126.970001,127.040001,692900,124.349138
"43",127.099998,128.990005,126.620003,128.899994,653600,126.169734
"44",128.970001,129.789993,128.389999,128.559998,791700,125.836939
"45",128.559998,129.220001,128.089996,128.869995,779800,126.140371
"46",129.429993,130.070007,129.139999,129.419998,533700,126.678724
"47",129.5,130.009995,129.259995,129.690002,509100,126.943009
"48",130.160004,130.460007,128.720001,129.580002,858200,126.835339
"49",130.210007,130.740005,130.009995,130.699997,788500,127.931611
"50",130.600006,130.839996,130.100006,130.589996,842100,127.82394
"51",130.559998,130.559998,129.429993,130.429993,1305600,127.667326
"52",130.580002,131.830002,130.179993,131.460007,772800,128.675523
"53",131,131.350006,130.509995,130.759995,730800,127.990338
"54",131.259995,131.770004,131.029999,131.649994,784800,128.861486
