"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume","NTRS.Adjusted"
"1",62.369999,62.759998,62.27,62.689999,455500,61.497024
"2",62.34,62.369999,61.98,62.099998,431400,60.918252
"3",62.150002,62.619999,61.790001,62.200001,778100,61.016351
"4",62.299999,62.77,61.98,62.209999,639100,61.026159
"5",62.02,62.560001,61.650002,62.25,999900,61.065399
"6",61.970001,64.970001,61.810001,63.889999,2330800,62.67419
"7",63.830002,64.720001,63.43,64.389999,2219500,63.164675
"8",64.540001,64.57,63.720001,64.120003,1019100,62.899816
"9",64.510002,64.510002,63.830002,64.290001,1743100,63.066579
"10",64.160004,64.470001,63.75,64.110001,777500,62.890004
"11",63.900002,64.620003,63.779999,63.880001,1001200,62.664381
"12",63.630001,64.199997,63.32,64.150002,666100,62.929244
"13",64.040001,64.190002,63.09,64.07,720400,62.850764
"14",63.91,64.519997,63.689999,64.449997,943600,63.22353
"15",64.470001,64.900002,64.110001,64.209999,1246300,62.9881
"16",64.510002,64.989998,64.230003,64.5,1080100,63.272582
"17",64.309998,64.919998,63.98,64.059998,991700,62.840953
"18",64.389999,65.279999,64.139999,64.889999,654200,63.65516
"19",64.599998,64.830002,64.080002,64.800003,627200,63.566876
"20",64.519997,64.559998,63.84,64.120003,615400,62.899816
"21",64.480003,64.709999,63.759998,64.019997,974100,62.801713
"22",63.540001,64.050003,63.110001,63.830002,626800,62.615334
"23",63.830002,64.489998,63.360001,64.410004,853200,63.184298
"24",64.949997,65.230003,64.230003,64.43,1163800,63.203914
"25",64.470001,65.199997,64.330002,64.480003,1520800,63.252966
"26",64.900002,65.739998,63.919998,64.480003,1505900,63.252966
"27",64.150002,64.68,63.900002,64.339996,1414800,63.115623
"28",64.699997,65.190002,64.269997,65.019997,1294000,63.782683
"29",64.559998,65.529999,64.559998,65.489998,1126600,64.24374
"30",65.5,66.190002,65.410004,66.07,1460500,64.812705
"31",66.010002,66.629997,65.760002,66.389999,1442000,65.126615
"32",66.400002,67.260002,66.370003,67.110001,1115600,65.832915
"33",67.110001,67.370003,66.949997,67.129997,1143800,65.852531
"34",67.150002,67.449997,66.809998,67.18,1049900,65.901583
"35",66.629997,67.699997,66.629997,67.110001,993500,65.832915
"36",67.5,68.110001,66.839996,67.879997,1368100,66.588259
"37",67.639999,67.919998,66.889999,66.889999,1460200,65.6171
"38",66.800003,66.940002,65.989998,66.139999,1293200,64.881373
"39",66.139999,66.639999,65.93,66.5,1049300,65.234523
