"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"1",102.879997,102.959999,101.349998,102.419998,3328500,100.078605
"2",102.059998,102.309998,101.300003,102.18,2491500,99.844093
"3",101.760002,101.949997,100.43,100.669998,3307900,98.808596
"4",100.68,101.239998,100.330002,100.900002,1837800,99.034347
"5",100.25,100.620003,99.620003,99.809998,3152500,97.964497
"6",99.940002,100,99.279999,99.370003,3537200,97.532638
"7",99.540001,100.959999,99.480003,100.669998,3585900,98.808596
"8",100.68,101.440002,100.540001,101.029999,2523600,99.16194
"9",101.059998,101.349998,100.860001,101.080002,4876500,99.211019
"10",101.18,101.199997,100.379997,100.690002,2715700,98.828231
"11",100.339996,101.199997,99.629997,99.68,2482400,97.836904
"12",99.629997,100.360001,99.629997,100.089996,2545200,98.239319
"13",100.209999,100.300003,99.160004,99.57,3127600,97.728937
"14",99.57,99.940002,99.160004,99.639999,3244200,97.797642
"15",99.540001,100.839996,99.540001,99.75,3773600,97.905609
"16",99.959999,100.68,99.769997,100.099998,3365400,98.249136
"17",100.050003,100.779999,99.910004,100.07,3471100,98.219692
"18",100.190002,101.089996,100.18,100.980003,2461400,99.112869
"19",101.199997,101.199997,99.709999,100.260002,2914100,98.406181
"20",100.019997,100.339996,99.529999,100.089996,2022200,98.239319
"21",100.540001,101,100.199997,100.610001,1782900,98.749708
"22",99.599998,99.980003,99.269997,99.610001,2436400,97.768198
"23",99.660004,100.43,99.550003,100.269997,2086600,98.415991
"24",100.739998,101.349998,100.730003,101.089996,2261500,99.220829
"25",100.669998,101.639999,100.589996,101.370003,2659500,99.495658
"26",101.879997,102,101.25,101.779999,2164800,99.898073
"27",100.970001,101.730003,100.440002,100.449997,2218200,98.592663
"28",100.699997,101.349998,100.370003,101.339996,3189800,99.466206
"29",101.32,101.889999,100.860001,101.639999,2746600,99.760662
"30",101.870003,102.980003,101.75,102.860001,2861500,100.958105
"31",102.970001,103.25,101.769997,102.510002,3554000,100.614578
"32",101.389999,102.199997,100.599998,101.769997,3283600,99.888256
"33",101.5,102.349998,101.43,101.660004,2337400,99.780296
"34",101.459999,101.629997,100.32,100.639999,3160400,98.779152
"35",100.540001,100.589996,99.540001,99.599998,4010700,97.758381
"36",100.150002,100.309998,98.959999,99.470001,4676300,97.630787
"37",99.050003,99.199997,97.959999,98.309998,4492200,96.492232
"38",98.220001,99.190002,97.739998,97.910004,4207200,96.099634
"39",98.120003,98.550003,97.470001,98.290001,4540500,96.472605
"40",97.870003,98.75,97.400002,97.959999,3166300,96.148705
"41",97.129997,98.019997,96.760002,97.510002,3295000,95.707029
"42",98,98.459999,97.269997,97.480003,2340200,95.677585
"43",97.400002,98.699997,97.050003,98.639999,2415400,96.816132
"44",99.099998,100.32,99,99.57,3019400,97.728937
"45",99.82,100.300003,99.269997,99.669998,2669400,97.827086
"46",99.940002,100.690002,99.860001,100.57,2139000,98.710447
"47",100.919998,101.730003,100.699997,101.730003,2664800,99.849002
"48",102.160004,102.279999,101.160004,101.989998,2920800,100.104189
"49",102.739998,104.07,102.349998,103.790001,3812900,101.87091
"50",104.389999,104.75,104.139999,104.389999,2357800,102.459814
"51",104.68,105.870003,104.400002,105.57,3478900,103.617996
"52",106.110001,106.300003,105.410004,105.860001,2350800,103.902635
"53",105.779999,106.339996,105.580002,105.769997,2306000,103.814295
"54",106.199997,106.230003,105.470001,105.639999,2345000,103.686701
"55",106.040001,106.080002,105.120003,105.559998,3195400,103.608179
"56",105.480003,105.650002,104.839996,105.300003,1904700,103.844871
"57",105.07,105.150002,104.540001,105.040001,1786300,103.588462
"58",105.029999,105.360001,104.559998,105.269997,1936500,103.815279
"59",105.699997,106.550003,105.489998,106.209999,3225100,104.742292
"60",106.669998,107.379997,106.160004,106.599998,2842000,105.126902
"61",106.769997,108.739998,106.650002,107.25,4582100,105.767921
"62",107.220001,107.879997,106.809998,107.690002,3660500,106.201843
"63",107.650002,107.900002,107.330002,107.459999,2052200,105.975018
"64",107.610001,107.940002,107.199997,107.470001,1901700,105.984882
"65",107.419998,107.779999,106.910004,107.379997,1696200,105.896122
"66",106.980003,107.860001,106.75,107.709999,1640800,106.221563
"67",107.019997,107.900002,106.790001,107.010002,2091900,105.53124
"68",107.089996,107.300003,106.410004,107.040001,2925000,105.560824
"69",107.160004,108,106.379997,107.919998,3591500,106.42866
"70",108.349998,110.25,108.279999,109.580002,3439900,108.065725
"71",109.739998,110.260002,109.32,109.400002,2913600,107.888212
"72",109.970001,110.139999,109.019997,109.360001,4336300,107.848764
"73",109.519997,109.690002,108.470001,108.5,2364200,107.000647
"74",108.199997,108.580002,107.790001,107.800003,2660500,106.310323
"75",107.900002,108.82,107.739998,108.690002,3121100,107.188024
"76",108.599998,108.629997,106.970001,107.190002,2716700,105.708752
"77",107.019997,108.889999,107.019997,108.580002,2036000,107.079544
"78",107.949997,108.709999,107.169998,108.529999,1928600,107.030231
"79",108.519997,109.769997,108.279999,108.419998,3339300,106.921751
"80",107.480003,107.650002,105.410004,105.800003,4518000,104.337961
"81",105.900002,106.510002,104.879997,106.099998,4719600,104.633811
"82",107.010002,109.75,106.82,109.510002,4014200,107.996692
"83",110.410004,110.839996,108.720001,109.290001,2650300,107.779731
"84",108.5,108.639999,106.300003,106.370003,3151100,104.900084
"85",106.669998,108.120003,104.809998,108.019997,4430900,106.527277
"86",108.080002,108.32,105.239998,105.339996,3731400,103.884311
"87",105.5,105.580002,101.199997,101.339996,7640700,99.939587
"88",102.989998,104.239998,97.839996,98.080002,8013800,96.724642
"89",98.550003,101.300003,98.18,100.160004,6939900,98.775901
"90",98.75,100.230003,96.169998,99.699997,6407200,98.322251
"91",98.220001,105.269997,98,104.029999,9242800,102.592417
"92",105.949997,106.980003,105.639999,106.400002,7112200,104.929668
"93",105.599998,106.489998,105.269997,106.160004,3816900,104.692987
