"","VAR.Open","VAR.High","VAR.Low","VAR.Close","VAR.Volume","VAR.Adjusted"
"1",81.650002,81.730003,80.879997,81.620003,504000,81.620003
"2",81.190002,81.57,80.949997,81.32,289200,81.32
"3",81.160004,81.720001,80.529999,81.690002,428800,81.690002
"4",81.800003,82.410004,81.589996,81.830002,514800,81.830002
"5",82.089996,82.940002,81.989998,82.290001,595100,82.290001
"6",82.360001,82.900002,82.209999,82.529999,480300,82.529999
"7",82.510002,83.730003,82.269997,83.720001,597600,83.720001
"8",83.75,84.080002,83.519997,83.709999,416900,83.709999
"9",83.970001,84.400002,83.940002,84.339996,600500,84.339996
"10",84.459999,85.269997,84.360001,84.57,594300,84.57
"11",84.260002,84.529999,83.190002,83.269997,543700,83.269997
"12",83.269997,84.290001,83.010002,84.019997,402900,84.019997
"13",83.879997,84.029999,82.989998,84,352200,84
"14",83.75,84.389999,83.480003,83.849998,535100,83.849998
"15",83.620003,83.709999,82.529999,83.139999,526800,83.139999
"16",83.290001,84.010002,83.239998,83.949997,454600,83.949997
"17",83.900002,84.120003,83.470001,84.050003,294000,84.050003
"18",84,84.370003,83.779999,84.279999,304800,84.279999
"19",84.040001,85.139999,83.919998,84.480003,487300,84.480003
"20",84.510002,84.580002,83.75,84.540001,462800,84.540001
"21",84.93,85.309998,84.440002,85.290001,572900,85.290001
"22",84.580002,85.43,84.209999,85.260002,501300,85.260002
"23",85.050003,85.190002,84.660004,85.139999,540600,85.139999
"24",85.330002,85.650002,84.900002,84.959999,456600,84.959999
"25",84.959999,85.32,84.160004,84.68,276200,84.68
"26",84.839996,85.019997,84.279999,84.910004,427100,84.910004
"27",84.43,84.699997,83.230003,83.25,441200,83.25
"28",83.589996,84.660004,83.239998,84.589996,317200,84.589996
"29",84.110001,84.360001,83.480003,84.269997,384400,84.269997
"30",84.699997,86.239998,84.279999,85.510002,671600,85.510002
"31",85.900002,87.849998,85.510002,87.519997,1414400,87.519997
"32",84.400002,85.25,82.029999,83.360001,2200500,83.360001
"33",82.860001,83.379997,82.389999,82.739998,1141100,82.739998
"34",82.720001,83.589996,82.459999,83.300003,679400,83.300003
"35",83.349998,83.620003,82.970001,83.139999,524900,83.139999
"36",83.620003,83.959999,82.940002,83.089996,621700,83.089996
"37",82.910004,83.220001,82.120003,82.150002,455300,82.150002
"38",81.849998,82.290001,81.110001,81.889999,618900,81.889999
"39",81.889999,83.540001,81.75,83.379997,455100,83.379997
"40",82.699997,83.699997,82.669998,82.900002,463900,82.900002
"41",82.449997,83.830002,82.449997,83.459999,528500,83.459999
"42",83.57,84.349998,82.989998,83.550003,1011200,83.550003
"43",83.489998,85.410004,83.489998,85.209999,1150100,85.209999
"44",85.43,85.43,84.629997,84.779999,636200,84.779999
"45",84.709999,85.57,84.309998,85.139999,580700,85.139999
"46",85.279999,85.779999,84.959999,85.379997,589300,85.379997
"47",85.400002,85.769997,85.099998,85.339996,477500,85.339996
"48",85.410004,85.57,83.489998,84.239998,719700,84.239998
"49",85.099998,85.550003,84.800003,85.019997,580300,85.019997
"50",85,85,84.510002,84.690002,502300,84.690002
"51",84.370003,84.660004,83.419998,84.230003,680100,84.230003
"52",84.459999,84.910004,84.25,84.510002,450700,84.510002
"53",84.510002,84.900002,84.150002,84.339996,389000,84.339996
"54",84.690002,84.860001,84.349998,84.550003,219800,84.550003
"55",84.82,85.239998,84.5,84.989998,500400,84.989998
"56",85,85.370003,84.800003,85,463000,85
"57",84.599998,85,84.089996,84.809998,527300,84.809998
"58",84.790001,85.089996,84.589996,85.019997,619600,85.019997
"59",85.230003,85.830002,84.879997,85.110001,532500,85.110001
"60",85.599998,85.720001,85.110001,85.300003,292900,85.300003
"61",85.32,85.800003,84.650002,84.790001,252000,84.790001
"62",84.800003,85.150002,84.099998,85.07,407900,85.07
"63",85.050003,85.82,85.050003,85.720001,368100,85.720001
"64",85.739998,85.739998,85.07,85.370003,312200,85.370003
"65",85.650002,86.029999,85.379997,85.919998,363400,85.919998
"66",85.510002,86.169998,85.260002,85.970001,328700,85.970001
"67",85.849998,86.129997,84.959999,85.330002,524600,85.330002
"68",84.970001,84.970001,82.910004,83.620003,1084600,83.620003
"69",83.260002,83.540001,82.580002,83.019997,897500,83.019997
"70",83.129997,83.150002,82.290001,82.5,838100,82.5
"71",82.889999,82.889999,82.379997,82.730003,985000,82.730003
"72",83.199997,83.269997,82.419998,82.629997,870700,82.629997
"73",82.5,82.540001,81.449997,81.599998,635100,81.599998
"74",81.169998,81.910004,80.900002,81.660004,658200,81.660004
"75",81.779999,82.599998,81.550003,82.480003,735100,82.480003
"76",82.129997,82.43,80.879997,80.889999,631500,80.889999
"77",81.029999,81.309998,80.160004,80.900002,1049400,80.900002
"78",80.470001,81.43,80.099998,81.199997,501300,81.199997
"79",81.07,81.459999,80,80.120003,785800,80.120003
"80",80.279999,80.330002,79.580002,79.980003,961500,79.980003
"81",79.959999,80.68,79.260002,80.059998,1081400,80.059998
"82",80.370003,81.239998,80.370003,80.699997,645200,80.699997
"83",81.169998,81.559998,80.970001,81.089996,680100,81.089996
"84",80.690002,80.910004,79.480003,79.480003,442000,79.480003
"85",79.660004,80.440002,78.970001,80.440002,866700,80.440002
"86",80.379997,80.830002,79.550003,79.860001,601800,79.860001
"87",80,80.739998,79.589996,79.610001,438100,79.610001
"88",79.449997,80.139999,79.050003,79.080002,400700,79.080002
"89",79.410004,80.660004,79.279999,80,816800,80
"90",78.830002,78.919998,76.730003,78.169998,1008200,78.169998
"91",77.669998,79.639999,77.290001,78.970001,917600,78.970001
"92",79.459999,80.25,79,79.339996,586600,79.339996
"93",79.349998,80.379997,79.349998,80.349998,650200,80.349998
"94",81.080002,81.989998,80.93,81.839996,848500,81.839996
"95",81.779999,82.120003,80.699997,80.989998,1779200,80.989998
"96",78.029999,79.849998,77.699997,79.690002,3227000,79.690002
"97",79.529999,80.940002,79.199997,80.739998,995900,80.739998
"98",80.809998,82.019997,80.730003,82.010002,1387500,82.010002
"99",82.360001,83.760002,82.110001,83.68,1311500,83.68
"100",83.629997,84.419998,82.660004,83.160004,655200,83.160004
"101",82.739998,84.339996,82.540001,84,610300,84
"102",84.5,84.790001,83.620003,84.120003,680600,84.120003
"103",84.580002,84.599998,83.25,83.760002,1048000,83.760002
"104",83.419998,84.599998,83.360001,84.309998,831700,84.309998
"105",84.620003,84.849998,83.949997,84.410004,614900,84.410004
"106",84.449997,85.300003,84.120003,85.169998,734100,85.169998
"107",85.160004,85.309998,84.339996,84.639999,647900,84.639999
"108",84.610001,85.519997,84.5,85.32,488400,85.32
"109",85.209999,87.889999,85.209999,86.870003,891100,86.870003
"110",86.760002,87.610001,85.760002,87.400002,904100,87.400002
"111",87.32,88.919998,87.120003,88.68,1298700,88.68
"112",88.589996,88.629997,87.25,87.580002,939000,87.580002
