"","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume","MSI.Adjusted"
"1",67.739998,67.959999,67.5,67.699997,1305000,65.924655
"2",67.339996,67.5,66.849998,66.93,1017800,65.474662
"3",66.839996,67.029999,66.290001,66.459999,1310000,65.01488
"4",66.699997,67.089996,66.629997,66.779999,695400,65.327922
"5",66.709999,67.129997,66.660004,66.720001,962000,65.269229
"6",66.610001,66.910004,66.529999,66.639999,712700,65.190966
"7",66.75,66.889999,66.519997,66.620003,1191100,65.171405
"8",66.610001,67.07,66.610001,67.059998,1285100,65.601832
"9",67.239998,67.5,66.949997,67.07,2179700,65.611617
"10",67.040001,67.32,66.910004,67.099998,817200,65.640963
"11",66.940002,67.190002,66.699997,66.730003,987400,65.279013
"12",66.610001,66.610001,66.269997,66.550003,905100,65.102927
"13",66.68,66.68,66.160004,66.559998,575100,65.112704
"14",66.330002,66.849998,66.050003,66.779999,3307400,65.327922
"15",66.889999,66.970001,66.510002,66.57,2656500,65.122489
"16",66.900002,67.269997,66.839996,66.959999,2449700,65.504008
"17",66.760002,67.080002,66.68,67.019997,942500,65.562701
"18",67.220001,67.480003,67.059998,67.410004,553500,65.944228
"19",67.18,67.559998,67.18,67.239998,939700,65.777918
"20",66.970001,67.209999,65.980003,66.269997,2590300,64.829009
"21",66.370003,66.68,66.239998,66.580002,1173800,65.132274
"22",66.099998,66.599998,65.949997,66.449997,935800,65.005095
"23",66.32,66.370003,65.900002,66,978800,64.564883
"24",66.029999,66.519997,66.010002,66.080002,1079600,64.643146
"25",66.220001,66.440002,65.019997,65.489998,2549600,64.065971
"26",65.709999,65.980003,65.57,65.669998,1612600,64.242057
"27",65.480003,65.650002,64.910004,64.940002,1475700,63.527935
"28",65.260002,65.68,65.07,65.489998,1842900,64.065971
"29",65.449997,65.879997,65.300003,65.739998,1259800,64.310535
"30",65.940002,66.419998,65.800003,66.050003,1104400,64.613799
"31",66.080002,66.089996,65.669998,65.769997,914100,64.339881
"32",66,66.029999,65.529999,65.610001,1192700,64.183364
"33",65.440002,65.449997,64.919998,65,792100,63.586628
"34",64.959999,65.360001,64.779999,65.209999,757900,63.79206
"35",65.32,65.489998,64.720001,64.739998,1141900,63.332279
"36",64.989998,65.07,64.580002,64.830002,1015100,63.420326
"37",64.519997,64.610001,63.59,63.68,1617700,62.29533
"38",63.799999,64.190002,63.549999,63.82,1130100,62.432285
"39",63.799999,64.349998,63.599998,64.110001,2604200,62.71598
"40",61.52,62.759998,60.540001,61.389999,3399900,60.055123
"41",61.02,61.439999,60.57,61.209999,3200700,59.879037
"42",61.25,62.299999,61.189999,61.25,2258100,59.918168
"43",61.380001,62.209999,61.209999,62.189999,1499600,60.837727
"44",62.240002,62.299999,61.709999,61.73,948800,60.387731
"45",61.73,61.84,61.25,61.639999,1229200,60.299687
"46",61.830002,62.310001,61.709999,62.029999,1658500,60.681207
"47",62.119999,62.169998,61.450001,61.52,1451000,60.182298
"48",61.830002,61.869999,60.689999,61,2979600,59.673604
"49",61.310001,61.619999,60.790001,60.810001,4838800,59.487737
"50",60.880001,61.619999,60.880001,61.369999,2702000,60.035558
"51",61.32,61.799999,61.259998,61.639999,1419200,60.299687
"52",61.540001,61.759998,61.360001,61.700001,1578800,60.358384
"53",61.68,61.689999,61.209999,61.23,1482100,59.898603
"54",61.52,61.599998,60.990002,61.02,1194300,59.69317
"55",61.139999,61.18,60.220001,60.299999,2413500,58.988824
"56",60.299999,60.540001,59.459999,59.68,2108100,58.382307
"57",59.41,59.599998,59.220001,59.369999,1992900,58.079046
"58",59.540001,59.630001,59.029999,59.400002,2113700,58.108397
"59",59.310001,59.439999,58.860001,59.009998,2270900,57.726874
"60",58.970001,59.18,58.740002,58.939999,2255600,57.658396
"61",58.970001,59.150002,58.860001,58.98,2950500,57.697527
"62",58.91,59.110001,58.610001,58.889999,2447700,57.609484
"63",58.880001,61.130001,58.73,61.02,11481100,59.69317
"64",60.880001,61.189999,60.450001,61.080002,2577800,59.751867
"65",61.099998,61.41,61.009998,61.220001,1766900,59.888822
"66",60.740002,61.240002,60.68,61.220001,1117300,60.223285
"67",61.110001,61.73,60.880001,61.540001,2069600,60.538075
"68",61.599998,61.599998,61.189999,61.419998,1838200,60.420026
"69",61.27,61.860001,61.27,61.689999,1476400,60.685631
"70",61.720001,62.099998,61.650002,61.91,2275200,60.90205
"71",61.959999,62.150002,61.630001,62.040001,1952400,61.029935
"72",62.240002,62.43,61.549999,61.880001,2332500,60.87254
"73",61.689999,61.93,61.150002,61.68,1479200,60.675795
"74",61.529999,61.77,61.369999,61.57,1491900,60.567585
