"","PRU.Open","PRU.High","PRU.Low","PRU.Close","PRU.Volume","PRU.Adjusted"
"1",88.540001,89.779999,88.540001,89.57,1473800,87.195504
"2",88.970001,89.610001,88.68,88.860001,1757200,86.504327
"3",89.82,90.099998,87.910004,88.43,3354500,86.085726
"4",88.660004,89.269997,87.629997,88.139999,2723700,85.803413
"5",87.919998,88.470001,87.669998,88.059998,1539800,85.725532
"6",87.75,89.489998,87.690002,89.360001,2137000,86.991072
"7",89.360001,90.550003,88.830002,90.519997,3474200,88.120317
"8",90.519997,90.519997,89.139999,90.010002,2125100,87.623842
"9",90.580002,91.269997,90.139999,91.099998,2698000,88.684943
"10",90.980003,91.029999,90.059998,90.519997,1849000,88.120317
"11",90.089996,90.959999,89.300003,89.470001,1661600,87.098157
"12",88.919998,89.400002,88.43,89.230003,2329400,86.864521
"13",89.050003,89.260002,87.769997,89.139999,1856300,86.776903
"14",88.800003,89.029999,88.300003,88.989998,3663900,86.630878
"15",88.989998,89.910004,88.580002,88.769997,2060400,86.416709
"16",89.230003,90.690002,89.220001,90.169998,2274700,87.779597
"17",90,90.860001,89.830002,90.089996,1881700,87.701716
"18",90.889999,91.879997,90.889999,91.510002,1550900,89.084077
"19",91.029999,91.209999,90.25,90.5,1755300,88.10085
"20",90.370003,90.5,89.019997,89.379997,2394200,87.010539
"21",89.410004,90.349998,89.410004,89.599998,1790900,87.224708
"22",88.309998,88.889999,87.519997,88.790001,2365000,86.436183
"23",88.589996,89.870003,88.389999,89.720001,1865400,87.341529
"24",90.589996,91.25,90.519997,90.610001,1883600,88.207935
"25",90.599998,91.209999,89.970001,90.639999,1708500,88.237138
"26",90.809998,91.18,90.339996,90.849998,1446100,88.44157
"27",90.349998,91.239998,89.169998,89.32,1827100,86.952132
"28",89.739998,90.93,89.440002,90.739998,1583600,88.334486
"29",90.080002,90.639999,89.669998,90.330002,2371000,87.935359
"30",90.849998,91.139999,90.470001,90.760002,1713100,88.35396
"31",90.68,90.910004,89.849998,90.300003,1435900,87.906155
"32",90.470001,90.489998,89.5,89.82,2270700,87.438877
"33",89.5,89.830002,88.169998,88.919998,2807600,86.562734
"34",88.639999,89.080002,87.220001,88.980003,3474900,86.621149
"35",88.779999,89.07,87.410004,87.540001,2047800,85.219321
"36",88.389999,89.410004,87.959999,89.160004,2924200,86.796377
"37",88.480003,88.760002,86.970001,86.970001,2813500,84.664432
