"","ABT.Open","ABT.High","ABT.Low","ABT.Close","ABT.Volume","ABT.Adjusted"
"1",40.029999,40.560001,40.029999,40.529999,5057600,39.68655
"2",40.240002,40.490002,39.93,40,5940000,39.167581
"3",39.98,40.040001,39.66,39.810001,6510800,38.981536
"4",39.77,39.849998,39.66,39.790001,3966300,38.961952
"5",39.830002,40.369999,39.59,39.900002,5499800,39.069663
"6",39.799999,39.98,39.639999,39.860001,4593200,39.030495
"7",39.84,40.41,39.740002,40.369999,5223200,39.52988
"8",40.509998,41.02,40.389999,41,6380800,40.14677
"9",41.209999,41.299999,40.810001,40.849998,12626700,39.99989
"10",40.970001,41.119999,40.669998,40.73,4922700,39.882389
"11",40.610001,40.91,40.43,40.450001,4398200,39.608217
"12",40.630001,40.98,40.439999,40.700001,4394100,39.853014
"13",40.740002,40.779999,40.419998,40.619999,5691700,39.774677
"14",40.509998,40.689999,40.209999,40.540001,8432800,39.696344
"15",40.669998,41.150002,40.599998,40.900002,6711200,40.048853
"16",41.18,41.299999,40.98,41.18,5472200,40.323025
"17",41.23,41.849998,41.119999,41.790001,5766000,40.920331
"18",41.810001,41.959999,41.630001,41.889999,3e+06,41.018248
"19",41.68,41.82,41.490002,41.509998,4043400,40.646155
"20",41.330002,41.43,40.939999,41.049999,4789500,40.195729
"21",41.209999,41.380001,40.950001,41.27,3562400,40.411152
"22",41.029999,41.299999,40.919998,41.240002,4839200,40.381777
"23",41.09,41.360001,40.98,41.299999,5077900,40.657417
"24",41.950001,41.950001,41.5,41.82,6699800,41.169327
"25",41.740002,41.799999,41.169998,41.169998,10954200,40.529438
"26",41.57,41.580002,41,41.049999,5564800,40.411306
"27",41.02,42.990002,41,41.900002,12228300,41.248084
"28",41.900002,42.799999,41.779999,42.73,9538000,42.065168
"29",42.5,43.029999,42.259998,42.959999,8027300,42.291589
"30",43,43.23,42.880001,43.09,8315800,42.419567
"31",43.240002,43.27,42.869999,42.970001,4315900,42.301435
"32",42.939999,43.169998,42.740002,42.889999,4890700,42.222678
"33",42.889999,43.110001,42.759998,43.040001,3979100,42.370346
"34",42.950001,43.049999,42.619999,42.93,3449200,42.262057
"35",42.970001,42.98,42.549999,42.75,4575300,42.084857
"36",42.959999,43.09,42.66,42.860001,3564000,42.193146
"37",42.52,42.880001,42.080002,42.119999,4658700,41.464658
"38",42,42.360001,41.810001,42.029999,3905900,41.376058
"39",42.119999,42.5,41.84,42.389999,3639100,41.730458
"40",42.139999,42.369999,41.66,41.779999,4190500,41.129948
"41",41.669998,41.970001,41.439999,41.77,3726900,41.120105
"42",41.75,41.98,41.48,41.529999,4013800,40.883838
"43",41.48,41.720001,41.150002,41.689999,4417600,41.041348
"44",41.919998,42.16,41.630001,42.049999,2630400,41.395748
"45",41.91,42.110001,41.419998,41.57,3337500,40.923216
"46",41.880001,42.16,41.830002,42.16,3441500,41.504037
"47",42.150002,42.450001,42.150002,42.330002,4679900,41.671394
"48",42.360001,42.650002,41.709999,42.060001,5031600,41.405594
"49",42.619999,42.619999,42.099998,42.23,3234800,41.572947
"50",42.299999,42.619999,42.09,42.540001,2963300,41.878125
"51",42.220001,42.490002,41.959999,42.139999,4953600,41.484347
"52",42.290001,42.52,42.200001,42.32,3060800,41.661547
"53",42.220001,42.330002,42,42.110001,2462400,41.454815
"54",42.41,42.700001,42.27,42.490002,2424000,41.828904
"55",42.5,42.93,42.369999,42.799999,3229100,42.134078
"56",42.73,42.880001,42.5,42.599998,2805100,41.937189
"57",42.43,42.599998,42.27,42.349998,2525300,41.691079
"58",42.41,42.41,42.060001,42.240002,4384400,41.582794
"59",42.169998,42.400002,41.939999,42.23,4300900,41.572947
"60",42.400002,42.790001,42.349998,42.759998,4143500,42.0947
"61",42.799999,43.080002,42.669998,42.900002,4123200,42.232525
"62",42.880001,42.959999,42.450001,42.950001,3484300,42.281746
"63",42.880001,43.080002,42.599998,42.810001,2602900,42.143925
"64",42.830002,42.98,42.639999,42.830002,3586800,42.163614
"65",42.98,43.049999,42.630001,42.900002,3503000,42.232525
"66",42.689999,43.029999,42.380001,42.560001,7754900,41.897815
"67",42.619999,42.869999,42.450001,42.549999,4259600,41.887968
"68",42.610001,42.779999,42.439999,42.720001,3067500,42.055325
"69",42.709999,42.970001,42.490002,42.900002,3179500,42.232525
"70",42.939999,43.57,42.759998,43.380001,4788700,42.705056
"71",43.490002,43.869999,43.439999,43.689999,5032900,43.01023
"72",43.959999,44.200001,43.560001,43.59,6139300,42.911788
"73",43.59,43.669998,43.220001,43.400002,3402000,42.724745
"74",42.709999,43.16,42.490002,42.5,6585900,41.838747
"75",42.450001,42.91,42.439999,42.630001,6268300,41.966725
"76",42.419998,42.48,41.970001,42,4316700,41.346526
"77",42.130001,42.240002,41.91,42.009998,6349900,41.356369
"78",41.669998,42.009998,41.669998,41.900002,4881100,41.248084
"79",41.799999,41.990002,41.59,41.59,4874800,40.942906
"80",42.049999,42.060001,41.009998,41.18,5573800,40.539285
"81",41.220001,41.450001,40.91,41.209999,4707100,40.568817
"82",41.41,41.860001,41.279999,41.790001,3430900,41.139795
"83",42.040001,42.470001,41.990002,42.360001,6713300,41.700926
"84",42.09,42.18,41.450001,41.459999,5178200,40.814927
"85",41.439999,42.169998,41.349998,42.139999,6067400,41.484347
"86",42.189999,42.540001,41.610001,41.630001,5503700,40.982284
"87",41.470001,42.290001,41.450001,41.540001,4990100,41.110941
"88",41.470001,41.77,40.869999,40.919998,4494600,40.497342
"89",41,41.939999,40.939999,41.060001,7129200,40.6359
"90",40.380001,40.529999,39.360001,40.009998,8971800,39.596742
