"","KRFT.Open","KRFT.High","KRFT.Low","KRFT.Close","KRFT.Volume","KRFT.Adjusted"
"1",60.240002,60.349998,59.549999,59.93,2276200,57.466026
"2",59.82,59.970001,59.240002,59.490002,2217500,57.044117
"3",59.200001,59.279999,58.810001,58.939999,2391600,56.516727
"4",59.040001,59.240002,58.650002,59.009998,2103900,56.583849
"5",58.689999,59.32,58.689999,59.290001,1621300,56.852339
"6",59.200001,59.5,59.150002,59.349998,1593000,56.90987
"7",59.150002,59.57,58.900002,59.52,3091000,57.072883
"8",59.630001,60.189999,59.52,60.049999,2569500,57.581091
"9",60.240002,60.599998,60,60.5,5785700,58.01259
"10",60.209999,60.349998,59.619999,59.75,2539600,57.293426
"11",59.790001,59.830002,59.34,59.599998,2050000,57.149592
"12",59.470001,59.470001,58.900002,59.32,2055200,56.881105
"13",59.32,59.349998,58.830002,59.299999,1601000,56.861927
"14",59.18,59.669998,59.060001,59.66,1901100,57.207126
"15",59.77,60.060001,59.419998,59.950001,2388700,57.485204
"16",60.060001,60.5,59.810001,60.330002,2313000,57.849581
"17",60.240002,60.529999,60.110001,60.43,1702800,57.945469
"18",60.59,60.720001,60.439999,60.630001,1220200,58.137246
"19",60.790001,60.790001,60.360001,60.630001,1754000,58.137246
"20",60.599998,61.099998,60.360001,60.66,3308500,58.166012
"21",60.25,60.25,59.66,59.720001,2445800,57.764605
"22",59.939999,59.939999,59.369999,59.450001,2467300,57.503445
"23",59.419998,59.849998,59.25,59.790001,1846500,57.832313
"24",60.110001,60.48,60.009998,60.240002,2694000,58.267579
"25",60.299999,60.34,59.709999,59.790001,1720300,57.832313
"26",59.950001,60.080002,59.630001,59.990002,1720700,58.025765
"27",59.68,59.709999,59.130001,59.16,1761600,57.222939
"28",59.52,59.830002,59.209999,59.790001,2367700,57.832313
"29",59.759998,59.849998,59.310001,59.52,1847800,57.571153
"30",59.720001,60,59.700001,59.830002,1800900,57.871004
"31",59.860001,59.880001,58.060001,58.299999,5193300,56.391098
"32",58.650002,58.75,58.07,58.330002,3739200,56.420118
"33",58.470001,58.5,58.169998,58.299999,2011100,56.391098
"34",58.470001,58.580002,58.07,58.200001,1738300,56.294373
"35",57.889999,58.470001,57.75,57.759998,2958700,55.868778
"36",58.389999,58.389999,57.07,57.240002,3147600,55.365807
"37",55.779999,55.970001,53.34,53.59,10523400,51.835317
"38",53.599998,54.790001,53.330002,54.720001,5522900,52.928319
"39",54.700001,55,54.470001,54.650002,3168900,52.860611
"40",54.509998,54.900002,53.959999,54.209999,3287300,52.435015
"41",54.040001,55.610001,53.860001,55.369999,5477300,53.557034
"42",55.689999,55.689999,54.639999,54.68,3590300,52.889627
"43",54.810001,55.610001,54.790001,55.549999,2534700,53.73114
"44",55.790001,56.279999,55.68,56.02,2431300,54.185752
"45",56.009998,56.23,55.830002,56.099998,1834200,54.263131
"46",56.169998,56.759998,56.130001,56.66,2710400,54.804796
"47",56.68,56.93,56.619999,56.91,1407500,55.046611
"48",57.380001,57.41,56.59,56.75,3153800,54.89185
"49",56.919998,57.330002,56.880001,57.25,2170400,55.375478
"50",57.290001,57.400002,57.02,57.279999,1339300,55.404495
"51",57.540001,57.59,57,57.080002,1863900,55.211046
"52",57.080002,57.610001,57.07,57.259998,1535100,55.385149
"53",57.439999,57.540001,57.07,57.220001,1625700,55.346462
"54",57.540001,58.119999,57.310001,58.09,2470800,56.187974
"55",57.900002,58.52,57.900002,58.450001,2505400,56.536188
"56",58.509998,58.720001,58.150002,58.41,1643700,56.497496
"57",58.25,58.52,58.209999,58.48,1409200,56.565204
"58",58.639999,58.919998,58.43,58.900002,1813100,56.971454
"59",58.869999,59,58.259998,58.549999,2274300,56.632912
"60",58.84,58.860001,58.32,58.599998,1384500,56.681274
"61",58.799999,58.900002,58.349998,58.419998,1751000,56.507167
"62",58.549999,58.830002,58.34,58.82,1569400,56.894072
"63",58.549999,58.720001,58.119999,58.209999,1943400,56.304044
"64",58.060001,58.259998,57.84,58.09,2096700,56.187974
"65",58.240002,58.299999,57.880001,58.16,1401800,56.255682
"66",57.830002,58.41,57.720001,58.400002,1497800,56.487826
"67",58.049999,58.360001,57.470001,57.720001,3332900,55.83009
"68",57.970001,58.16,57.689999,57.869999,1637400,55.975177
"69",57.939999,58.529999,57.91,58.349998,2042500,56.43946
"70",58.18,58.25,57.27,57.32,3484600,55.443186
"71",57.380001,57.52,57.27,57.439999,2714500,55.559256
"72",57.360001,57.470001,56.880001,56.91,5174900,55.046611
