"","RDC.Open","RDC.High","RDC.Low","RDC.Close","RDC.Volume","RDC.Adjusted"
"1",32.259998,32.380001,32.009998,32.009998,1497800,31.473011
"2",31.809999,32.169998,31.75,31.799999,1885300,31.266535
"3",31.92,32.290001,31.799999,32.150002,1911000,31.610666
"4",32.25,32.459999,32.029999,32.400002,1932800,31.856472
"5",32.23,32.84,32.02,32.580002,1618300,32.033452
"6",32.419998,32.830002,32.419998,32.630001,1793100,32.082613
"7",32.630001,32.639999,32.040001,32.290001,1957800,31.748317
"8",32.349998,32.450001,32.110001,32.330002,1810700,31.787646
"9",32.439999,32.810001,32.419998,32.650002,2205700,32.102278
"10",32.810001,32.849998,32.48,32.549999,1130100,32.003953
"11",32.549999,32.650002,32.060001,32.080002,1477500,31.54184
"12",32,32.130001,31.42,31.559999,2003700,31.030561
"13",31.59,31.690001,31.24,31.59,1347300,31.060059
"14",31.5,31.860001,31.5,31.6,1077900,31.069891
"15",31.6,32.02,31.51,31.93,1233300,31.394355
"16",32.060001,32.16,31.870001,31.879999,1206600,31.345193
"17",31.9,32.080002,31.73,31.75,1845700,31.217374
"18",31.889999,31.889999,31.59,31.700001,1093300,31.168214
"19",31.690001,32.029999,31.6,31.610001,1864600,31.079724
"20",31.59,31.719999,31.219999,31.49,2730900,30.961736
"21",31.6,31.67,31.27,31.469999,1135400,30.942071
"22",31.209999,31.27,30.959999,31.15,1272700,30.627439
"23",31.15,31.219999,30.780001,30.879999,1443600,30.361968
"24",30.950001,31.450001,30.950001,31.389999,1360100,30.863413
"25",31.629999,31.780001,31.27,31.709999,1490200,31.178045
"26",31.870001,32.060001,31.43,31.969999,4423100,31.433683
"27",31.959999,32.150002,31.469999,31.5,1499800,30.971568
"28",31.530001,31.6,30.98,31.01,1988900,30.489789
"29",31.01,31.129999,30.780001,31.030001,1479200,30.509454
"30",32.07,32.07,31.049999,31.23,2821000,30.706097
"31",31.27,31.459999,30.82,31.370001,1111200,30.84375
"32",31.42,31.42,31.02,31.07,867000,30.548782
"33",31,31.23,30.84,31.1,506500,30.578279
"34",31.09,31.209999,30.559999,30.799999,819500,30.283311
"35",30.790001,31.200001,30.68,31.08,1034800,30.558614
"36",31.129999,31.25,30.809999,31.110001,1127600,30.588111
"37",30.85,31,30.52,30.52,2295600,30.008009
"38",30.379999,30.75,30.209999,30.58,1608100,30.067002
"39",30.51,30.65,30.16,30.629999,1635600,30.116162
"40",30.440001,30.440001,29.799999,29.889999,2889800,29.388576
"41",29.84,30.35,28.77,28.92,5320800,28.434849
"42",28.84,29.01,28.43,28.82,2903400,28.434849
"43",28.870001,29.549999,28.709999,29.5,1674500,29.105761
"44",29.57,29.98,29.35,29.74,1472800,29.342554
"45",29.66,29.790001,29.370001,29.43,1042800,29.036697
"46",29.469999,29.68,29.200001,29.27,999600,28.878836
"47",29.33,29.540001,28.98,29.030001,2228100,28.642043
"48",29.08,29.530001,28.99,29.51,3758000,29.115628
"49",29.58,29.700001,29.24,29.450001,33423200,29.05643
"50",29.4,30.23,29.4,29.719999,3304800,29.322821
"51",29.74,30.030001,29.450001,29.940001,2643200,29.539882
"52",29.959999,29.959999,29.690001,29.700001,1248300,29.303089
"53",29.719999,29.76,29.280001,29.67,1460600,29.27349
"54",29.75,29.879999,29.41,29.530001,1620800,29.135361
"55",29.690001,30.120001,29.66,29.82,1539000,29.421485
"56",29.709999,30,29.530001,29.85,1576100,29.451084
"57",29.82,29.98,29.68,29.870001,922400,29.470818
"58",29.99,30.32,29.879999,30.32,956000,29.914803
"59",30.27,30.27,29.57,29.6,1623000,29.204425
"60",29.74,30,29.620001,29.67,1383800,29.27349
"61",29.610001,29.610001,28.84,28.950001,1362200,28.563112
"62",28.889999,29.02,28.629999,28.91,1682100,28.523646
"63",28.780001,28.860001,28.440001,28.67,1610500,28.286854
"64",28.65,28.870001,28.43,28.57,1036400,28.18819
"65",28.559999,28.700001,28.17,28.6,1158900,28.217789
"66",28.33,28.780001,28.17,28.74,1155100,28.355918
"67",28.65,28.65,28.110001,28.25,2300800,27.872467
"68",28.139999,28.290001,27.799999,28.16,2577000,27.783669
"69",28.129999,28.27,27.84,27.860001,2494800,27.487679
"70",27.940001,27.959999,27.15,27.17,2146100,26.8069
