"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"1",144.970001,145.210007,144.460007,144.970001,1700000,141.560161
"2",144.660004,144.970001,144.190002,144.410004,1489900,141.013335
"3",144.949997,144.949997,142.779999,143.070007,1839400,139.704857
"4",143.190002,143.75,142.830002,143.360001,1376200,139.988029
"5",142.929993,143.529999,142.600006,143.320007,1274300,139.948977
"6",143.009995,143.990005,142.639999,143.690002,1209400,140.310269
"7",143.929993,144.389999,142.770004,144.330002,1340700,140.935215
"8",144.529999,144.720001,143.990005,144.490005,1560500,141.091455
"9",144.539993,145.300003,144.199997,145.160004,4204600,141.745694
"10",145.100006,145.300003,144.009995,144.089996,1390200,140.700855
"11",143.710007,144.619995,143.050003,143.089996,1404500,139.724376
"12",143,144.380005,142.880005,143.649994,1321800,140.271202
"13",143.75,143.990005,142.559998,143.729996,1490900,140.349322
"14",143.169998,144.070007,143.059998,143.690002,1981800,140.310269
"15",143.919998,143.929993,143.059998,143.240005,1878400,139.870856
"16",143.410004,144.820007,143.380005,144.559998,1767600,141.159801
"17",144.229996,145.300003,143.559998,145.229996,1621300,141.81404
"18",145.25,145.729996,145,145.410004,1142200,141.989814
"19",145.479996,145.580002,144.5,144.910004,1257900,141.501575
"20",145.220001,145.399994,144.479996,144.559998,1596700,141.159801
"21",144.779999,145.039993,144.029999,144.679993,1521800,141.276974
"22",143.5,144.199997,143.240005,143.889999,2070100,140.505562
"23",144.139999,144.490005,143.539993,144.309998,1907900,140.915681
"24",144.990005,145.710007,144.75,145,2114600,141.589454
"25",145,145.479996,144.360001,145.059998,1955700,141.64804
"26",145.279999,146.25,145.029999,146.169998,1969200,142.731933
"27",145.330002,145.669998,143.449997,143.539993,2776500,140.163788
"28",143.830002,145.059998,143.539993,144.830002,2133000,141.423454
"29",144.660004,144.869995,143.649994,144.300003,1520900,140.905922
"30",144.889999,145.669998,144.889999,145.119995,1608200,141.706627
"31",145.339996,145.449997,144.529999,144.679993,1849400,141.276974
"32",145.509995,146.429993,144.470001,145.130005,2580000,141.716401
"33",145.660004,145.940002,144.589996,145.119995,1601800,141.706627
"34",144.919998,145.630005,143.779999,145.529999,2002200,142.106987
"35",145.220001,146.270004,143.990005,144.020004,2286600,140.632509
"36",144.259995,144.779999,143.520004,143.740005,2458400,140.359096
"37",143.330002,143.550003,140.600006,140.889999,3571100,137.576125
"38",140.149994,141.039993,139.080002,140.110001,2505800,136.814472
"39",140.149994,140.979996,139.210007,140.75,2494500,137.439418
"40",140.619995,141.119995,139.339996,139.779999,2168500,136.492233
"41",139.139999,139.940002,138.429993,139.550003,2679000,136.267647
"42",140.050003,140.369995,138.960007,139.130005,1892500,135.857527
"43",139.300003,140.889999,138.889999,140.850006,2702600,137.537072
"44",140.929993,141.5,140.539993,140.580002,1919100,137.273419
"45",140.619995,141.210007,140.429993,140.880005,2176100,137.566365
"46",141.350006,141.830002,140.919998,141.800003,3104300,138.464724
"47",142,142.389999,141.850006,142.339996,1586900,138.992016
"48",142.809998,142.979996,141.020004,141.919998,1960900,138.581897
"49",142.75,144.190002,142.589996,144.119995,1852900,140.730148
"50",144.470001,145.009995,143.809998,144.25,1592500,140.857095
"51",143.860001,144.820007,143.5,144.600006,2298800,142.040773
"52",144.779999,144.990005,144.350006,144.5,1475800,141.942537
"53",144.5,144.830002,144.020004,144.130005,1547500,141.57909
"54",144.660004,144.990005,144.419998,144.699997,1012900,142.138994
"55",145,145.389999,144.570007,144.600006,1808100,142.040773
"56",144.429993,144.860001,143.630005,143.940002,1402200,141.392451
"57",143.320007,144.119995,143.020004,143.979996,1314100,141.431736
"58",144.059998,144.389999,143.179993,144,1537800,141.451386
"59",143.300003,144.610001,143.300003,144.220001,1578800,141.667494
"60",144.470001,144.720001,143.550003,143.820007,1533600,141.274579
"61",144.210007,144.649994,143.350006,143.610001,1549800,141.06829
"62",143.639999,144.320007,143.149994,144.199997,1989100,141.647844
"63",144.410004,145.449997,144.110001,144.889999,2446100,142.325634
"64",144.699997,145.259995,144.25,144.460007,1745400,141.903252
"65",144.630005,144.990005,144,144.639999,1558800,142.080059
"66",143.990005,144.380005,143.600006,144.350006,1465400,141.795198
"67",144.449997,144.449997,143.5,143.940002,2135400,141.392451
"68",144.169998,144.690002,143.660004,144.479996,1868000,141.922887
"69",143.800003,144.990005,143.589996,144.850006,1945100,142.286349
"70",144.919998,145.789993,144.270004,145.369995,2757000,142.797134
"71",145.699997,147.059998,145.690002,146.839996,2364800,144.241119
"72",147.419998,147.869995,146.520004,146.690002,8106200,144.093779
"73",146.919998,147,145.5,145.710007,2231000,143.131128
"74",145.229996,145.600006,144.350006,144.369995,2049700,141.814833
"75",144.169998,145.119995,143.720001,144.880005,2608200,142.315816
"76",144.410004,144.460007,142.070007,142.479996,2764200,139.958284
"77",142.520004,142.889999,140.979996,142.419998,3557700,139.899349
"78",140.940002,142.339996,140.660004,142.190002,2848300,139.673424
"79",142.5,142.899994,141.279999,141.679993,2675100,139.17244
"80",141.160004,141.669998,138.720001,139.179993,2925900,136.716687
"81",138.570007,139.320007,137.949997,138.669998,3221300,136.215719
"82",139.330002,140.449997,138.570007,140.169998,3514100,137.689171
"83",140.550003,141.279999,139.589996,140.339996,2464700,137.85616
"84",138.820007,140.179993,137.660004,137.679993,3144900,135.243235
"85",138.25,141.479996,137.720001,141.410004,4135500,138.90723
"86",141.149994,141.5,138.330002,138.639999,3768000,136.186251
