"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"1",93.75,94.080002,93.660004,93.940002,707200,91.399612
"2",93.629997,93.910004,93.32,93.389999,677900,90.864483
"3",93.480003,93.790001,93,93.309998,730300,90.786645
"4",93.5,93.589996,93.029999,93.5,619100,90.971509
"5",93.419998,93.699997,93.230003,93.32,617300,90.796376
"6",93.010002,93.540001,92.760002,93.489998,631700,90.961777
"7",93.459999,93.669998,93.019997,93.57,706400,91.039615
"8",93.660004,94.269997,93.379997,94.029999,880500,91.487175
"9",94.059998,94.230003,93.309998,93.370003,1336600,90.845027
"10",93.43,93.889999,93.129997,93.330002,777500,90.806108
"11",93.330002,93.629997,93.040001,93.07,1009500,90.553137
"12",92.589996,93.019997,92.510002,92.669998,905000,90.650959
"13",92.650002,92.809998,91.900002,92.150002,798300,90.142292
"14",92.040001,92.519997,91.849998,92.220001,1636700,90.210767
"15",92.209999,92.5,91.989998,92.169998,909500,90.161853
"16",92.519997,93.139999,92.519997,92.75,1020100,90.729218
"17",92.580002,92.989998,92.25,92.330002,745400,90.318371
"18",92.75,93.120003,92.459999,92.849998,568700,90.827038
"19",92.919998,93.5,92.830002,93.43,892700,91.394403
"20",92.989998,93.410004,92.779999,92.800003,1145300,90.778132
"21",92.839996,93.540001,92.779999,93.459999,859000,91.423748
"22",92.790001,93.279999,92.620003,93.18,1068000,91.14985
"23",93.040001,93.620003,92.949997,93.43,899600,91.394403
"24",94.089996,94.370003,93.769997,93.940002,589200,91.893294
"25",93.940002,94.379997,93.889999,94.040001,1134500,91.991113
"26",94.150002,94.260002,93.75,93.860001,693600,91.815035
"27",93.589996,94.169998,92.940002,92.970001,551000,90.944426
"28",93.279999,93.599998,92.860001,93.580002,622400,91.541136
"29",93.07,93.870003,93.07,93.709999,581500,91.668301
"30",93.459999,93.459999,92.07,92.169998,1317600,90.161853
"31",92.519997,93,92.25,92.860001,854700,90.836822
"32",92.980003,93.230003,92.730003,92.760002,1074600,90.739002
"33",90.75,91.389999,88.889999,89.620003,2577900,87.667415
"34",89.190002,89.489998,88.529999,88.860001,1790300,86.923972
"35",88.940002,89.230003,88.5,88.559998,1146200,86.630505
"36",88.800003,88.800003,87.760002,87.900002,1517200,85.984889
"37",87.660004,88.080002,86.709999,86.709999,1613000,84.820813
"38",86.709999,87.629997,86.629997,86.980003,1558700,85.084935
"39",86.860001,87.209999,86.400002,87.059998,1522200,85.163186
"40",87.18,87.480003,86.690002,86.82,1487300,84.928417
"41",86.589996,87.489998,86.589996,87.440002,1346900,85.534912
"42",87.580002,87.760002,87.169998,87.470001,1900200,85.564257
"43",87.349998,88.470001,87.279999,88.339996,1180500,86.415297
"44",89,89.080002,88.339996,88.800003,928100,86.865281
"45",88.559998,89.309998,88.550003,88.860001,726700,86.923972
"46",89.209999,89.419998,88.839996,89.349998,614700,87.403294
"47",89.400002,90,89.349998,89.870003,577100,87.911969
"48",90.07,90.459999,89.239998,89.839996,757200,87.882616
"49",90.160004,90.559998,90.029999,90.440002,607300,88.469549
"50",90.43,90.599998,90.260002,90.360001,491600,88.391291
"51",90.370003,90.589996,90.040001,90.529999,663200,88.557585
"52",90.620003,91.190002,90.5,91.139999,564200,89.154295
"53",90.980003,91.18,90.260002,90.43,923000,88.459765
"54",90.839996,91.199997,90.489998,90.989998,725000,89.007562
"55",91.199997,91.400002,90.910004,91.099998,500800,89.115166
"56",91,91.610001,91,91.519997,523000,89.526013
"57",91.169998,91.730003,91.129997,91.459999,624000,89.467323
"58",91.599998,92.019997,91.279999,91.949997,849000,89.946645
"59",92.040001,92.349998,91.639999,91.989998,891100,89.985775
"60",92.440002,92.449997,91.800003,92.099998,803400,90.093379
"61",91.980003,92.410004,91.690002,91.769997,831000,89.770567
"62",91.589996,91.93,91.379997,91.860001,629000,89.85861
"63",91.900002,92.150002,91.410004,91.709999,614200,89.711876
"64",91.660004,91.800003,91.029999,91.290001,724200,89.301029
"65",91.25,91.610001,91.209999,91.379997,837200,89.389064
"66",91,91.300003,90.730003,91.129997,1052200,89.144511
"67",90.910004,91.440002,90.580002,90.769997,868400,88.792354
"68",90.849998,91.809998,90.639999,91.510002,693200,89.516237
"69",91.550003,91.82,91.190002,91.57,657300,89.574927
"70",91.459999,92.129997,91.230003,91.720001,1036100,90.214253
"71",92.129997,92.959999,91.870003,92.730003,1038200,91.207675
"72",93.029999,93.120003,92.07,92.129997,1708800,90.617519
