"","TGT.Open","TGT.High","TGT.Low","TGT.Close","TGT.Volume","TGT.Adjusted"
"1",57.580002,57.580002,56.669998,56.860001,6609800,55.175784
"2",56.709999,57.32,56.610001,57.080002,5344900,55.389269
"3",57.139999,57.360001,57.110001,57.240002,5457900,55.544529
"4",57.349998,57.470001,57.049999,57.23,3718800,55.534824
"5",57.23,57.790001,57.060001,57.740002,5342600,56.029719
"6",57.599998,58.619999,57.509998,58.169998,6618700,56.446979
"7",58.299999,58.740002,58.119999,58.700001,3748900,56.961283
"8",58.720001,59.32,58.700001,58.740002,3900500,57.000099
"9",58.709999,58.810001,58.099998,58.290001,5189000,56.563427
"10",58.119999,58.450001,58.060001,58.419998,3749100,56.689574
"11",58.18,58.860001,58.02,58.700001,4374500,56.961283
"12",58.509998,58.509998,57.919998,58.060001,5998500,56.34024
"13",58.07,58.099998,57.630001,57.869999,3548000,56.155866
"14",57.77,58.32,57.75,58.119999,8466000,56.398461
"15",58.09,58.5,57.84,57.950001,4864300,56.233498
"16",58.389999,58.450001,57.950001,58.369999,3768500,56.641056
"17",58.5,59.099998,58.400002,58.77,3061400,57.029209
"18",59.119999,59.529999,58.939999,59.509998,3014400,57.747288
"19",59.360001,60.049999,59.23,59.990002,4917300,58.213073
"20",59.75,59.939999,59.380001,59.799999,4582200,58.028699
"21",59.57,60.189999,59.57,60.049999,4276700,58.271294
"22",59.459999,59.98,59.459999,59.93,3799900,58.154849
"23",59.959999,60.049999,59.650002,60,3109100,58.222775
"24",60.139999,60.189999,59.950001,60.18,3809200,58.397444
"25",60.549999,60.720001,60.23,60.709999,5722100,58.911744
"26",60.740002,60.740002,59.82,60.139999,6987700,58.358628
"27",59.990002,60.200001,59.57,59.720001,4559400,57.95107
"28",59.82,60.040001,59.5,60.009998,4735900,58.232478
"29",59.98,60.02,59.040001,59.299999,4122900,57.543509
"30",59.419998,59.52,59.139999,59.380001,3548400,57.621141
"31",59.450001,60.84,59.369999,60.73,6167200,58.931152
"32",60.740002,61.07,60.419998,60.990002,3491900,59.183453
"33",60.759998,60.889999,60.290001,60.389999,2629200,58.601223
"34",60.400002,60.580002,59.990002,60.299999,4011200,58.513889
"35",60.349998,61.32,60.299999,61.099998,3807200,59.290192
"36",61.310001,61.630001,61.139999,61.380001,3677000,59.5619
"37",61,61,59.580002,59.59,7067900,57.82492
"38",59.32,60,59.200001,59.849998,4011800,58.077217
"39",60.169998,61,59.919998,60.700001,4232000,58.902042
"40",58.450001,59.41,57.810001,58.029999,14982100,56.311126
"41",57.48,58.240002,57.259998,57.970001,7262700,56.252906
"42",58.259998,58.360001,57.27,57.5,4917200,55.796826
"43",57.889999,58.59,57.619999,58.540001,4710700,56.806022
"44",58.599998,58.669998,58.150002,58.360001,2788100,56.631354
"45",58.349998,58.540001,58.02,58.459999,2946000,56.72839
"46",58.43,58.48,57.75,58.259998,3661300,56.534313
"47",58.200001,58.77,58.09,58.740002,3144900,57.000099
"48",58.740002,58.77,57.84,58.200001,4186700,56.476093
"49",58.049999,58.689999,57.75,58.549999,4016700,57.327933
"50",58.84,59.41,58.599998,59.25,4807300,58.013324
"51",58.5,60.790001,58.25,60.330002,12835000,59.070783
"52",60.400002,61.09,59.82,61.07,6562000,59.795336
"53",61.139999,61.459999,60.779999,61.049999,4566200,59.775753
"54",61.299999,61.5,60.720001,60.98,4368200,59.707214
"55",61.049999,61.200001,60.59,60.700001,3224800,59.43306
"56",60.73,60.959999,60.639999,60.790001,2797700,59.521181
"57",60.48,60.59,60.07,60.349998,4221300,59.090363
"58",60.720001,60.720001,60.049999,60.07,4008100,58.816208
"59",60.279999,60.5,59.98,60.189999,2602700,58.933702
"60",60.529999,60.57,59.98,60.389999,3553500,59.129529
"61",60.380001,61.209999,60.200001,61.029999,4363300,59.75617
"62",61,61.150002,60.5,61.080002,3401800,59.805129
"63",60.900002,61.200001,60.27,60.560001,3191300,59.295982
"64",60.470001,60.91,60.18,60.880001,4237200,59.609303
"65",61.009998,62.34,60.869999,61.950001,8681600,60.656969
"66",61.830002,62.68,61.610001,62.59,5599800,61.283611
"67",62.540001,62.650002,61.98,62.529999,4427400,61.224862
"68",62.43,62.610001,62.07,62.209999,3694100,60.911541
"69",62.07,63.259998,62.060001,62.860001,4552400,61.547976
"70",62.869999,63.09,62.48,62.869999,3275900,61.557765
"71",63.23,64.650002,63.200001,63.93,7343500,62.595642
"72",64.230003,64.360001,63.610001,63.810001,4918900,62.478148
"73",63.540001,63.77,63.130001,63.360001,3078100,62.03754
"74",63.32,63.599998,63.07,63.080002,3995300,61.763385
"75",63,63.93,62.990002,63.880001,3249400,62.546686
"76",63.630001,63.759998,62.75,62.880001,2840900,61.567559
"77",63.200001,63.279999,62.639999,63.150002,2336200,61.831924
"78",62.57,63.16,62.529999,63.040001,2170300,61.724219
"79",62.860001,63.09,62.52,62.68,2557700,61.371732
"80",62.68,62.900002,62.029999,62.07,3876400,60.774464
"81",62.139999,62.700001,61.610001,62.57,3199800,61.264028
"82",63.09,63.450001,62.77,63.07,2606500,61.753592
"83",63.029999,63.34,62.189999,62.279999,2481300,60.98008
"84",62.02,62.080002,61.330002,61.540001,3661900,60.255527
"85",61.68,62.959999,61.52,62.810001,3951200,61.49902
"86",62.75,63.09,61.419998,61.599998,4349000,60.314272
"87",61.68,62.439999,60.549999,60.59,6201900,59.325355
"88",60.549999,61.57,60.029999,60.439999,5330000,59.178484
"89",60.959999,61.82,60.740002,61.689999,4542600,60.402394
"90",60.860001,61.240002,59.290001,59.98,7773900,58.728086
"91",58.830002,60.169998,58.720001,59.439999,4332600,58.199357
"92",59.93,60.060001,58.900002,59.07,6502300,57.83708
"93",58.959999,60.310001,58.959999,60.290001,4302200,59.031617
"94",60.689999,61.939999,60.41,61.639999,4790200,60.353438
"95",61.77,62.43,61.27,61.330002,3790600,60.049911
"96",61.790001,62.5,61.689999,62.029999,3412700,60.735298
"97",61.950001,62.02,61.200001,61.57,3984500,60.2849
"98",61.549999,61.75,61.029999,61.560001,3630500,60.27511
"99",61.25,61.32,60.290001,60.650002,4976500,59.384104
"100",60.720001,60.959999,60.369999,60.889999,2992200,59.619093
"101",60.810001,61.959999,60.549999,61.779999,2294300,60.490516
"102",62.25,62.369999,61.439999,61.82,4231400,60.529682
"103",61.82,61.98,61.139999,61.59,2728000,60.304483
"104",61.560001,61.630001,60.98,61.369999,3038300,60.089074
"105",61.849998,62,60.990002,61.119999,2687700,59.844292
"106",61.330002,62,61.130001,61.889999,3956100,60.59822
"107",62.279999,64.660004,62.169998,64.169998,7531300,62.830631
"108",64.839996,65.919998,64.139999,65.519997,7876600,64.152452
"109",65.440002,65.860001,65.260002,65.720001,3418200,64.348282
"110",65.489998,66.900002,65.370003,66.720001,6236600,65.32741
"111",66.959999,67.779999,66.940002,67.5,7880200,66.091128
"112",67.330002,68.279999,67.150002,68.129997,5487200,66.707976
"113",67.580002,67.699997,66.900002,67.129997,7260200,66.234379
"114",66.959999,67.760002,66.5,67.510002,5575400,66.609314
"115",69.949997,73.080002,69.860001,72.5,25614400,71.532738
"116",71.339996,71.830002,70.300003,71.190002,11064500,70.240218
"117",71.800003,72.260002,71.050003,71.510002,6835200,70.555948
"118",71.360001,72.160004,71,71.57,4095100,70.615145
"119",71.68,72.199997,71.360001,72.099998,6634400,71.138073
"120",71.959999,72.300003,71.730003,72.160004,4123300,71.197278
"121",72.559998,74.760002,72.559998,74,4466500,73.012726
"122",73.339996,73.470001,72.059998,72.75,7798400,71.779403
"123",72.529999,73.400002,72.379997,73.07,4142200,72.095133
"124",73,73.830002,72.589996,73.330002,6699600,72.351666
"125",73.330002,73.400002,72.529999,73.279999,4238000,72.30233
"126",73.519997,73.709999,72.879997,73.660004,3760000,72.677265
"127",73.5,74.099998,73.239998,73.779999,3851500,72.79566
"128",72.650002,73.629997,72.400002,73.599998,3367600,72.618061
"129",73.300003,74.190002,72.839996,72.910004,4556000,71.937271
"130",73.660004,74.580002,73.32,73.529999,5648200,72.548995
"131",73.540001,74,72.389999,72.400002,4592000,71.434074
"132",73.07,73.519997,72.400002,73.199997,3638000,72.223396
"133",73.199997,73.309998,71.980003,72.279999,7869200,71.315672
"134",72.879997,73.730003,72.279999,73.57,2972800,72.588462
"135",74.300003,74.989998,73.720001,74.639999,7823800,73.644186
"136",74.400002,74.620003,73.690002,73.949997,6277200,72.96339
"137",73.970001,74.589996,73.870003,74.5,3730300,73.506055
"138",74.830002,75.07,74.360001,74.690002,3514500,73.693522
"139",74.790001,75.32,74.610001,74.650002,1783800,73.654055
"140",74.720001,75.370003,74.610001,75.059998,2217000,74.058581
"141",75.059998,75.989998,74.870003,75.529999,2744900,74.522312
"142",75.440002,75.879997,75.199997,75.709999,2160800,74.699911
"143",75.449997,76.650002,75.269997,75.910004,3206000,74.897247
"144",76.110001,76.639999,74.550003,75.330002,3710300,74.324983
"145",75.169998,75.510002,73.879997,73.980003,3778200,72.992996
"146",74.300003,74.690002,72.739998,73.970001,4659300,72.983127
"147",74.879997,76.949997,74.879997,76.769997,6946900,75.745766
"148",76.809998,77.75,76.690002,77.129997,6344900,76.100964
"149",77.260002,77.370003,76.330002,76.43,3210400,75.410306
"150",76.080002,76.940002,76.040001,76.629997,2837200,75.607635
"151",76.889999,77.660004,75.470001,75.949997,4915600,74.936707
"152",74.610001,75.040001,73.690002,74.330002,5634900,73.338325
"153",77.300003,77.5,75.080002,75.669998,17296000,74.660443
"154",75.330002,75.459999,73.349998,74.940002,9973000,73.940187
"155",74.940002,75.139999,72.889999,73.669998,9165600,72.687126
"156",73.510002,74.32,73.080002,73.949997,5034400,72.96339
"157",74.470001,75.940002,73.629997,75.769997,4662800,74.759108
"158",75.889999,75.93,74.650002,75.290001,3954600,74.285516
"159",75.330002,75.480003,74.779999,75.25,3584800,74.246049
"160",75,75.339996,74.389999,74.760002,3228200,73.762588
"161",75.339996,76.040001,74.129997,74.260002,4174300,73.269259
"162",74.260002,75.489998,73.830002,75.489998,4545700,74.482845
"163",74.769997,75.129997,73.550003,73.610001,7176900,72.627929
