"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"1",78.650002,78.809998,77.830002,78.279999,1399200,74.998398
"2",78.279999,78.43,77.25,77.419998,1715500,74.17445
"3",77.379997,77.959999,76.599998,77.849998,1607400,74.586424
"4",77.769997,78.260002,77.139999,78.199997,1030100,74.92175
"5",78.199997,79.269997,78.099998,79.010002,1972700,75.697799
"6",78.440002,78.809998,77.779999,78.519997,1117100,75.228335
"7",78.519997,80.209999,78.43,80.169998,1507400,76.809166
"8",80.199997,80.940002,80.110001,80.790001,1650300,77.403178
"9",81,81.529999,80.699997,80.830002,2163500,77.441502
"10",80.730003,80.82,79.790001,80.540001,1572500,77.163658
"11",80.470001,80.910004,80.389999,80.449997,1702400,77.077427
"12",80.510002,81.230003,80.400002,81.169998,1090800,77.767245
"13",81.150002,81.330002,80.660004,80.860001,1136200,77.470243
"14",80.57,81.300003,80.300003,81.18,1460400,77.776828
"15",81.32,82.300003,81.150002,82.089996,1266100,78.648676
"16",81.879997,82.480003,81.209999,81.300003,1412800,77.8918
"17",81.220001,81.300003,78.080002,78.660004,3073000,75.362473
"18",78.209999,78.400002,76.970001,76.970001,2087400,73.743317
"19",77.190002,78.529999,77.190002,78.400002,2244300,75.11337
"20",78.470001,79.169998,78.269997,78.470001,1781600,75.180435
"21",78.470001,78.900002,77.370003,77.970001,1651700,74.701396
"22",77.5,78.830002,77.43,78.699997,1617800,75.400789
"23",78.660004,78.940002,77.870003,78.019997,1077400,74.749296
"24",78.400002,78.440002,77.18,77.199997,1332200,73.963671
"25",77.410004,77.629997,77,77.529999,1622400,74.279839
"26",77.620003,78.010002,77.110001,77.949997,1638700,74.68223
"27",77.150002,77.610001,76.190002,76.269997,1758900,73.072658
"28",77,77.269997,75.949997,77.220001,1544100,73.982837
"29",77.050003,77.470001,76.709999,77.349998,1506000,74.107385
"30",77.510002,77.849998,75.970001,76,2177800,72.81398
"31",76.120003,76.269997,75.57,75.639999,2310500,72.469071
"32",75.459999,76.43,75.459999,76.349998,2139200,73.149306
"33",76.389999,76.779999,75.360001,75.480003,1449900,72.315782
"34",75.529999,76.690002,75.400002,76.349998,1907100,73.149306
"35",76.459999,76.459999,74.440002,74.989998,2322400,71.846318
"36",75.010002,75.510002,73.559998,74.160004,2102900,71.051119
"37",73.910004,74.110001,72.809998,72.830002,1323900,69.776872
"38",72.879997,73.620003,72.760002,72.989998,1552500,69.930161
"39",72.919998,72.980003,71.120003,72.43,4022300,69.393639
"40",72.18,73.080002,71.82,72.120003,2417900,69.096637
"41",71.900002,71.919998,70.699997,70.82,2524000,67.851132
"42",71.050003,71.910004,71.050003,71.57,1448000,68.569691
"43",71.75,72.720001,71.75,72.68,1286500,69.633159
"44",72.650002,73.349998,72.440002,72.550003,1349000,69.508611
"45",71.550003,71.860001,71.260002,71.419998,1128500,69.217854
"46",71.459999,72.089996,71.139999,71.919998,1564300,69.702437
"47",71.849998,73.220001,71.849998,73.010002,1667000,70.758832
"48",73.010002,73.639999,72.349998,72.82,1255200,70.574688
"49",72.900002,73.199997,72.57,72.75,783900,70.506847
"50",72.889999,73.970001,72.800003,73.959999,1120200,71.679537
"51",74.110001,75.18,73.639999,75.110001,2191700,72.79408
"52",74.940002,75.800003,74.540001,74.82,1199900,72.513021
"53",74.910004,75.139999,74.080002,74.57,936600,72.270729
"54",74.68,75.639999,74.599998,75.580002,1191200,73.249589
"55",75.43,75.769997,74.32,74.470001,1286300,72.173814
"56",74.879997,75.540001,74.559998,75.480003,929700,73.152674
"57",75.379997,76.379997,75.220001,76.330002,852400,73.976464
"58",76.43,77.449997,76.360001,77.410004,1353900,75.023165
"59",77.330002,77.419998,75.889999,76.379997,1959800,74.024918
"60",76.550003,77.5,76.550003,77.139999,887700,74.761486
"61",77.010002,77.290001,76.459999,76.860001,1804400,74.490121
"62",76.970001,77.639999,76.599998,77.410004,1385600,75.023165
"63",77.480003,77.559998,76.059998,76.349998,1194300,73.995844
"64",76.120003,76.709999,75.559998,76.129997,1297000,73.782626
"65",76.18,76.349998,75.580002,76.160004,831900,73.811707
"66",76.190002,77.080002,75.900002,77.059998,984900,74.683951
"67",76.540001,76.650002,75.290001,75.480003,844300,73.152674
"68",75.68,76.43,75.550003,75.949997,1340400,73.608176
"69",75.849998,77.489998,75.709999,77.010002,1194800,74.635497
"70",77.220001,77.459999,76.239998,76.519997,1080300,74.1606
"71",76.690002,77.029999,75.599998,75.839996,930200,73.501567
"72",76.129997,76.879997,75.860001,76.82,1591900,74.451353
"73",76.519997,77.559998,76.330002,76.989998,1196800,74.61611
"74",76.959999,77.040001,76.360001,76.510002,1762500,74.150914
"75",76.639999,76.720001,76.010002,76.309998,859100,73.957076
"76",76.32,76.529999,75.800003,76,1222500,73.656637
"77",76.099998,76.449997,75.43,76.139999,934200,73.79232
"78",76,76.769997,75.900002,76.739998,998000,74.373818
"79",76.940002,78.370003,76.790001,77.330002,1615800,74.94563
"80",77.330002,78.699997,77,78.040001,1463400,75.633737
"81",77.790001,78.32,77.32,77.470001,1593700,75.081313
"82",77.68,77.989998,76.510002,77.82,1149700,75.42052
"83",77.900002,78.279999,77.470001,77.709999,907200,75.313911
"84",77.5,78.839996,77.370003,77.809998,1612700,75.410826
"85",77.989998,79.639999,77.809998,79.620003,1771700,77.165022
"86",79.050003,79.660004,77.440002,77.510002,2109900,75.12008
"87",77.779999,78.660004,77.68,77.830002,1556100,75.430213
"88",77.989998,79.57,77.709999,78.68,1942500,76.254003
"89",79.050003,81.589996,78.739998,81.040001,2777700,78.541236
"90",78.980003,81.660004,77.650002,78.949997,2778600,76.515675
"91",77.870003,79.519997,77.050003,79.400002,1965200,76.951804
"92",79.800003,79.980003,78.040001,79.330002,2377000,76.883963
"93",79.290001,79.949997,79.099998,79.839996,1271700,77.378232
"94",80.059998,80.07,79.400002,80,1282600,77.533302
"95",80,81.379997,79.959999,80.940002,1256400,78.444321
"96",81.489998,81.959999,80.75,81.290001,1422400,78.783528
"97",81.279999,82.190002,81.239998,82.139999,1089000,79.607318
"98",82.139999,82.650002,81.779999,82.110001,1636200,79.578244
"99",82.129997,82.220001,81.099998,81.879997,1885800,79.355332
"100",82.050003,82.879997,81.18,82.059998,1382600,79.529782
"101",82.459999,84.260002,81.949997,84.239998,1422900,81.642565
"102",84.559998,84.580002,83.550003,84.019997,2165400,81.429347
"103",84.300003,84.309998,83.480003,83.849998,2165200,81.264591
"104",80.769997,83.75,80.040001,82.470001,1757000,79.927144
"105",83.07,84.129997,82.480003,83.699997,3751600,81.119215
"106",83.730003,83.849998,81,81.959999,3669600,79.432867
"107",82.379997,82.709999,81.510002,82.68,2325500,80.130668
"108",82.080002,83.32,82.080002,83.290001,2366700,81.540422
"109",83.480003,83.580002,82.480003,82.959999,1629900,81.217352
"110",82.32,82.489998,80.580002,81.620003,2543400,79.905504
"111",81.830002,82.800003,81.480003,81.68,1931000,79.964241
"112",81.510002,81.949997,81.089996,81.449997,1633900,79.739069
"113",81.309998,83.449997,81.160004,83.269997,1854300,81.520838
"114",83.459999,84.440002,82.870003,83.900002,1237500,82.137609
"115",83.68,84.120003,83.059998,83.339996,1444900,81.589367
"116",82.900002,83.279999,82.040001,82.230003,1232100,80.502691
"117",82.910004,82.980003,81.800003,82.400002,1542000,80.669118
"118",82.559998,82.720001,81.360001,81.470001,1233000,79.758653
"119",81.419998,81.540001,80.970001,81.309998,1254400,79.60201
"120",81.669998,82.489998,81.540001,82.169998,1378600,80.443946
"121",82.349998,84.010002,82.349998,83.900002,915400,82.137609
"122",83.209999,84.989998,82.760002,83.830002,2016800,82.06908
"123",83.529999,84.110001,83.269997,83.699997,1548200,81.941806
"124",83.699997,83.860001,83.099998,83.470001,1031100,81.716641
"125",83.300003,83.989998,83.199997,83.559998,1037100,81.804747
"126",82.5,83,82.18,82.720001,1634900,80.982396
"127",82.830002,84.32,82.620003,84.040001,1105500,82.274668
"128",83.830002,84.790001,83.349998,83.980003,2119400,82.21593
"129",83.989998,84.519997,83.040001,83.089996,1204500,81.344619
"130",83.209999,85.209999,83.120003,84.900002,1642500,83.116603
"131",84.339996,87.989998,84.150002,86.410004,4037500,84.594886
"132",86.510002,87.919998,85.919998,86.370003,3077900,84.555726
"133",86.5,87.410004,85.860001,86,2696700,84.193495
"134",86.190002,87.760002,86.080002,87.32,2248500,85.485767
"135",87.339996,88.709999,87.080002,88.699997,1627500,86.836776
"136",89.059998,89.959999,88.559998,89.029999,3446900,87.159846
"137",86.540001,88.650002,86.129997,88.309998,1964000,86.454969
"138",88.5,88.860001,87.540001,88.07,1374900,86.220013
"139",88.150002,89.989998,87.870003,89.529999,1282900,87.649343
"140",89.769997,91.029999,89.769997,90.419998,850300,88.520648
"141",90.550003,92.019997,90.349998,91.160004,1229700,89.245109
"142",91.169998,91.169998,89.68,89.93,1141700,88.040943
"143",90.260002,90.559998,87.400002,87.480003,1564300,85.64241
"144",87.480003,88.099998,86.660004,87.709999,1944800,85.867574
"145",87.809998,88.260002,86.559998,87.050003,1661100,85.221442
"146",87.110001,88.75,86.830002,86.889999,1838000,85.064799
"147",87.019997,88.309998,86.669998,87.769997,1094200,85.926312
"148",87.940002,88.730003,87.800003,88.290001,1018500,86.435393
"149",88.510002,88.889999,86.879997,87.790001,1468100,85.945896
"150",88.129997,88.220001,86.550003,87.040001,1114700,85.21165
"151",87.519997,88.629997,85.709999,86.040001,2595400,84.232656
"152",85.599998,87.199997,85.169998,87.150002,1521300,85.31934
"153",87.150002,88.639999,87,88.489998,1482400,86.631189
"154",88.550003,89,88,88.669998,1295700,86.807408
"155",89.099998,89.559998,87.940002,88.699997,1196500,86.836776
"156",88.470001,89.760002,87.93,89.68,957600,87.796194
"157",90.040001,90.330002,88.709999,89.419998,1503900,87.541653
"158",89.669998,89.879997,89.220001,89.599998,1254200,87.717873
"159",89.489998,89.720001,88.400002,88.830002,1217200,86.96405
"160",88.889999,89.269997,88.339996,88.440002,1145700,86.582243
"161",88.449997,90.120003,88.449997,88.93,2028600,87.061948
"162",88.669998,90.059998,88.269997,89.900002,1201000,88.011574
"163",89.57,89.790001,87.43,87.510002,1281400,85.671779
"164",87.559998,88.57,86.779999,88.150002,1542300,86.298334
"165",88.209999,89.519997,87.470001,89.419998,1757500,87.541653
"166",89.059998,89.25,87.160004,87.470001,1581800,85.632618
"167",87.480003,88.129997,85.599998,86.519997,2212500,84.702569
"168",86.150002,86.370003,81.989998,82.410004,2842400,80.67891
"169",82.540001,83.139999,81.029999,81.300003,2099000,79.592226
"170",80.669998,81.889999,80.589996,81.839996,2476500,80.947275
"171",81.800003,81.809998,80.480003,80.959999,1725000,80.076877
"172",81.080002,81.279999,80.260002,80.650002,1509800,79.770261
"173",80.160004,80.25,78.349998,79.120003,2087300,78.256952
"174",79.080002,79.839996,78.150002,78.860001,1516700,77.999786
"175",78.900002,80.370003,78.529999,80.260002,1303500,79.384516
"176",80.440002,80.800003,79.449997,79.760002,812200,78.88997
"177",79.68,79.830002,78.5,79.32,1160600,78.454767
"178",79.709999,80.300003,79.339996,80.279999,999900,79.404294
"179",80.25,81.07,79.870003,80.459999,1370600,79.582331
"180",80.169998,80.809998,79.169998,79.379997,1208600,78.51411
"181",79.709999,79.830002,78.949997,79.199997,1028100,78.336073
"182",79.25,79.57,78.510002,79.510002,1509500,78.642697
"183",79.18,79.389999,76.839996,77.669998,2070300,76.822764
"184",77.550003,77.779999,76.720001,77.480003,1067700,76.634842
"185",76.900002,77.279999,76.010002,76.5,1146700,75.665528
"186",76.839996,77.309998,76.620003,77.019997,845100,76.179853
