"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"1",566,568.799988,563.169983,564.76001,282900,564.76001
"2",560.919983,571.51001,560.01001,570.340027,325600,570.340027
"3",571.75,583.27002,570.01001,581.849976,916200,581.849976
"4",576.840027,589,576.840027,588.26001,586900,588.26001
"5",587.030029,595.47998,584.380005,594.01001,451100,594.01001
"6",593.140015,596.159973,590.539978,593.52002,322300,593.52002
"7",591.880005,595.330017,587.200012,594.909973,322700,594.909973
"8",594.450012,597.450012,591.549988,594.539978,359200,594.539978
"9",595,595.840027,590.650024,592.429993,412100,592.429993
"10",592.98999,602.210022,590.75,599.590027,370300,599.590027
"11",599,601.609985,595.460022,595.619995,365100,595.619995
"12",595.700012,600.299988,592.059998,599.5,224700,599.5
"13",596.219971,600.780029,593.299988,600.320007,231900,600.320007
"14",599.809998,600.679993,595.700012,596.140015,314400,596.140015
"15",596.409973,597.080017,592.059998,592.51001,311100,592.51001
"16",596.349976,604.080017,594.530029,603.26001,312200,603.26001
"17",603.48999,603.48999,597,599.320007,240100,599.320007
"18",600.25,604.780029,598.549988,603.599976,140600,603.599976
"19",601.650024,603.159973,592.830017,593.830017,298600,593.830017
"20",591.26001,592.75,575.919983,586.590027,520900,586.590027
"21",588.549988,605,588.549988,604.169983,597000,604.169983
"22",596,607.549988,595.049988,600.609985,425400,600.609985
"23",600.440002,601.5,597.5,598.48999,224600,598.48999
"24",601.700012,608.77002,600.090027,604.919983,325500,604.919983
"25",605,606.869995,590.340027,597.450012,558700,597.450012
"26",601,601.320007,590,590.469971,387000,590.469971
"27",591.02002,592,579.809998,581.650024,415400,581.650024
"28",583.710022,593.409973,583.02002,592.419983,432500,592.419983
"29",593.289978,596.900024,582.690002,589.929993,1099600,589.929993
"30",649.900024,667.900024,649.27002,659.77002,2260800,659.77002
"31",658.710022,662.690002,655.159973,661.27002,554500,661.27002
"32",663.130005,663.77002,656.789978,660.200012,373800,660.200012
"33",657.799988,674,657.799988,673.580017,595800,673.580017
"34",675.109985,678.960022,671.98999,678.01001,470700,678.01001
"35",677.419983,680.369995,673.309998,674.359985,282400,674.359985
"36",678,682.669983,676,681.830017,404200,681.830017
"37",678.01001,679.5,672,672.5,462400,672.5
"38",674.809998,677.179993,667.640015,675.140015,341600,675.140015
"39",678.030029,686.049988,674.440002,682.97998,445500,682.97998
"40",682.929993,682.929993,671.530029,674.710022,333600,674.710022
"41",671,681.559998,668.669983,673,374800,673
"42",677.5,679.950012,669.159973,671.840027,289800,671.840027
"43",668,670.210022,664.23999,669.700012,354200,669.700012
"44",673.460022,682.73999,668.080017,680.539978,355000,680.539978
"45",678.159973,679.659973,672,676.22998,225900,676.22998
"46",675,688.429993,675,683.679993,387500,683.679993
"47",683.780029,685.969971,675.809998,679.289978,303900,679.289978
"48",682.47998,684.150024,673.76001,678.179993,331700,678.179993
"49",681,684.869995,680.409973,684.830017,201100,684.830017
"50",686.349976,689.450012,680.820007,681.080017,231600,681.080017
"51",680.76001,680.76001,675.02002,678.409973,305900,678.409973
"52",697,697.929993,677.5,681.070007,716100,681.070007
"53",678.169983,681.409973,673.890015,676.950012,358900,676.950012
"54",679,680.219971,675.02002,676.23999,213700,676.23999
"55",676.719971,685.97998,676.719971,683.890015,289600,683.890015
"56",681.380005,683.869995,676.140015,677.030029,259800,677.030029
"57",676.150024,679.659973,674.25,677.840027,153000,677.840027
"58",678.969971,680.5,674.150024,678.650024,180800,678.650024
"59",678.849976,683.5,675.25,682.900024,232700,682.900024
"60",684.5,692.900024,678.799988,680.099976,306900,680.099976
"61",681,685.440002,677.23999,680.539978,270600,680.539978
"62",679.809998,683.140015,676.349976,677.950012,240000,677.950012
"63",677.900024,679.77002,674.450012,678.369995,205600,678.369995
"64",679.099976,679.099976,669.27002,669.950012,282800,669.950012
"65",673,677.190002,664.159973,671.359985,366600,671.359985
"66",670.289978,673.700012,666.619995,672.72998,317400,672.72998
"67",671.840027,672.640015,663.159973,664.809998,302800,664.809998
"68",664.419983,664.849976,650.030029,655.849976,519000,655.849976
"69",655.849976,656.869995,651,654.200012,486700,654.200012
"70",650.5,657.02002,642.640015,653.23999,530200,653.23999
"71",655.5,665.700012,652.609985,664.320007,339900,664.320007
"72",666.25,668.080017,661.460022,664.090027,395200,664.090027
"73",660.77002,663.960022,651.25,656.099976,285400,656.099976
"74",654.640015,659.039978,653.840027,654.580017,164500,654.580017
"75",658.130005,666.97998,656.789978,664.710022,267100,664.710022
"76",659.51001,663.840027,651.409973,653.390015,276900,653.390015
"77",653.299988,664.940002,653.299988,660.77002,253500,660.77002
"78",655.98999,665.73999,651.5,662.940002,240800,662.940002
"79",663.799988,669.780029,657.830017,666.590027,460500,666.590027
"80",666.5,667.440002,656.159973,662.22998,387200,662.22998
"81",661.130005,666.650024,659.369995,662.570007,306400,662.570007
"82",666.390015,675.030029,663.72998,674.5,402900,674.5
"83",677,681.799988,670.619995,671.130005,378800,671.130005
"84",667.049988,669.780029,661.76001,662.820007,348300,662.820007
"85",663.809998,672.659973,660.659973,672.099976,362100,672.099976
"86",670.340027,673.5,657.73999,660.609985,392000,660.609985
"87",659.099976,668.580017,655.01001,655.580017,625900,655.580017
"88",657.75,658.299988,638,639.530029,481700,639.530029
"89",645.5,652.02002,639,651.169983,534500,651.169983
"90",641.369995,653.659973,631,647.380005,613600,647.380005
"91",644.190002,650,635.01001,645.97998,498700,645.97998
"92",647.960022,654.48999,638.030029,641.719971,687000,641.719971
"93",643,654.72998,641.190002,653.030029,1216100,653.030029
"94",624.950012,629.5,607.549988,607.549988,2252700,607.549988
"95",611.27002,619.5,607.570007,608.98999,1001500,608.98999
"96",612.73999,615.669983,609.150024,610,619100,610
"97",613.030029,617.900024,608.799988,615.780029,493600,615.780029
"98",614.75,633.369995,614.75,630.109985,565800,630.109985
"99",631.48999,647.289978,630.559998,645.849976,601900,645.849976
"100",645.599976,648.820007,638.710022,639.859985,441800,639.859985
"101",640.52002,644.940002,637.27002,639.679993,263800,639.679993
"102",643.51001,646.5,636.900024,638,441500,638
"103",638.280029,641,635.320007,638.530029,306000,638.530029
"104",640.369995,649.299988,638,647.679993,407800,647.679993
"105",651,652.099976,640.409973,642.590027,328200,642.590027
"106",643.109985,647.330017,640.549988,647.119995,232800,647.119995
"107",647.380005,651.380005,642.289978,649.030029,300800,649.030029
"108",647.919983,650.400024,645.5,648.859985,275600,648.859985
"109",649.400024,656.820007,647.48999,656.650024,356000,656.650024
"110",654.969971,668.929993,654.51001,664.25,418900,664.25
"111",666,671.789978,662.700012,670.75,348900,670.75
"112",671.099976,675.23999,667.960022,669.799988,277800,669.799988
"113",668,669.72998,657.340027,658.320007,367200,658.320007
"114",656,663.580017,656,658.090027,245300,658.090027
"115",659.98999,660.950012,654.280029,658.559998,234200,658.559998
"116",657.440002,663.830017,656.090027,662.830017,211700,662.830017
"117",667.48999,667.719971,656.919983,657.880005,349000,657.880005
"118",659.75,660.940002,646.590027,659.539978,454900,659.539978
"119",662,664.5,654.119995,654.900024,460400,654.900024
"120",656.830017,661.169983,655,660.210022,162300,660.210022
"121",661.48999,671.98999,661.48999,663.619995,172800,663.619995
"122",664.659973,670.200012,660.400024,660.880005,272000,660.880005
"123",659.880005,664.710022,655.599976,660.039978,286900,660.039978
"124",656.840027,661.5,651.140015,651.27002,391000,651.27002
"125",652.530029,665.799988,651.530029,663.969971,377800,663.969971
"126",665.840027,665.840027,660,660.570007,169700,660.570007
