"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"1",204.399994,205.889999,203.259995,205.800003,834400,101.597714
"2",204.5,205.919998,204.289993,205.600006,763400,101.498981
"3",205.369995,205.710007,203.350006,203.580002,1284000,100.501762
"4",203.830002,204.75,203.210007,204.270004,504200,100.842396
"5",203.75,204.25,201.809998,203.020004,861000,100.225306
"6",202.520004,204.119995,202.050003,202.509995,725600,99.973529
"7",202.25,204,201.270004,203.589996,1122800,100.506696
"8",203.410004,204.050003,202.979996,203.220001,850200,100.324039
"9",203.830002,205.460007,203.279999,204.570007,1507000,100.9905
"10",204.880005,205.070007,203.699997,204.369995,599800,100.891759
"11",203.600006,205.490005,202.520004,203.029999,1050800,100.23024
"12",203.419998,205.850006,203.419998,204.470001,1229400,100.941129
"13",204.729996,204.770004,201.910004,202.580002,955200,100.008089
"14",201.610001,204.199997,201.600006,204.050003,1474000,100.733788
"15",211.929993,213.009995,208.600006,210.149994,2919000,103.745183
"16",210.220001,210.990005,208.830002,208.860001,1358600,103.108349
"17",208.570007,209.479996,207.940002,208.309998,925600,102.836828
"18",208.690002,210.360001,208.380005,210.160004,577200,103.750125
"19",209,209.059998,207.309998,208.380005,1244000,102.871389
"20",207.899994,208.860001,206.690002,206.800003,960000,102.091386
"21",207.800003,208.100006,206.380005,207.820007,849400,102.594934
"22",205.649994,207.809998,205,207.389999,1188000,102.382651
"23",207.039993,208.199997,205.789993,208.029999,701000,102.698601
"24",208.490005,208.940002,207.910004,207.990005,631200,102.678857
"25",208.720001,209.490005,205.380005,205.559998,1512400,101.47923
"26",206.75,207.190002,204.949997,205.789993,2035800,101.592773
"27",205.020004,209.75,205.020004,207.699997,1891000,102.535688
"28",208.199997,210.5,207.960007,209.550003,1398000,103.448984
"29",208.589996,209.809998,208.220001,208.75,1377600,103.054045
"30",209.279999,211.089996,208.949997,210.110001,1163000,103.72544
"31",210.169998,211.660004,209.729996,210.309998,1485000,103.824172
"32",210,211.320007,209.419998,210.020004,914600,103.681011
"33",210,210.5,208.529999,208.869995,629400,103.113283
"34",209.279999,209.639999,207.550003,208.669998,960000,103.014551
"35",208.5,208.570007,204.910004,204.990005,1429800,101.197841
"36",205.25,206.669998,203.600006,204.429993,1270400,100.921378
"37",203.820007,203.820007,198.339996,198.360001,1586600,97.924793
"38",196.979996,199.240005,196.5,198.389999,1409200,97.939602
"39",198.110001,200.990005,198.110001,200.619995,991000,99.040489
"40",199.259995,200.699997,197.679993,198.210007,1059400,97.850745
"41",197.899994,199.809998,197.630005,198.889999,1186600,98.186438
"42",199.630005,200,197,197.320007,1035600,97.740632
"43",197.789993,200.380005,197.020004,200.220001,763400,99.177117
"44",200.649994,201.110001,199.160004,199.179993,753800,98.661958
"45",199.350006,199.990005,198.470001,199.529999,557800,98.83533
"46",200.720001,202.110001,199.199997,202.009995,815600,100.063773
"47",201.550003,202.100006,200.919998,201.570007,867400,99.84583
"48",202.059998,203.770004,200.869995,202.270004,882200,100.192567
"49",202.300003,203.929993,202.220001,203.770004,974400,100.935578
"50",204.100006,205.289993,203.820007,204.630005,814600,101.361571
"51",204,204.740005,203.190002,204.080002,939800,101.089132
"52",204.699997,206,204.080002,205.080002,929000,101.584473
"53",205.100006,205.449997,204.429993,204.550003,644800,101.321943
"54",205.110001,206.360001,204.919998,206.229996,921000,102.154111
"55",206.850006,206.850006,205.550003,206.460007,871600,102.268045
"56",206.110001,206.649994,204.570007,205.240005,859000,101.663729
"57",204.690002,206.119995,204.360001,205.440002,758000,101.762796
"58",205.940002,206.199997,205.210007,205.860001,777000,101.970838
"59",206.389999,206.539993,204.570007,205.190002,858000,101.63896
"60",205.729996,206.119995,203.300003,203.529999,1174400,100.816693
"61",203.830002,205.009995,203.220001,203.619995,799000,100.861272
"62",203.75,204.009995,202.949997,203.960007,1059200,101.029694
"63",203.710007,205.369995,203.229996,203.919998,656000,101.009876
"64",204.119995,204.289993,201.110001,201.460007,836800,99.791342
"65",201.179993,202.649994,200.119995,202.460007,804200,100.286682
"66",200.990005,202.130005,200.449997,201.419998,900800,99.771524
"67",201.320007,201.779999,198.949997,199.679993,949800,98.909628
"68",199.759995,200.389999,198.479996,199.710007,992600,98.924496
"69",199.380005,201.869995,198.529999,200.520004,1623600,99.32572
"70",201.460007,202.899994,200.830002,201.830002,1358600,99.974615
"71",202.210007,204.039993,201.889999,203.160004,1057600,100.633419
"72",203.960007,205.160004,202.779999,202.809998,1459000,100.460047
"73",202.960007,203.460007,199.520004,199.679993,1357000,98.909628
"74",199.240005,199.929993,198.089996,198.279999,1344200,98.216154
"75",198.699997,200.830002,198.479996,200.539993,1175600,99.335622
"76",199.389999,199.619995,197.410004,197.410004,1002600,97.78521
"77",197.119995,198.699997,197,198.449997,766800,98.300361
"78",197.279999,199.889999,196.729996,199.460007,1099400,98.80066
"79",199.080002,199.380005,196.380005,196.740005,1598800,97.453333
"80",196.5,196.5,189.669998,191.169998,3029000,94.694282
"81",190.869995,191.899994,187.889999,191.169998,1724800,94.694282
"82",192.029999,193.660004,190.729996,191.850006,1442600,95.031117
"83",193.539993,193.539993,190.559998,191.270004,939400,94.743819
"84",190.389999,190.389999,186.330002,186.419998,2348000,92.341413
"85",186.449997,189.759995,185.080002,189.529999,2850200,93.881923
"86",189.990005,190.259995,185.610001,186.029999,2205000,92.148231
"87",185.779999,187.410004,183.460007,183.550003,2004000,90.919788
"88",183.289993,183.990005,176.179993,176.589996,2501000,87.472213
"89",177.119995,179.960007,175.419998,177.580002,2546000,87.962603
