"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"1",159.919998,160.839996,159.139999,160.550003,821400,157.055691
"2",159.509995,160.089996,158.009995,158.490005,877100,155.040528
"3",157.669998,158.360001,154.220001,154.770004,1411800,151.401491
"4",155.029999,156.850006,154.740005,156.029999,1126500,152.634063
"5",156,157.009995,155.070007,156.669998,770000,153.260133
"6",156.479996,157.160004,155.690002,155.940002,718800,152.546025
"7",156.25,157.039993,155,156.809998,733400,153.397085
"8",156.5,157.070007,155.169998,157,1691300,153.582952
"9",157.539993,158.820007,157.029999,158.550003,1225000,155.09922
"10",159.169998,159.229996,157.369995,157.490005,781100,154.062293
"11",157.210007,159.289993,156.229996,156.460007,806400,153.054712
"12",156.119995,157.419998,156.059998,157.119995,664500,153.700336
"13",154.979996,155.899994,154.059998,155.020004,1112300,151.64605
"14",154.990005,155.410004,154.139999,154.649994,1464400,151.284093
"15",154.649994,155.360001,153.850006,154.289993,1056200,150.931928
"16",153.369995,155.899994,153.320007,154.350006,1450000,150.990634
"17",154.759995,155.75,153.240005,153.990005,1158000,150.638469
"18",156.220001,158.25,155.600006,157.75,1049300,154.316629
"19",156.679993,157.339996,155.399994,156.009995,1129200,152.614494
"20",155.75,157.429993,154.440002,155.960007,1733500,152.565594
"21",155.279999,155.820007,154.309998,154.470001,1303800,151.108018
"22",152.960007,153.119995,151.5,152,1576400,148.691775
"23",152.539993,152.979996,151.25,152.229996,1346500,148.916765
"24",153.710007,154.190002,152.339996,152.559998,1027600,149.239585
"25",152.889999,154.080002,151.229996,151.889999,1353700,148.584169
"26",152.770004,154.570007,151.880005,154.199997,917800,150.84389
"27",153.020004,154.600006,151.330002,151.550003,985400,148.251572
"28",152.089996,153.039993,151.479996,152.740005,669300,149.415675
"29",151.929993,153.100006,151.660004,153,814100,149.670011
"30",153.949997,155.029999,153.699997,154.009995,755000,150.658023
"31",154.029999,154.440002,152.520004,153.289993,650900,149.953692
"32",153.130005,154.039993,150.539993,150.800003,1912600,147.517896
"33",150.279999,151.350006,148.509995,150.149994,2219100,146.882034
"34",148.009995,148.589996,144.339996,145.350006,3955200,142.186516
"35",145.600006,147.149994,143.669998,143.699997,1977500,140.572419
"36",144.190002,144.479996,141.759995,142.949997,2218600,139.838742
