"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume","EQR.Adjusted"
"1",61.57,61.82,60.880001,61.080002,1284300,58.830137
"2",61,61.580002,60.77,61.27,1002000,59.013137
"3",61.099998,61.290001,60.52,61.25,1145000,58.993874
"4",61.389999,61.919998,60.689999,61.759998,1283600,59.485086
"5",61.59,61.799999,61.080002,61.310001,1366100,59.051665
"6",61.139999,61.490002,60.939999,61.32,1061300,59.061295
"7",61.23,61.98,60.66,61.810001,1694600,59.533247
"8",61.540001,61.959999,61.209999,61.939999,1846900,60.144988
"9",61.950001,62.189999,61.740002,62.080002,2714500,60.280933
"10",61.939999,62.290001,61.919998,61.959999,1588700,60.164408
"11",61.919998,62.470001,61.900002,62.290001,1554400,60.484847
"12",62.240002,63.049999,62.240002,63.009998,1783700,61.183979
"13",63.16,63.16,62.619999,62.959999,1731200,61.135429
"14",62.75,63.540001,62.75,63.529999,1439800,61.68891
"15",63.330002,63.52,62.630001,63,2018200,61.17427
"16",63.209999,63.540001,62.860001,63.310001,1389900,61.475288
"17",63.34,63.470001,62.93,63.450001,823000,61.61123
"18",63.380001,63.419998,62.75,63.189999,786400,61.358763
"19",63.139999,63.389999,63.009998,63.189999,1426400,61.358763
"20",63.369999,63.880001,63.169998,63.509998,2663100,61.669489
"21",63.650002,63.77,63.130001,63.59,2147100,61.747172
"22",63.169998,64.099998,63.07,63.799999,3383600,61.951086
"23",63.900002,64.209999,63.599998,64.190002,1105400,62.329787
"24",64.220001,64.440002,63.900002,64.269997,1274700,62.407463
"25",64.309998,64.690002,64.120003,64.629997,1527600,62.75703
"26",64.720001,64.93,64.440002,64.879997,924100,62.999785
"27",64.540001,64.970001,64.43,64.5,974700,62.6308
"28",64.400002,64.989998,64.300003,64.800003,1320400,62.922109
"29",64.800003,64.919998,64.449997,64.699997,857900,62.825002
"30",64.949997,65.360001,64.790001,65.190002,1055000,63.300807
"31",65.07,65.379997,65.019997,65.32,878000,63.427037
"32",65.400002,65.870003,65.309998,65.839996,1749300,63.931964
"33",65.620003,65.650002,64.809998,64.839996,1571700,62.960944
"34",64.610001,65.870003,64.610001,65.650002,1148300,63.747475
"35",65.949997,65.949997,65.190002,65.400002,1028500,63.50472
"36",65.360001,66.769997,65.089996,66.389999,2217100,64.466028
"37",66.040001,66.239998,64.629997,64.650002,3608000,62.776455
"38",64.43,65.010002,64.110001,64.129997,2478100,62.27152
"39",64.330002,65.339996,63.84,65.110001,1567200,63.223123
"40",64.730003,65,64.019997,64.360001,1415200,62.494858
"41",64.669998,64.68,64.080002,64.510002,1660000,62.640513
"42",64.900002,64.900002,64.349998,64.540001,1265100,62.669642
"43",64.830002,65.129997,64.279999,65.019997,1368900,63.135728
"44",65,65.540001,64.910004,65.160004,1118600,63.271677
"45",65.059998,65.389999,64.870003,64.900002,1092700,63.01921
"46",65.18,66.099998,65.110001,65.919998,1108500,64.009647
"47",66.110001,66.110001,65.639999,65.769997,937600,63.863993
"48",65.870003,65.970001,65.220001,65.68,2729900,63.776605
"49",66.120003,66.809998,65.93,66.790001,1318700,64.854438
"50",66.82,66.900002,66.239998,66.809998,801300,64.873855
"51",66.800003,67.309998,66.300003,67.089996,1069300,65.145739
"52",67.139999,67.43,66.93,67.099998,1196400,65.155451
"53",66.970001,67.169998,66.199997,66.43,1063200,64.50487
"54",66.730003,66.730003,65.830002,66.269997,1063300,64.349503
"55",66.57,66.639999,66.160004,66.220001,850800,64.300956
"56",66.220001,66.650002,66.010002,66.190002,774000,64.271827
"57",66.150002,66.400002,65.830002,66.190002,1049300,64.271827
"58",66.440002,66.620003,66.139999,66.470001,2211200,64.543711
"59",66.629997,66.68,66.059998,66.300003,1363100,64.37864
"60",66.550003,66.660004,65.75,66.529999,1526900,64.60197
"61",66.43,66.790001,66.010002,66.400002,1458500,64.47574
"62",66.239998,67.279999,66.239998,67.260002,1657300,65.310818
"63",67.419998,67.910004,67.279999,67.650002,2142300,65.689515
"64",67.400002,67.519997,66.970001,67.150002,1563500,65.204005
"65",66.93,66.93,64.519997,64.599998,3964100,62.727901
"66",64.349998,64.879997,64.279999,64.690002,2421300,62.815297
"67",64.690002,64.690002,62.330002,62.639999,3324100,60.824702
"68",62.369999,62.939999,61.919998,62.09,2141300,60.290642
"69",62.119999,62.799999,62.110001,62.509998,2374900,60.698469
"70",62.709999,62.970001,62.23,62.290001,2353400,60.484847
"71",62.919998,62.919998,61.34,61.400002,2269100,60.103086
"72",61.639999,61.959999,61.32,61.939999,6185000,60.631677
"73",61.68,62.349998,61.580002,62.07,3196400,60.758933
"74",62.080002,62.77,61.889999,62.09,3133300,60.778511
"75",61.959999,62.43,60.830002,60.860001,3373500,59.574492
"76",61.029999,61.259998,60.689999,60.799999,1922000,59.515758
"77",60.709999,61.459999,60.439999,61.400002,1597900,60.103086
"78",60.98,61.549999,60.700001,61.540001,1442300,60.240129
"79",61.560001,61.830002,60.919998,61.580002,2426200,60.279285
"80",61.580002,62.169998,61.470001,62.029999,3198000,60.719777
"81",62.119999,62.52,61.900002,62.220001,2201500,60.905766
"82",62.459999,62.82,62.029999,62.610001,1871600,61.287527
"83",62.709999,63.48,62.709999,63.040001,2035400,61.708445
"84",63.07,63.290001,62.580002,62.610001,1496800,61.287527
