"","BMY.Open","BMY.High","BMY.Low","BMY.Close","BMY.Volume","BMY.Adjusted"
"1",46.540001,47.130001,46.5,46.91,8838900,45.430728
"2",46.810001,47.52,46.669998,46.959999,9220700,45.479151
"3",46.799999,47.450001,46.709999,46.880001,7207600,45.401675
"4",46.880001,47.369999,46.759998,47.09,6284900,45.605052
"5",47.169998,47.560001,46.84,47.27,8530400,45.779376
"6",47.23,47.639999,47.110001,47.459999,7927600,45.963383
"7",47.540001,48.139999,47.400002,48.060001,9095200,46.544465
"8",48.16,48.439999,47.639999,47.84,7364300,46.331401
"9",47.669998,48.009998,47.490002,47.790001,15352400,46.282979
"10",47.98,48.060001,47.540001,48,6583200,46.486356
"11",47.740002,48.439999,47.639999,48.299999,10706000,46.776895
"12",49.27,49.990002,49.110001,49.73,16412200,48.161801
"13",49.790001,49.91,49.220001,49.549999,7884000,47.987477
"14",49.549999,49.799999,48.91,49.049999,13492100,47.503244
"15",49.169998,49.299999,48.360001,48.509998,9552700,46.980272
"16",48.509998,48.52,47.950001,48.119999,8835900,46.950999
"17",47.669998,48.369999,47.639999,48.240002,7519100,47.068087
"18",48.400002,48.619999,48.119999,48.439999,3204100,47.263225
"19",48.48,48.580002,47.84,48.009998,4919600,46.843671
"20",47.77,47.889999,47.34,47.860001,6872400,46.697317
"21",47.860001,47.93,47.549999,47.919998,5017900,46.755857
"22",47.639999,48.810001,47.549999,48.509998,7811800,47.331524
"23",48.400002,48.700001,48.27,48.619999,3759300,47.438853
"24",48.759998,49.220001,48.459999,49.080002,6139200,47.887681
"25",49.060001,49.34,48.540001,48.709999,8278900,47.526666
"26",48.860001,49.09,48.41,48.799999,6084000,47.61448
"27",48.459999,48.889999,48.23,48.419998,5834300,47.243711
"28",48.5,49.189999,48.279999,49.119999,7450100,47.926706
"29",48.860001,49.220001,48.790001,48.919998,7528300,47.731564
"30",49.110001,49.57,49.07,49.119999,5015900,47.926706
"31",49.16,49.490002,49,49.32,6281200,48.121848
"32",48.959999,49.889999,48.560001,49.459999,8752200,48.258446
"33",49.34,49.48,49.02,49.389999,5872200,48.190147
"34",49.389999,49.91,49.080002,49.799999,6378300,48.590187
"35",49.919998,51.34,49.830002,51.009998,12662200,49.770791
"36",51.209999,51.299999,50.68,51.119999,9151700,49.878119
"37",50.619999,51.139999,50.490002,50.619999,8216200,49.390266
"38",50.790001,50.970001,49.709999,49.810001,7957300,48.599946
"39",49.82,50.209999,49.68,49.98,6006600,48.765814
"40",49.73,49.93,49.139999,49.360001,5605700,48.160877
"41",49.220001,49.900002,49.060001,49.48,5035400,48.277961
"42",49.560001,49.689999,48.509998,48.650002,6767300,47.468126
"43",48.77,49.220001,48.52,49.189999,4408700,47.995005
"44",49.52,49.73,49,49.09,3613100,47.897436
"45",49.009998,49.389999,48.830002,48.98,4565900,47.790108
"46",49.349998,49.66,49.080002,49.169998,6010300,47.975491
"47",49.299999,49.93,49.259998,49.82,5862200,48.609701
"48",49.98,50.18,49.240002,49.68,5315100,48.473103
"49",49.939999,50.130001,49.77,49.990002,4617000,48.775573
"50",50.16,50.299999,49.830002,50.299999,4382900,49.07804
"51",50.07,50.290001,49.880001,50.040001,3570000,48.824358
"52",49.950001,50.240002,49.790001,49.990002,3701800,48.775573
"53",49.939999,50.25,49.919998,50.18,4724800,48.960956
"54",50.25,50.900002,50.09,50.73,4197300,49.497594
"55",50.75,50.939999,50.57,50.77,2970900,49.536623
"56",50.950001,50.950001,50.099998,50.25,4865000,49.029256
"57",50.16,50.650002,50.16,50.540001,3436300,49.312211
"58",50.669998,50.68,50.299999,50.650002,4020600,49.41954
"59",50.619999,50.790001,50.119999,50.580002,4375400,49.35124
"60",50.68,50.759998,50.290001,50.529999,4769800,49.302452
"61",50.669998,50.68,50.299999,50.549999,4933200,49.321967
"62",50.599998,51.139999,50.34,51.119999,5720300,49.878119
"63",51.009998,51.25,50.93,51.189999,3469000,49.946418
"64",51.25,51.25,50.380001,50.48,4995700,49.253668
"65",50.580002,51.299999,50.41,51.080002,6256900,49.839094
"66",51,51.27,50.419998,50.68,4095100,49.44881
"67",50.639999,50.889999,50.130001,50.259998,4021400,49.039011
"68",50.189999,50.369999,49.75,49.950001,3911700,48.736544
"69",49.98,51.169998,49.700001,51.150002,7004500,49.907393
"70",51.09,51.139999,50.580002,50.880001,5208400,49.643952
"71",51.049999,51.43,50.919998,51.119999,4909500,49.878119
"72",51.439999,51.77,51.380001,51.509998,7082700,50.258644
"73",51.5,51.799999,51.450001,51.669998,4684800,50.414757
"74",51.279999,51.639999,50.830002,51.290001,4113300,50.043991
"75",51.349998,52.110001,51.330002,51.959999,7454000,50.697713
"76",51.919998,51.990002,51.470001,51.619999,6014100,50.365972
"77",51.779999,51.849998,50.639999,51.099998,5708800,49.858605
"78",50.799999,52.169998,50.700001,51.709999,6319400,50.453786
"79",51.700001,51.959999,51.139999,51.18,6067000,49.936663
"80",51.009998,51.009998,50.25,50.529999,6088900,49.651703
"81",50.529999,50.900002,50.009998,50.209999,5891400,49.337266
"82",50.509998,50.990002,50.400002,50.849998,5499300,49.966141
"83",51.07,51.220001,50.540001,51.110001,5303400,50.221624
"84",50.66,50.790001,49.75,49.77,6974800,48.904915
"85",49.939999,50.25,49.119999,50.209999,6968100,49.337266
"86",50.189999,50.650002,49.470001,49.5,6586600,48.639607
"87",49.77,51.009998,49.77,50.279999,8427700,49.406049
"88",50.240002,50.419998,48.970001,49.09,5052500,48.236734
"89",49.349998,49.68,48.610001,48.919998,4967600,48.069687
"90",48.360001,49.130001,47.549999,48.959999,7472400,48.108993
"91",48.869999,49.650002,48.560001,49.220001,7188200,48.364475
"92",49.57,50.779999,49.41,50.419998,9481500,49.543614
"93",50.380001,50.630001,50.060001,50.560001,5871000,49.681184
"94",51.009998,52.110001,50.759998,51.950001,6774300,51.047023
"95",52.009998,52.310001,51.669998,51.84,6227200,50.938934
"96",52,52.889999,52,52.5,7481400,51.587462
"97",52.560001,54.360001,52.48,53.630001,9029200,52.697822
"98",53.669998,54,53.09,53.529999,7450700,52.599558
"99",53.779999,54.700001,53.759998,54.200001,10166800,53.257914
"100",54.150002,54.189999,53.619999,54.16,6607000,53.218609
"101",55.720001,59.029999,55.610001,58.98,28341200,57.954829
"102",58.52,58.880001,57.32,58.189999,18998900,57.178559
"103",58.310001,58.77,57.349998,57.799999,11951400,56.795339
"104",57.720001,58.389999,57.59,57.84,6774400,56.834644
"105",57.970001,58.34,57.380001,57.82,4629100,56.814992
"106",57.650002,58.810001,57.52,58.459999,9610800,57.443867
"107",58.259998,58.400002,58.009998,58.32,4590200,57.306301
"108",58.16,58.830002,57.720001,58.810001,4957200,57.787785
"109",58.68,59.169998,58.509998,58.720001,4120500,57.69935
"110",58.68,58.790001,58.279999,58.610001,3837400,57.591261
