"","CMCSA.Open","CMCSA.High","CMCSA.Low","CMCSA.Close","CMCSA.Volume","CMCSA.Adjusted"
"1",52.950001,53.07,52.52,52.880001,10248100,51.790373
"2",52.580002,52.790001,52.540001,52.709999,10123400,51.623874
"3",52.5,52.790001,52.41,52.669998,9774700,51.584697
"4",52.650002,52.75,52.299999,52.470001,9774000,51.388821
"5",52.380001,52.48,52.110001,52.349998,7060600,51.271291
"6",52.279999,52.349998,52,52.200001,7994100,51.124384
"7",52.27,52.77,51.990002,52.66,9800900,51.574905
"8",52.650002,52.959999,52.5,52.939999,9397100,51.849134
"9",53.27,53.27,52.599998,52.740002,17417300,51.653258
"10",52.77,52.77,52.360001,52.43,7969900,51.349644
"11",52.439999,53,52.240002,52.639999,11716900,51.555316
"12",52.66,53.349998,52.459999,53.209999,13445800,52.113571
"13",53.18,53.639999,53.049999,53.599998,9388100,52.495534
"14",53.68,54.259998,53.529999,54.130001,16207900,53.014615
"15",53.900002,53.900002,53.57,53.68,15698900,52.793333
"16",53.860001,54.34,53.689999,54.110001,11240700,53.216231
"17",54.200001,54.599998,54.040001,54.560001,9186900,53.658799
"18",54.740002,54.970001,54.509998,54.900002,7634900,53.993183
"19",54.549999,54.75,53.860001,54.18,11241400,53.285075
"20",53.919998,54.220001,53.25,53.310001,14614200,52.429446
"21",53.560001,54.740002,53.41,54.73,15854000,53.825989
"22",54.32,54.779999,54.080002,54.360001,10154300,53.462102
"23",54.310001,54.639999,54.169998,54.549999,7054500,53.648962
"24",54.790001,55.25,54.369999,55.049999,13698200,54.140703
"25",54.860001,55.169998,54.59,54.889999,9857700,53.983346
"26",55.110001,55.529999,54.880001,55.049999,18578900,54.140703
"27",54.529999,55.16,54.099998,54.200001,15354500,53.304745
"28",54.740002,54.740002,54.220001,54.540001,11599000,53.639129
"29",54.119999,54.459999,53.5,53.82,17685000,52.93102
"30",54.75,55.240002,54.220001,54.630001,15889100,53.727642
"31",54.529999,55,54.25,54.709999,13355900,53.806319
"32",54.959999,55.25,54.709999,55.130001,13103800,54.219384
"33",55.139999,55.209999,54.23,54.389999,9967700,53.491605
"34",54.52,54.82,54.09,54.73,8785800,53.825989
"35",55.290001,56.490002,54.939999,54.990002,18245900,54.081697
"36",55.189999,55.450001,54.919998,55.41,12961500,54.494757
"37",54.990002,55.049999,53.630001,53.73,15263400,52.842507
"38",53.540001,53.880001,53.150002,53.389999,9951700,52.508123
"39",53.400002,54.080002,53.400002,53.849998,10926600,52.960524
"40",53.860001,53.860001,52.91,53.18,13669500,52.301592
"41",52.970001,53.400002,52.790001,52.900002,10034500,52.026218
"42",53.110001,53.189999,52.52,52.68,11739600,51.809851
"43",52.689999,53.560001,52.689999,53.5,11842300,52.616306
"44",53.580002,54.18,53.540001,53.75,7808500,52.862177
"45",53.59,54.130001,53.59,53.799999,8307400,52.91135
"46",54.09,54.369999,53.919998,54.110001,9125900,53.216231
"47",54.189999,54.419998,54.080002,54.369999,6538600,53.471935
"48",54.799999,54.889999,54.150002,54.630001,10707600,53.727642
"49",54.970001,55.099998,54.48,54.73,7593200,53.825989
"50",54.689999,54.889999,54.41,54.5,7347100,53.599789
"51",54.310001,54.790001,54.310001,54.639999,7338700,53.737476
"52",54.639999,54.830002,54.349998,54.439999,7474600,53.540778
"53",54.27,54.59,53.919998,54.18,8144600,53.285075
"54",54.349998,54.73,54.200001,54.650002,9416200,53.747313
"55",54.75,54.75,54.330002,54.560001,9240100,53.658799
"56",54.689999,54.900002,54.360001,54.560001,8134700,53.658799
"57",54.32,54.66,54.279999,54.52,5571100,53.619459
"58",54.880001,54.93,54.43,54.720001,6758600,53.816156
"59",54.709999,54.970001,54.349998,54.779999,9535100,53.875163
"60",54.740002,55.049999,54.619999,54.869999,8950100,53.963676
"61",55.240002,55.389999,54.830002,54.880001,13184400,53.973513
"62",55,55.790001,54.869999,55.700001,14202700,54.779968
"63",55.509998,56,55.419998,55.880001,11805400,54.956995
"64",55.740002,56.77,55.639999,56.610001,20056500,55.674937
"65",56.540001,57.049999,56.040001,56.91,13539000,55.969981
"66",56.869999,57.130001,56.560001,56.98,9697000,56.038824
"67",56.900002,57.139999,56.669998,57.080002,11287800,56.137175
"68",57.16,57.490002,56.880001,57.02,13048100,56.078165
"69",57.060001,57.27,56.779999,57.23,9120400,56.284695
"70",57.240002,57.369999,56.810001,57.09,10050900,56.147008
"71",57.099998,57.360001,56.73,56.849998,14570600,55.910971
"72",57.259998,57.27,56.5,56.740002,20877600,55.802791
"73",56.549999,56.689999,55.389999,55.860001,14930000,54.937325
"74",55.990002,55.990002,54.950001,54.970001,13311000,54.062027
"75",55.130001,55.139999,54.139999,54.860001,16100100,53.953843
"76",54.82,54.84,53.759998,53.939999,13862100,53.049037
"77",53.779999,54.279999,53.689999,54.240002,10536200,53.344085
"78",53.669998,54.330002,53.41,54.16,12347300,53.487281
"79",54.23,54.490002,53.68,53.779999,14718500,53.112
"80",53.689999,53.73,52.75,52.93,15980000,52.272559
"81",52.830002,52.970001,51.639999,52.84,18053200,52.183677
"82",52.880001,54.040001,52.880001,53.650002,14501400,52.983617
"83",53.740002,53.900002,53.25,53.389999,8218300,52.726845
