"","TYC.Open","TYC.High","TYC.Low","TYC.Close","TYC.Volume","TYC.Adjusted"
"1",44.759998,44.91,44.439999,44.580002,2422800,43.806634
"2",44.48,44.75,44.32,44.66,2010100,43.885244
"3",44.669998,44.860001,44.48,44.610001,2740300,43.836112
"4",44.630001,44.84,44.360001,44.75,1795100,43.973683
"5",44.709999,45.59,44.709999,45.369999,3736800,44.582926
"6",45.25,46.080002,45.209999,46,3682700,45.201998
"7",45.84,46.259998,45.619999,46.200001,2720300,45.398529
"8",46.18,46.639999,45.990002,46.459999,4091300,45.654017
"9",46.580002,46.580002,46.080002,46.23,5061700,45.428007
"10",46.23,46.290001,45.799999,45.970001,3473100,45.17252
"11",45.919998,46.09,45.549999,45.59,3169300,44.799111
"12",45.450001,45.900002,45.09,45.830002,3971600,45.034949
"13",45.860001,45.860001,45.330002,45.630001,3499500,44.838418
"14",45.650002,46.02,44.889999,45.380001,26573200,44.592755
"15",45.209999,45.740002,44.84,45.599998,7047700,44.808936
"16",45.689999,46.09,45.630001,45.880001,2148000,45.084081
"17",45.720001,45.98,45.400002,45.619999,2483900,44.828589
"18",45.669998,46.060001,45.66,45.950001,1421000,45.152866
"19",45.779999,45.779999,45.220001,45.330002,2364400,44.543623
"20",45.259998,45.419998,44.970001,45.040001,3521100,44.258653
"21",45.169998,45.560001,45.060001,45.080002,3313100,44.29796
"22",44.720001,45.040001,44.540001,44.82,2647200,44.042468
"23",44.860001,45.419998,44.860001,45.299999,2306500,44.514141
"24",45.5,45.759998,45.240002,45.27,2341500,44.484662
"25",45.279999,45.669998,45.16,45.400002,2636000,44.612408
"26",45.57,45.73,45.299999,45.450001,2271800,44.66154
"27",45.060001,45.48,44.630001,44.66,2335500,43.885244
"28",44.790001,45.259998,44.689999,45.240002,1588800,44.455184
"29",45.23,45.43,44.93,45.360001,2245900,44.573101
"30",45.639999,45.84,45.299999,45.310001,2678100,44.523969
"31",45.119999,45.259998,44.869999,44.919998,2646700,44.316787
"32",44.91,45.220001,44.75,44.810001,2445300,44.208267
"33",44.990002,45.849998,44.990002,45.209999,3797000,44.602893
"34",45.23,45.470001,44.900002,45.299999,3551400,44.691685
"35",45.330002,45.529999,44.599998,44.630001,3609100,44.030684
"36",44.68,44.860001,44.16,44.490002,3812500,43.892565
"37",44.27,44.360001,43.119999,43.150002,4701500,42.570559
"38",43.110001,43.27,42.439999,43.099998,4199000,42.521227
"39",43.290001,43.41,42.959999,43.32,1859200,42.738274
"40",43.189999,43.490002,42.790001,42.959999,1774800,42.383108
"41",42.66,43.049999,42.57,42.830002,2255500,42.254856
"42",43.130001,43.25,42.630001,42.700001,2177000,42.126601
"43",42.75,43.48,42.720001,43.470001,2463000,42.886261
"44",43.580002,43.849998,43.43,43.470001,1303100,42.886261
"45",43.380001,43.639999,43.259998,43.369999,1270300,42.787602
"46",43.549999,43.84,43.52,43.830002,1379000,43.241428
"47",43.82,44.110001,43.790001,43.970001,1559500,43.379547
"48",44.130001,44.16,43.450001,43.860001,1790200,43.271024
"49",44.209999,44.560001,44.16,44.450001,1551500,43.853101
"50",44.490002,44.810001,44.459999,44.720001,1550500,44.119476
"51",44.779999,45.09,44.650002,44.98,1888300,44.375983
"52",45.049999,45.240002,44.970001,45.150002,1136400,44.543702
"53",45.080002,45.209999,44.880001,44.939999,1627000,44.336519
"54",45.110001,45.220001,44.650002,44.66,1988800,44.06028
"55",44.810001,44.810001,44.279999,44.389999,2200300,43.793905
"56",44.470001,44.66,44.380001,44.540001,2038900,43.941892
"57",44.389999,44.759998,44.080002,44.689999,3244700,44.089876
"58",44.720001,44.810001,44.310001,44.619999,2041100,44.020816
"59",44.619999,44.75,43.990002,44.150002,3489000,43.55713
"60",44.310001,44.380001,43.959999,43.98,2217900,43.389411
"61",44.049999,44.080002,43.689999,43.720001,3657900,43.132904
"62",43.630001,44.110001,43.5,44.09,2654500,43.497935
"63",44.009998,44.299999,44,44.18,2594300,43.586726
"64",44.189999,44.209999,43.950001,43.98,2495300,43.389411
"65",43.970001,44.540001,43.82,44.290001,3057100,43.69525
"66",44.259998,45.080002,44.080002,44.93,4317400,44.326655
"67",44.939999,45,44.27,44.330002,3200800,43.734713
"68",44.25,44.360001,44.02,44.220001,2726500,43.62619
"69",44.130001,44.560001,44.049999,44.450001,3007300,43.853101
"70",44.470001,44.68,44.150002,44.310001,3091900,43.714981
"71",44.419998,45.16,44.299999,45.040001,3354000,44.435178
"72",45.099998,45.220001,44.709999,44.91,5775000,44.306923
"73",44.900002,44.939999,44.57,44.650002,2652600,44.050416
"74",44.470001,44.57,44.34,44.349998,2599200,43.754441
"75",44.23,44.43,44.189999,44.290001,4013800,43.69525
"76",44.110001,44.240002,43.73,43.790001,3262300,43.201964
"77",43.790001,44.290001,43.639999,44.23,2560500,43.636054
"78",44.16,44.32,43.759998,44.299999,3186500,43.705114
"79",44.349998,44.630001,44.25,44.57,3739800,43.971488
"80",44.470001,44.790001,44.34,44.43,5634600,43.833369
"81",44.299999,44.450001,42.93,43.259998,5318100,42.679078
"82",43.490002,43.700001,43.360001,43.5,3592700,42.915857
"83",43.610001,43.66,42.919998,42.950001,4481200,42.373244
"84",42.560001,42.720001,42.310001,42.380001,3659500,41.810898
"85",42.509998,43.700001,42.400002,43.689999,5663400,43.103304
"86",43.68,43.740002,42.349998,42.48,5345700,41.909554
"87",42.549999,42.869999,41.990002,42.029999,6960100,41.465596
"88",42.16,42.310001,41.52,41.540001,5973500,40.982178
"89",41.380001,41.540001,39.459999,39.689999,9954200,39.157019
"90",38.830002,39.139999,38.150002,38.950001,7201500,38.426958
"91",38.27,39.34,38.27,38.93,5525100,38.407226
"92",39.619999,40.68,39.580002,40.189999,4015600,39.650304
"93",39.98,40.380001,39.790001,40.16,2839600,39.620709
"94",40.580002,40.93,40.369999,40.900002,4722900,40.350773
"95",40.779999,40.810001,39.939999,40.080002,3988400,39.716575
"96",40.639999,41.34,40.560001,41.029999,3354200,40.657958
"97",41.029999,41.610001,40.799999,41.59,1709800,41.212881
"98",41.490002,41.66,40.990002,41.400002,2600100,41.024606
"99",41.599998,42.09,41.529999,42.080002,1684300,41.69844
"100",41.98,42.310001,41.799999,42.189999,2440100,41.807439
"101",42.029999,42.470001,41.689999,42.240002,1631400,41.856989
"102",42.889999,42.950001,42.470001,42.93,2667600,42.540731
"103",42.91,43.040001,42.619999,42.75,1868400,42.362363
"104",42.77,42.98,42.619999,42.959999,2400500,42.570458
"105",43.110001,43.240002,42.799999,43.130001,1345500,42.738918
"106",43.16,43.48,43.080002,43.439999,1568700,43.046105
"107",43.419998,43.549999,43.16,43.310001,2088000,42.917286
"108",43.23,43.669998,43.130001,43.66,1832800,43.264111
"109",43.810001,44.099998,43.310001,43.389999,2418800,42.996559
"110",43.310001,43.490002,43.080002,43.360001,3604500,42.966832
"111",42.639999,42.779999,41.759998,42.439999,6340200,42.055172
"112",42.450001,42.57,42.099998,42.400002,2994700,42.015538
"113",42.240002,42.639999,42.18,42.599998,1953200,42.213721
"114",42.560001,42.619999,41.889999,41.950001,3151900,41.569618
"115",41.959999,41.959999,41.490002,41.619999,2395000,41.242608
"116",41.360001,41.470001,41.259998,41.310001,3109300,40.935421
"117",41.779999,43.240002,41.630001,42.889999,5849300,42.501093
"118",42.610001,42.82,42.240002,42.52,3775600,42.134449
"119",42.580002,43.57,42.360001,43.380001,5736200,42.986651
"120",43.099998,43.220001,42.599998,42.849998,3164200,42.461455
"121",42.689999,42.900002,42.439999,42.900002,5205800,42.511004
"122",42.700001,43.189999,42.419998,42.869999,3585900,42.481274
"123",43.02,43.32,42.759998,43.16,2705200,42.768645
"124",43.369999,43.759998,43.25,43.450001,2855500,43.056016
"125",43.349998,43.439999,42.860001,43.25,2718000,42.857829
"126",43.25,43.610001,43.189999,43.360001,1634100,42.966832
"127",43.360001,43.540001,43.080002,43.369999,2256800,42.97674
"128",42.880001,43.389999,42.779999,43.360001,1886900,42.966832
"129",43.240002,43.349998,42.330002,42.400002,2890700,42.015538
