"","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume","AXP.Adjusted"
"1",95.089996,95.389999,94.68,95.279999,2418300,93.792345
"2",94.940002,95.260002,94.639999,95.080002,1884000,93.595471
"3",95.349998,95.480003,94.360001,94.760002,2870500,93.280467
"4",94.949997,95.169998,94.379997,94.849998,1793000,93.369058
"5",94.360001,94.75,93.839996,94.370003,2832500,92.896557
"6",94.370003,95.199997,94.010002,94.660004,2572300,93.18203
"7",94.75,95.589996,94.080002,95.559998,2454800,94.067972
"8",95.459999,95.699997,94.529999,95.07,3206400,93.585625
"9",95.580002,96.040001,95.029999,95.540001,5387400,94.048287
"10",95.330002,95.75,94.790001,95.510002,2102500,94.018757
"11",95.089996,95.550003,94.25,94.43,2088700,92.955618
"12",94.260002,95.209999,94.199997,94.639999,2398400,93.162338
"13",94.830002,94.940002,93.540001,94.300003,2594800,92.82765
"14",94.25,95.050003,94.129997,94.93,3630700,93.447811
"15",95,95.339996,94.550003,94.870003,2634300,93.38875
"16",95.419998,96.239998,95.279999,95.349998,3026300,93.861252
"17",95.190002,95.779999,95.059998,95.209999,1595500,93.723438
"18",95.580002,95.940002,95.220001,95.839996,1633800,94.343599
"19",95.5,95.660004,95.120003,95.400002,1962800,93.910474
"20",94.919998,95.010002,93.57,94.57,2828700,93.093431
"21",95.440002,95.550003,94.410004,94.739998,2645500,93.517886
"22",93.550003,94.809998,93.160004,94.459999,2230000,93.241499
"23",94.269997,94.589996,93.75,94.470001,2108500,93.251372
"24",95.230003,95.580002,94.43,94.540001,2388000,93.320469
"25",94.790001,95.160004,94,94.449997,3499200,93.231626
"26",94.809998,95.089996,94.269997,94.470001,2738000,93.251372
"27",93.959999,94.699997,92.910004,92.989998,3110800,91.790461
"28",93.32,93.93,93.099998,93.529999,3363000,92.323496
"29",93.290001,93.400002,92.379997,92.879997,2321800,91.681879
"30",93.510002,94.059998,93.220001,93.370003,2411600,92.165564
"31",93.190002,93.589996,92.82,93.279999,1984800,92.076721
"32",93.330002,93.620003,92.849998,93.150002,3023400,91.9484
"33",92.739998,93.07,91.580002,91.93,3903500,90.744137
"34",91.900002,92.029999,90.900002,91.860001,4274000,90.67504
"35",91.830002,92.230003,91.510002,91.709999,4773300,90.526973
"36",92.110001,92.32,90.040001,90.910004,5069300,89.737298
"37",90.07,90.260002,87.989998,88,7561100,86.864832
"38",87.410004,87.739998,85.75,86.470001,12258300,85.35457
"39",86.599998,87.239998,86.449997,86.93,5743800,85.808635
"40",86.650002,87.019997,85.889999,86.360001,5004400,85.245988
"41",86.040001,86.790001,86,86.400002,4805600,85.285473
"42",86.790001,87.139999,85.889999,86.019997,4539100,84.91037
"43",86.089996,87.510002,85.910004,87.470001,4206700,86.34167
"44",87.919998,88.160004,86.940002,86.949997,3594400,85.828374
"45",87,87.089996,86.699997,87.080002,3106600,85.956701
"46",87.440002,88.07,87.160004,87.400002,2590600,86.272573
"47",87.5,87.800003,87.099998,87.269997,3498800,86.144245
"48",87.779999,87.879997,86.230003,86.599998,3290800,85.48289
"49",87.290001,87.480003,86.980003,87.160004,2662100,86.035671
"50",87.580002,88.279999,87.449997,88.120003,3523700,86.983287
"51",88.010002,88.650002,87.900002,88.489998,3142900,87.348509
"52",88.639999,89.330002,88.589996,89.139999,3019300,87.990126
"53",88.889999,89.510002,88.830002,88.879997,2796200,87.733478
"54",89.559998,90.220001,89.32,89.589996,3730000,88.434318
"55",89.610001,89.93,89.080002,89.150002,2934600,87.999999
"56",89.25,89.589996,88.989998,89.239998,2632300,88.088834
"57",88.839996,89.330002,88.610001,89.019997,3324900,87.871671
"58",89.370003,89.699997,89.089996,89.550003,2672700,88.39484
"59",89.900002,90.129997,89.279999,89.720001,3592100,88.562646
"60",90.129997,90.489998,90,90.139999,2930800,88.977226
"61",90.110001,90.459999,89.419998,89.650002,2594100,88.493549
"62",89.639999,89.739998,89.019997,89.610001,2571200,88.454064
"63",89.400002,89.830002,88.620003,88.93,3617600,87.782836
"64",88.849998,88.900002,87.75,87.900002,4014300,86.766123
"65",88.099998,88.660004,88.010002,88.410004,3471000,87.269547
"66",88.010002,88.599998,87.879997,88.419998,2757000,87.279412
"67",88.18,88.300003,87.440002,87.639999,4739100,86.509475
"68",88.349998,88.349998,87.110001,87.379997,3983800,86.252827
