"","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"1",62.740002,62.84,62.43,62.700001,1972300,62.008811
"2",61.720001,61.98,61.450001,61.77,2622200,61.089063
"3",61.830002,61.93,61.220001,61.450001,1702900,60.772591
"4",61.5,61.639999,61,61.380001,1340800,60.703363
"5",61.32,61.799999,61.32,61.619999,1239000,60.940715
"6",61.509998,62.57,61.360001,62.450001,1369500,61.761567
"7",62.529999,63.27,62.5,63.119999,1791200,62.424179
"8",62.310001,63.369999,62.310001,63.369999,1411500,62.671423
"9",63.509998,64.099998,63.27,63.560001,4750000,62.859331
"10",63.369999,63.849998,63.330002,63.790001,1390200,63.086795
"11",63.549999,64.089996,63.119999,63.580002,2818900,62.879111
"12",63.549999,63.630001,63.220001,63.43,2966400,62.730763
"13",63.689999,64.089996,63.290001,63.990002,2031700,63.284591
"14",63.889999,64.25,63.720001,63.98,2345500,63.274699
"15",64.019997,64.309998,63.790001,64.099998,1133700,63.393375
"16",64.32,64.760002,64.18,64.669998,1588400,63.957092
"17",64.800003,65.389999,64.459999,65.360001,1815600,64.639488
"18",65.260002,65.730003,65.230003,65.559998,963400,64.83728
"19",65.5,65.879997,65.360001,65.870003,1488200,65.143868
"20",65.529999,65.699997,64.730003,64.919998,2018600,64.204336
"21",65.260002,65.5,64.940002,65.419998,2219300,64.698824
"22",64.550003,65.809998,64.550003,65.57,2627600,64.847172
"23",65.32,65.669998,64.980003,65.019997,2136300,64.303232
"24",65.410004,65.860001,65.129997,65.32,1998800,64.599928
"25",65.360001,65.580002,64.660004,64.980003,2346600,64.263679
"26",65.139999,65.279999,64.620003,64.720001,1857300,64.006543
"27",64.489998,64.849998,63.369999,63.380001,3033300,62.681315
"28",63.779999,64.989998,63.599998,64.900002,1992400,64.184559
"29",64.830002,65.139999,64.540001,64.970001,1565200,64.253788
"30",65.370003,66.32,65.349998,66.110001,2189700,65.38122
"31",65.900002,66.510002,65.779999,66.470001,1705100,65.737252
"32",66.400002,67.080002,66.129997,66.830002,3008300,66.093284
"33",66.720001,67.120003,66.269997,66.370003,1424200,65.638356
"34",66.480003,67.07,66.019997,66.169998,2942500,65.440556
"35",66.080002,66.889999,65.650002,65.690002,3228200,64.965852
"36",66.220001,66.470001,64.360001,65.410004,3930700,64.688939
"37",65.32,65.339996,64.459999,64.709999,3291400,63.996652
"38",64.790001,65.269997,64.32,64.879997,2908500,64.164776
"39",65.040001,66.25,64.900002,65.989998,2675600,65.26254
"40",65.75,65.900002,64.769997,64.910004,2939000,64.194451
"41",64.339996,65.029999,64.18,64.510002,2358500,63.798859
"42",64.860001,65.489998,64.120003,64.239998,2545700,63.531832
"43",64.739998,64.970001,64.300003,64.940002,1774800,64.224119
"44",65.660004,65.919998,65,65.720001,1536000,64.99552
"45",65.690002,66.010002,65.370003,65.57,1586000,64.847172
"46",65.82,66.660004,65.199997,66.550003,1623100,65.816372
"47",66.75,67.349998,66.550003,67.260002,1685600,66.518544
"48",67.660004,67.690002,67.029999,67.370003,2529100,66.627332
"49",67.870003,67.949997,67.339996,67.660004,1750700,66.914136
"50",67.629997,68.269997,67.57,68.129997,1956700,67.578707
"51",68,68.639999,67.870003,68.540001,1377100,67.985393
"52",68.57,68.739998,68.330002,68.440002,1204600,67.886203
"53",68.279999,68.559998,68.160004,68.449997,1084200,67.896117
"54",68.639999,68.940002,68.57,68.760002,1415400,68.203614
"55",68.980003,69.07,68.449997,68.989998,1147400,68.431748
"56",69.040001,69.209999,68.779999,68.879997,1421400,68.322638
"57",68.779999,69.120003,68.169998,68.989998,1382300,68.431748
"58",69.330002,69.489998,68.849998,69.400002,1393100,68.838434
"59",69.68,69.690002,68.800003,69.43,1833700,68.86819
"60",69.599998,70.199997,69.440002,70,2911500,69.433578
"61",70.440002,70.980003,70.330002,70.519997,2832400,69.949367
"62",70.209999,70.830002,70.209999,70.830002,2367300,70.256863
"63",70.860001,71.330002,70.650002,71.07,2313100,70.494919
"64",71,71.300003,70.720001,70.779999,1571300,70.207265
"65",70.900002,71.040001,70.5,70.790001,1789300,70.217186
"66",70.82,71.529999,70.510002,71.400002,2869100,70.822251
"67",71.139999,71.230003,70.220001,70.620003,1640500,70.048563
"68",70.540001,70.910004,70.449997,70.709999,1412900,70.137832
"69",70.5,71.230003,70.330002,71.139999,2199600,70.564352
"70",71.279999,72.089996,71.209999,71.730003,1476700,71.149582
"71",72.190002,72.470001,71.760002,72.449997,1677300,71.86375
"72",72.980003,73.279999,72.040001,72.190002,3799000,71.605859
"73",72.32,72.32,71.279999,71.610001,1961100,71.030551
"74",71.489998,71.800003,70.900002,70.919998,1889200,70.346131
"75",70.900002,71.480003,70.779999,71.389999,1213800,70.81233
"76",71.370003,71.669998,70.459999,70.519997,1508100,69.949367
"77",70.849998,71.07,70.519997,70.720001,3139700,70.147753
"78",70.269997,70.690002,69.970001,70.440002,1664600,69.87002
"79",70.230003,70.629997,69.900002,69.900002,1989100,69.334388
"80",69.559998,69.580002,67.339996,67.940002,4252100,67.390249
"81",67.980003,68.160004,65.480003,66.800003,4099800,66.259474
"82",67.160004,68.269997,67.040001,68.099998,3763600,67.54895
"83",68.089996,68.389999,67.089996,67.330002,2673400,66.785184
"84",66.660004,67.410004,65.980003,66,3238200,65.465945
"85",65.870003,66.339996,65.339996,66.169998,5241600,65.634567
"86",65.589996,66.190002,64.529999,64.580002,3565600,64.057437
"87",64.400002,64.739998,63.119999,63.549999,4100400,63.035769
"88",63.549999,63.66,61.630001,61.709999,6500400,61.210657
"89",62.110001,63.880001,62.060001,62.549999,5234700,62.04386
"90",61.919998,63.900002,59.610001,62.200001,6844700,61.696694
"91",60.720001,63.549999,60.66,62.790001,2919200,62.28192
"92",63.630001,65.339996,63.23,65.010002,3110300,64.483958
"93",64.940002,67.629997,64.900002,67.019997,3737000,66.477688
"94",67.580002,68.699997,67.300003,68.419998,2820800,67.866361
"95",69.410004,69.629997,68.220001,68.419998,2353800,67.866361
"96",69,70,68.339996,68.43,3434800,67.876282
"97",68.400002,69.349998,68.040001,69.290001,2363900,68.729324
"98",69.300003,70.400002,69.010002,70.260002,2317400,69.691476
"99",69.849998,72.209999,69.230003,71.949997,4551100,71.367796
"100",74,75.190002,72.089996,74.029999,4337100,73.430967
"101",73.510002,76.309998,73.5,76,3342900,75.385027
"102",77.989998,77.989998,75.209999,75.75,3577300,75.13705
"103",75.910004,76.150002,74.949997,75.800003,2427500,75.186649
"104",75.400002,75.589996,74.32,74.57,3395500,73.966598
"105",75.190002,75.199997,73.940002,74.900002,3106700,74.29393
"106",75.07,75.339996,74.440002,75.25,2331700,74.641096
"107",75.330002,75.550003,74.959999,75.5,1803200,74.889073
"108",75.519997,76.669998,75.330002,76.559998,1434600,75.940493
"109",76.800003,77.279999,76.559998,77.139999,1463000,76.515802
"110",76.580002,77.5,76.379997,77.300003,1319200,76.674511
"111",77.379997,78.25,77.330002,78.089996,1443300,77.458112
"112",78.089996,78.389999,77.709999,77.959999,1456700,77.329166
"113",77.099998,77.739998,76.769997,77.169998,2517600,76.545558
"114",76.889999,77.220001,76.510002,76.940002,2442900,76.51573
"115",76.980003,77.349998,76.32,76.379997,1783400,75.958813
"116",76.370003,76.410004,75.339996,75.889999,2319000,75.471517
"117",76.809998,77.050003,75.910004,75.980003,2211300,75.561025
"118",76.470001,77.230003,76.470001,76.970001,2092500,76.545564
"119",77.019997,77.300003,76.440002,77.040001,4748000,76.615177
"120",76.82,77.650002,76.769997,77.480003,1010900,77.052754
"121",78.330002,79.209999,78.150002,78.790001,981200,78.355527
"122",78.5,78.790001,77.370003,77.449997,1903100,77.022913
"123",77.730003,78.190002,77.400002,77.449997,2655700,77.022913
"124",77.5,78.489998,77.199997,78.139999,1400200,77.70911
"125",78,79,77.449997,77.940002,1499100,77.510216
"126",78.059998,79.190002,77.970001,78.989998,1598700,78.554421
"127",79.010002,79.25,78.5,78.989998,1459600,78.554421
"128",78.080002,78.519997,77.5,78.370003,1669400,77.937845
"129",78.300003,78.459999,77.330002,77.480003,1655200,77.052754
"130",78.580002,78.779999,77.25,77.620003,1427900,77.191981
"131",77.07,77.919998,76.709999,76.760002,1568600,76.336723
"132",77.5,78.290001,76.269997,77.57,2640100,77.142254
"133",77.839996,77.93,76.220001,76.279999,3311600,75.859366
"134",76.290001,77.080002,75.620003,76.739998,2353700,76.316829
"135",77.639999,77.879997,76.910004,77.349998,2353400,76.923466
"136",77.330002,77.970001,76.980003,77.43,4492400,77.003026
"137",77.410004,78.610001,77.349998,78.459999,1257100,78.027345
"138",78.75,79.029999,78.339996,78.540001,1577000,78.106906
"139",78.089996,78.57,77.860001,78.349998,736900,77.917951
"140",78.669998,78.989998,78.519997,78.690002,888900,78.25608
"141",78.720001,79.25,78.160004,79.080002,1115100,78.643929
"142",78.720001,79.220001,78.050003,78.300003,1184600,77.868231
"143",78.669998,79.25,77.980003,78.029999,1422000,77.599716
"144",78.339996,78.559998,76.709999,77.75,1277300,77.321261
"145",77.639999,77.739998,75.32,75.620003,2034800,75.20301
"146",75.470001,75.599998,73.910004,74.669998,2551500,74.258244
"147",75.480003,76.57,74.989998,76.379997,1979400,75.958813
