"","TIE.Open","TIE.High","TIE.Low","TIE.Close","TIE.Volume","TIE.Adjusted"
"1",14600,14900,14400,14800,23300,13098.4568
"2",14500,14800,14500,14700,8500,13009.9537
"3",14800,14800,14500,14700,21200,13009.9537
"4",14500,14700,14500,14700,21200,13009.9537
"5",14600,14800,14400,14700,42500,13009.9537
"6",14600,14700,14400,14700,25500,13009.9537
"7",14700,14700,14500,14700,31400,13009.9537
"8",14600,14600,14000,14600,45000,12921.4506
"9",14400,14600,14400,14600,33700,12921.4506
"10",14600,14600,14600,14600,6200,12921.4506
"11",14500,14700,14500,14700,20300,13009.9537
"12",14700,14900,14700,14900,10800,13186.9599
"13",15500,15500,15000,15300,17900,13540.9722
"14",15000,15300,15000,15300,3200,13540.9722
"15",15100,15100,14900,14900,25800,13186.9599
"16",14900,15300,14900,15100,8900,13363.9661
"17",15200,15200,15000,15200,29200,13452.4692
"18",15200,15800,14800,15400,96000,13629.4753
"19",15600,15600,15000,15400,55800,13629.4753
"20",15700,15700,15100,15400,85600,13629.4753
"21",15300,15400,15100,15400,21600,13629.4753
"22",15200,16200,15200,16200,70300,14337.5
"23",15600,16100,15400,15600,69900,13806.4815
"24",15700,15700,15300,15700,58200,13894.9846
"25",15700,15800,15500,15700,40100,13894.9846
"26",15900,16300,15700,16200,59700,14337.5
"27",16200,16400,15900,15900,35800,14071.9908
"28",15900,16200,15900,16100,43300,14248.9969
"29",15900,16100,15800,15900,51300,14071.9908
"30",16000,15800,15800,15800,45300,13983.4877
"31",15600,15500,15500,15500,27000,13717.9784
"32",15500,15500,15500,15500,36400,13717.9784
"33",15500,15600,15600,15600,43800,13806.4815
"34",15600,15400,15400,15400,12000,13629.4753
"35",15100,14700,14700,14700,29700,13009.9537
"36",14300,14700,14700,14700,10000,13009.9537
"37",14800,14800,14800,14800,9500,13098.4568
"38",14800,15200,15200,15200,28900,13452.4692
"39",15300,16200,16200,16200,78300,14337.5
"40",16200,16100,16100,16100,51100,14248.9969
"41",15800,16100,16100,16100,16000,14248.9969
"42",15900,16000,16000,16000,12000,14160.4939
"43",16100,16000,16000,16000,20300,14160.4939
"44",15800,15900,15900,15900,16100,14071.9908
"45",15700,15400,15400,15400,21500,13629.4753
"46",15300,15300,15300,15300,35100,13540.9722
"47",15300,15500,15500,15500,10000,13717.9784
"48",15400,15900,15900,15900,38400,14071.9908
"49",15900,15600,15600,15600,20000,13806.4815
"50",15600,15900,15900,15900,37900,14071.9908
"51",16000,15900,15900,15900,40400,14071.9908
"52",15600,16000,16000,16000,6000,14160.4939
"53",16000,15900,15900,15900,34600,14071.9908
"54",15900,15900,15900,15900,26700,14071.9908
"55",15900,16100,16100,16100,47500,14248.9969
"56",16400,16200,16200,16200,31700,14337.5
"57",16200,16000,16000,16000,22700,14160.4939
"58",16000,16000,16000,16000,28200,14160.4939
"59",15900,15900,15900,15900,14700,14071.9908
"60",15900,15900,15900,15900,0,14071.9908
"61",15900,15900,15900,15900,0,14071.9908
"62",16500,16500,16200,16200,29100,14337.5
"63",16200,16200,16200,16200,3600,14337.5
"64",15900,16200,15900,16200,12000,14337.5
"65",16100,16100,16100,16100,31300,14248.9969
"66",16200,16200,16000,16000,53900,14160.4939
"67",15800,16100,15800,16100,7300,14248.9969
"68",16000,16000,16000,16000,34800,14160.4939
"69",16200,16000,16000,16000,20300,14160.4939
"70",16000,16100,16100,16100,34500,14248.9969
"71",16100,16300,16100,16300,31100,14426.0031
"72",16400,17400,17400,17400,114100,15399.5371
"73",18300,17500,17500,17500,112100,15488.0401
"74",17900,17900,17900,17900,18700,15842.0525
"75",17900,17900,17000,17000,21500,15045.5247
"76",16200,16900,16200,16900,13700,14957.0216
"77",17000,17000,16500,16500,43700,14603.0093
"78",16600,17000,16600,17000,6000,15045.5247
"79",17600,17600,17000,17000,15200,15045.5247
