"","FSLR.Open","FSLR.High","FSLR.Low","FSLR.Close","FSLR.Volume","FSLR.Adjusted"
"1",62.560001,63.150002,61.810001,62.32,1759400,62.32
"2",61.919998,64.769997,61.84,63.540001,3018700,63.540001
"3",63.700001,64.540001,62.759998,63.900002,2820800,63.900002
"4",63.68,65.029999,63.130001,64.470001,1822300,64.470001
"5",64.610001,67,64.5,66.849998,4145600,66.849998
"6",66.849998,69.599998,66.660004,69.129997,4876400,69.129997
"7",69.029999,69.940002,68.160004,69.75,3675100,69.75
"8",69.690002,70,67.760002,68.269997,2553800,68.269997
"9",68.57,69.489998,68.010002,68.900002,2606900,68.900002
"10",68.900002,71.57,67.889999,70.150002,5198700,70.150002
"11",69.970001,70.940002,68.43,68.709999,3282500,68.709999
"12",68.5,70.800003,68.18,70.18,2154100,70.18
"13",70.209999,72.459999,70.150002,71.470001,4028500,71.470001
"14",71.169998,72,70.849998,71.400002,2376500,71.400002
"15",71.849998,72.68,70.839996,71.059998,2221300,71.059998
"16",71.519997,71.580002,69.699997,70.690002,2212200,70.690002
"17",71.050003,71.800003,69.610001,69.849998,1823400,69.849998
"18",70.050003,70.419998,69.019997,69.5,1078000,69.5
"19",69.510002,69.949997,66.720001,67.720001,2983100,67.720001
"20",67.190002,67.709999,62.41,64.389999,7268800,64.389999
"21",64.690002,65.739998,64.110001,64.419998,2567600,64.419998
"22",62.66,64.209999,62.040001,63.669998,2820500,63.669998
"23",64.029999,64.400002,62.23,63.43,2711900,63.43
"24",63.880001,64.239998,63.080002,63.27,1560800,63.27
"25",63.450001,64.290001,62.599998,62.950001,1496000,62.950001
"26",63.419998,63.790001,63.049999,63.459999,1866100,63.459999
"27",63.049999,63.650002,61.259998,61.450001,2603200,61.450001
"28",61.57,62.669998,60.75,62.360001,2349500,62.360001
"29",62.209999,63.080002,61.759998,62.900002,1556200,62.900002
"30",63.5,63.950001,62.919998,63.470001,1335200,63.470001
"31",63.470001,63.619999,62.529999,62.810001,1487500,62.810001
"32",62.959999,63.540001,62.029999,63.299999,1572300,63.299999
"33",63.169998,64.419998,62.84,64.050003,2376300,64.050003
"34",65.309998,66.68,65.309998,65.529999,3315000,65.529999
"35",66.199997,66.5,65.32,65.389999,2010900,65.389999
"36",66,66.150002,65.32,65.580002,1388600,65.580002
"37",65,65.360001,62.810001,63.110001,2568800,63.110001
"38",62.490002,62.990002,60.580002,62.029999,2984400,62.029999
"39",62.400002,64,62.400002,63.139999,2515900,63.139999
"40",63.950001,64.769997,62.860001,63.66,4083600,63.66
"41",61.68,65.940002,60.150002,65.599998,9419200,65.599998
"42",66.339996,68.940002,65.720001,68.169998,6131000,68.169998
"43",68,68.489998,67.010002,67.830002,2725000,67.830002
"44",68.029999,70.360001,67.879997,69.169998,2899500,69.169998
"45",69.629997,70.050003,68.300003,69.07,2081300,69.07
"46",69.639999,69.970001,68.910004,69.5,2106400,69.5
"47",69.599998,69.800003,68.029999,69.209999,1638400,69.209999
"48",69.470001,70.019997,68.269997,69.120003,1992400,69.120003
"49",69.550003,70.690002,69.339996,70.279999,1959300,70.279999
"50",70.339996,71.150002,70.050003,70.160004,1616900,70.160004
"51",69.900002,71.07,69.330002,70.830002,1484800,70.830002
"52",70.830002,71,70.089996,70.699997,1106500,70.699997
"53",70.5,70.699997,69.580002,70.459999,1116900,70.459999
"54",71.040001,71.75,70.559998,71.160004,1252200,71.160004
"55",70.800003,71.360001,70.25,71.019997,1006700,71.019997
"56",70.959999,71.349998,69.800003,70,1450700,70
"57",69.32,69.800003,68.269997,69.150002,1858600,69.150002
"58",69.209999,69.949997,69.209999,69.68,964800,69.68
"59",69.709999,70,68.910004,69.410004,1065000,69.410004
"60",69.739998,72.349998,69.650002,71.660004,3099400,71.660004
"61",71.629997,73.5,71.25,71.550003,2439500,71.550003
"62",71.449997,72,70.419998,71.470001,1311800,71.470001
"63",71.550003,73.07,71.300003,71.790001,1418800,71.790001
"64",71.660004,72.470001,70.730003,70.900002,1439500,70.900002
"65",70.699997,71.43,69.510002,70.970001,1622300,70.970001
"66",70.699997,71.639999,70.300003,71.620003,1170700,71.620003
"67",71.529999,73.779999,71.419998,72.779999,3085100,72.779999
"68",72.639999,72.980003,69.800003,69.919998,2242300,69.919998
"69",69.699997,70.739998,68.550003,70.690002,1545300,70.690002
"70",71.160004,72.419998,70.940002,71.690002,1608800,71.690002
"71",72.019997,72.199997,71.309998,71.690002,1185700,71.690002
"72",71.889999,72.330002,70.160004,70.870003,2441300,70.870003
"73",70.440002,70.830002,66.910004,67.169998,2706700,67.169998
"74",66.93,69.199997,66.93,67.75,1826800,67.75
"75",67.849998,68.980003,67.199997,68.43,1593100,68.43
"76",68.470001,68.5,66.860001,67.199997,1399800,67.199997
"77",67.580002,68.07,67.010002,67.970001,1033600,67.970001
"78",66.870003,67.860001,66.18,67.519997,1256300,67.519997
"79",67.610001,67.629997,64.93,65.809998,2347200,65.809998
"80",65.82,65.870003,63.25,63.709999,1672600,63.709999
"81",63.900002,64.849998,62.16,63.830002,2240600,63.830002
"82",64.519997,65.07,63.869999,64.099998,1345400,64.099998
"83",64.309998,64.43,61.610001,62.369999,2399600,62.369999
"84",62.209999,62.220001,60.389999,60.419998,2139400,60.419998
"85",60.400002,62.66,58.810001,62.189999,2679500,62.189999
"86",61.34,61.5,56.470001,56.490002,5326300,56.490002
"87",55.790001,56.080002,53.529999,53.720001,4530800,53.720001
"88",53.91,54.73,50.360001,50.509998,4620000,50.509998
"89",51.369999,53.07,50.130001,52,4162800,52
"90",50.849998,53.82,50.509998,53.240002,4498000,53.240002
"91",52.23,55.139999,51.599998,54.220001,2546200,54.220001
"92",55.389999,55.98,52.75,53.23,2856600,53.23
"93",53.23,54.610001,52.610001,54.369999,1909900,54.369999
"94",55.029999,56.599998,54.93,56.349998,2157000,56.349998
"95",56.490002,56.990002,54.509998,54.75,2486100,54.75
"96",55.310001,56.860001,55.110001,56.27,2035400,56.27
"97",56.139999,56.93,55.130001,56.439999,1442300,56.439999
"98",56.009998,56.009998,53.970001,54.290001,2398800,54.290001
"99",54.849998,57.419998,54.060001,57.380001,2793200,57.380001
"100",57.439999,58,55.27,56.16,1876600,56.16
"101",55.849998,56.400002,54.610001,56.099998,2017800,56.099998
"102",57.400002,58.970001,56.599998,58.900002,2533600,58.900002
"103",58.779999,59.779999,58.060001,58.310001,1849900,58.310001
"104",57.93,58.41,56.810001,56.869999,1667900,56.869999
"105",57.049999,57.73,56.029999,56.259998,1819400,56.259998
"106",56.450001,57.349998,55.799999,56.41,3206500,56.41
"107",52.720001,53.48,50,50.290001,11166100,50.290001
"108",50.790001,52.599998,50.700001,51.959999,4773100,51.959999
"109",51.91,52.349998,50.759998,50.990002,2187700,50.990002
"110",51.110001,51.389999,49.18,49.59,3814500,49.59
"111",49.25,49.400002,47.130001,47.560001,4233100,47.560001
"112",47.310001,48.66,45.939999,48.490002,3790800,48.490002
"113",48.099998,49.150002,47.200001,47.950001,2503200,47.950001
"114",48.41,49.68,48.25,49.459999,2944300,49.459999
"115",49.5,49.689999,48.25,48.82,2017300,48.82
"116",48.509998,49.91,47.880001,49.43,1719100,49.43
"117",50.220001,50.779999,49.630001,49.759998,1932700,49.759998
"118",49.580002,50.709999,49.5,50.66,1892300,50.66
"119",50.669998,51.099998,50.150002,51.040001,1830200,51.040001
"120",50.959999,51.869999,50.799999,51.529999,1506700,51.529999
"121",50.240002,50.25,47.889999,48.799999,2979700,48.799999
"122",48.290001,48.779999,45.459999,45.759998,3813300,45.759998
