"","WPI.Open","WPI.High","WPI.Low","WPI.Close","WPI.Volume","WPI.Adjusted"
"1",0.34,0.34,0.34,0.34,0,0.34
"2",0.325,0.34,0.31,0.335,7e+05,0.335
"3",0.335,0.335,0.335,0.335,0,0.335
"4",0.335,0.335,0.335,0.335,0,0.335
"5",0.325,0.33,0.325,0.33,40000,0.33
"6",0.32,0.33,0.32,0.33,670000,0.33
"7",0.33,0.33,0.33,0.33,0,0.33
"8",0.33,0.33,0.33,0.33,0,0.33
"9",0.32,0.33,0.32,0.33,170000,0.33
"10",0.33,0.335,0.33,0.335,230000,0.335
"11",0.335,0.335,0.335,0.335,50000,0.335
"12",0.315,0.33,0.315,0.33,390000,0.33
"13",0.32,0.34,0.32,0.335,1770000,0.335
"14",0.34,0.345,0.32,0.335,40000,0.335
"15",0.335,0.34,0.32,0.32,160000,0.32
"16",0.335,0.335,0.325,0.325,2e+05,0.325
"17",0.325,0.325,0.32,0.32,420000,0.32
"18",0.325,0.325,0.325,0.325,140000,0.325
"19",0.325,0.335,0.325,0.335,240000,0.335
"20",0.325,0.33,0.325,0.33,110000,0.33
"21",0.335,0.335,0.335,0.335,10000,0.335
"22",0.325,0.335,0.325,0.335,30000,0.335
"23",0.34,0.34,0.33,0.33,510000,0.33
"24",0.34,0.34,0.34,0.34,10000,0.34
"25",0.34,0.34,0.34,0.34,0,0.34
"26",0.33,0.34,0.33,0.33,170000,0.33
"27",0.33,0.33,0.33,0.33,0,0.33
"28",0.34,0.34,0.33,0.335,380000,0.335
"29",0.335,0.335,0.325,0.335,140000,0.335
"30",0.335,0.335,0.335,0.335,0,0.335
"31",0.325,0.345,0.325,0.345,620000,0.345
"32",0.335,0.34,0.335,0.34,180000,0.34
"33",0.335,0.345,0.335,0.345,6e+05,0.345
"34",0.34,0.34,0.34,0.34,10000,0.34
"35",0.34,0.34,0.33,0.34,180000,0.34
"36",0.34,0.34,0.34,0.34,0,0.34
"37",0.34,0.34,0.335,0.335,60000,0.335
