"","CCI.Open","CCI.High","CCI.Low","CCI.Close","CCI.Volume","CCI.Adjusted"
"1",75.410004,75.699997,74.989998,75.379997,1494900,72.445077
"2",75.110001,75.339996,74.629997,74.839996,959900,71.926101
"3",74.599998,74.849998,73.93,74.349998,2125800,71.455181
"4",74.089996,74.379997,73.019997,73.800003,2095200,70.9266
"5",73.589996,73.809998,72.75,73.260002,2425700,70.407624
"6",73.230003,73.580002,72.809998,73.260002,1667800,70.407624
"7",72.43,73.699997,72.43,73.589996,1770800,71.064278
"8",73.889999,74.029999,73.529999,73.989998,1355700,71.450551
"9",74.059998,74.559998,73.559998,74.029999,1690200,71.489179
"10",73.980003,74.139999,73.629997,74.059998,993800,71.518148
"11",73.779999,75.199997,73.779999,74.209999,1251600,71.663002
"12",74.120003,74.919998,73.730003,74.489998,1271800,71.93339
"13",74.489998,74.760002,74.110001,74.309998,698800,71.759568
"14",74.120003,74.910004,73.889999,74.239998,1740900,71.691971
"15",74.059998,74.470001,73.970001,74.260002,1860700,71.711288
"16",74.529999,74.860001,74.120003,74.669998,1822200,72.107213
"17",74.360001,74.5,73.690002,74.089996,1405100,71.547117
"18",75.550003,75.550003,73.540001,74.160004,823300,71.614722
"19",74.050003,74.470001,73.889999,73.919998,1342600,71.382954
"20",74,74.400002,73.580002,73.949997,953100,71.411923
"21",73.980003,74.43,73.82,74.169998,1724700,71.624374
"22",73.68,74.919998,73.57,74.489998,2965800,71.93339
"23",74.5,74.879997,74.440002,74.599998,1397100,72.039616
"24",74.790001,75.230003,74.75,74.849998,984900,72.281035
"25",74.989998,74.989998,73.720001,74.150002,1886000,71.605063
"26",74.5,74.720001,73.970001,74.68,2505000,72.116872
"27",74.410004,74.690002,73.839996,73.910004,1393700,71.373302
"28",74.269997,75.379997,74.120003,75,2162600,72.425888
"29",74.629997,75.269997,74.459999,75.080002,1701500,72.503145
"30",75.440002,76.220001,75.209999,75.540001,1908100,72.947356
"31",75.459999,76.809998,75.459999,76.599998,2461300,73.970973
"32",76.5,76.5,73.449997,73.830002,5461400,71.296046
"33",73.25,74.309998,73.010002,73.209999,5582300,70.697323
"34",73.290001,75.019997,73.169998,74.949997,2529800,72.377602
"35",75.190002,75.690002,74.290001,74.389999,2034300,71.836824
"36",74.739998,75.25,73.93,74.5,1822700,71.943049
"37",74.300003,74.720001,73.760002,74.18,2825400,71.634032
"38",74.239998,75.019997,73.410004,73.470001,1708000,70.948402
"39",73.650002,73.650002,72.529999,73.07,1710400,70.562129
"40",72.610001,73.199997,72.610001,72.849998,1611500,70.349678
"41",73.919998,76.849998,73.919998,75.959999,4620000,73.352939
"42",76.160004,76.800003,75.830002,76.599998,3341100,73.970973
"43",76.690002,77.449997,76.360001,77.43,2739400,74.772488
"44",77.449997,78.559998,77.279999,77.769997,2105700,75.100815
"45",77.580002,77.900002,77.220001,77.519997,2017400,74.859395
"46",77.540001,77.720001,76.989998,77.650002,2200600,74.984938
"47",77.900002,78.199997,77.559998,78.099998,1115200,75.41949
"48",78.169998,78.709999,77.82,78.459999,2420400,75.767135
"49",78.900002,78.970001,78.360001,78.529999,1804100,75.834732
"50",78.589996,78.730003,78.18,78.339996,1040100,75.651251
"51",78.25,78.669998,77.419998,78.550003,902400,75.85405
"52",78.5,80.519997,78.389999,80,4409400,77.254281
"53",79.849998,80.25,79.199997,79.480003,2151200,76.752131
"54",79.699997,79.849998,78.959999,79.559998,1426100,76.82938
"55",79.669998,79.889999,79.269997,79.57,1478500,76.839039
"56",79.690002,80.18,79.550003,79.720001,1630200,76.983892
"57",79.620003,79.93,79.25,79.75,907200,77.012861
"58",79.949997,79.949997,79.419998,79.510002,991200,76.781101
"59",79.769997,79.800003,79.220001,79.529999,1180000,76.800411
"60",79.589996,80.290001,79.519997,79.970001,1147900,77.225312
"61",79.940002,80.650002,79.800003,80.239998,1145900,77.486042
"62",80.169998,80.760002,79.93,80.639999,1267600,77.872315
"63",80.709999,81,80.190002,80.529999,791000,77.766089
"64",80.330002,80.330002,79.18,79.699997,1320000,76.964575
"65",79.449997,80,79.07,79.919998,1643700,77.177025
"66",79.830002,80.529999,79.550003,80.449997,1896300,77.688833
"67",80.25,80.300003,78.419998,78.790001,3436500,76.085811
"68",78.849998,79.040001,78.019997,78.389999,1151500,75.699538
"69",78.199997,79.260002,78.089996,79.220001,1553500,76.501053
"70",79.139999,80.040001,78.919998,79.720001,3432700,77.325524
"71",80.099998,80.650002,79.540001,80.18,3052700,77.771706
"72",80.489998,80.730003,79.68,79.739998,2890000,77.34492
"73",79.419998,79.629997,78.519997,78.580002,1702500,76.219766
"74",78.589996,79.870003,78.440002,79.379997,2296800,76.995732
"75",79.339996,79.980003,79.160004,79.75,2328200,77.354622
"76",79.370003,79.620003,78.389999,78.949997,3847100,76.578648
"77",79.25,79.93,78.879997,79.800003,1872500,77.403123
"78",79.32,79.940002,79.080002,79.809998,1251700,77.412817
"79",79.870003,80.790001,79.760002,80.529999,2462800,78.111192
"80",80.769997,80.839996,79.510002,79.980003,2787500,77.577717
"81",80.050003,80.550003,79.360001,80.5,2273400,78.082095
"82",80.730003,81.459999,80.410004,81.209999,3001200,78.770768
"83",81.480003,81.669998,81,81.25,1995100,78.809568
