"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"1",87.839996,88.720001,87.669998,88.419998,3420600,86.006222
"2",88.150002,88.5,87.739998,87.779999,3747600,85.383694
"3",87.589996,87.709999,86.949997,87.220001,3856200,84.838984
"4",87.150002,87.360001,86.82,87.190002,3047500,84.809804
"5",86.870003,87.739998,86.709999,87.550003,3894500,85.159977
"6",87.650002,87.970001,87.07,87.279999,3393100,84.897343
"7",87.339996,88.970001,87.110001,88.900002,5314400,86.473122
"8",88.959999,90.099998,88.919998,90.099998,5380400,87.64036
"9",90.139999,90.239998,89.099998,89.099998,5697000,86.667659
"10",89.199997,89.260002,87.739998,88.389999,4187700,85.977042
"11",88.230003,88.57,87.839996,88.050003,4309700,85.646327
"12",87.980003,88.720001,87.900002,88.580002,3965300,86.161858
"13",89.089996,89.139999,87.989998,88.610001,3539300,86.191037
"14",88.440002,88.919998,88.360001,88.760002,3646100,86.336944
"15",88.459999,89.5,88.349998,89.339996,4473400,86.901105
"16",89.120003,89.279999,88.830002,89.129997,3541000,86.696839
"17",89.290001,89.690002,89.010002,89.669998,2829600,87.222098
"18",89.900002,90.139999,89.529999,90.019997,2216800,87.562542
"19",89.610001,89.940002,89.480003,89.860001,2534500,87.406914
"20",90.059998,90.080002,89.480003,89.730003,3128700,87.280465
"21",89.900002,90.099998,89.620003,89.769997,2603300,87.319367
"22",89.230003,90.220001,89.150002,90.099998,3145600,87.64036
"23",89.93,90.209999,89.449997,89.849998,3655300,87.397185
"24",90.199997,91.389999,90.07,91.080002,4496100,88.59361
"25",90.309998,90.949997,90.18,90.339996,3959100,87.873806
"26",90.629997,90.879997,90.059998,90.5,5121600,88.029442
"27",90.150002,90.669998,89.970001,89.989998,2823800,87.533362
"28",90.129997,90.279999,89.690002,90.089996,5273200,87.630631
"29",89.620003,90.139999,89.379997,89.910004,3024100,87.455552
"30",89.610001,89.639999,89.010002,89.169998,5304400,86.735748
"31",91.260002,93.089996,90.760002,90.82,10953700,88.340706
"32",91.620003,92.339996,91.360001,91.910004,5614700,89.400954
"33",91.980003,92.150002,91.290001,91.550003,2925000,89.050781
"34",91.550003,91.800003,90.639999,90.970001,4653900,88.486612
"35",90.910004,90.970001,90.139999,90.139999,4268600,87.679269
"36",90.489998,90.550003,88.720001,88.910004,4250200,86.482851
"37",88.239998,88.910004,88.07,88.099998,4825900,85.694958
"38",87.709999,88.93,87.459999,88.110001,3987700,85.704687
"39",88.330002,89.720001,88.129997,89.690002,6488900,87.241556
"40",89.379997,89.68,88.889999,89.199997,7678800,86.764927
"41",88.43,90.760002,88.43,90.510002,6589900,88.039171
"42",90.790001,90.849998,89.540001,89.900002,4625600,87.445823
"43",89.900002,90.349998,89.510002,90.290001,4739900,87.825175
"44",91.099998,91.860001,90.699997,91.790001,5231100,89.284227
"45",91.459999,91.889999,91.019997,91.209999,2776000,88.720059
"46",91.559998,91.870003,91.080002,91.739998,3690300,89.235589
"47",91.82,92.080002,91.459999,91.790001,3624900,89.284227
"48",92.099998,92.75,91.290001,91.849998,3844600,89.342587
"49",92.199997,92.519997,92,92.150002,2974700,89.6344
"50",92.220001,92.360001,91.779999,91.860001,3086300,89.352316
"51",91.82,92.440002,91.519997,92.230003,5709300,89.712218
"52",92.57,93.190002,92.010002,92.050003,4060300,89.537131
"53",92.269997,92.589996,91.599998,91.599998,3865500,89.099411
"54",92.580002,93.449997,92.580002,93.190002,5031800,90.64601
"55",93.209999,93.510002,92.559998,92.599998,3143400,90.072112
"56",92.720001,92.720001,92.059998,92.230003,2955100,89.712218
"57",92.089996,92.699997,91.809998,92.580002,3234300,90.052662
"58",92.730003,92.910004,92.010002,92.489998,3657700,89.965115
"59",92.620003,93.139999,92.379997,92.480003,5130300,89.955393
"60",92.400002,92.760002,91.809998,92.75,4929600,90.861555
"61",92.949997,93.150002,91.769997,91.849998,4466800,89.979878
"62",91.849998,91.849998,91.389999,91.75,3148000,89.881916
"63",91.480003,92.25,91.389999,91.860001,3534300,89.989677
"64",91.5,91.790001,91.300003,91.419998,3259200,89.558633
"65",91.669998,91.919998,91.529999,91.790001,3720500,89.921102
