"","STT.Open","STT.High","STT.Low","STT.Close","STT.Volume","STT.Adjusted"
"1",67,67.260002,66.57,66.959999,1531900,65.591086
"2",66.620003,66.919998,66.32,66.480003,1462900,65.120904
"3",66.5,66.760002,66.129997,66.230003,1926300,64.876015
"4",66.339996,66.860001,66.160004,66.260002,2100300,64.9054
"5",66.080002,66.410004,65.839996,66.089996,2073800,64.73887
"6",65.980003,68.190002,65.830002,67.730003,3688600,66.345349
"7",67.559998,68.059998,67.18,67.82,2660400,66.433505
"8",67.839996,67.959999,66.959999,67.220001,3163600,65.845773
"9",66.860001,67.93,66.860001,67.800003,1826600,66.413918
"10",67.860001,68.040001,67.209999,68.029999,1136800,66.639211
"11",67.699997,68.43,67.470001,67.550003,1665800,66.169029
"12",67.230003,68.150002,67.230003,68.029999,1620500,66.639211
"13",67.860001,67.860001,66.830002,67.669998,1845300,66.28657
"14",67.43,67.480003,66.650002,66.82,2016400,65.745417
"15",67.099998,67.5,66.660004,67.260002,2168600,66.178344
"16",67.620003,68.169998,67.349998,67.660004,1556400,66.571912
"17",67.599998,68.739998,67.599998,68.099998,2374300,67.004831
"18",68.440002,69.18,68.410004,68.839996,1259900,67.732929
"19",68.580002,68.660004,67.839996,68.540001,1367100,67.437758
"20",68.220001,68.279999,67.529999,67.790001,1661000,66.699819
"21",68.110001,68.559998,67.849998,68.150002,2092600,67.05403
"22",67.120003,68.019997,66.82,67.699997,1458100,66.611262
"23",66.419998,68.050003,66.419998,67.610001,1597700,66.522713
"24",68.489998,69.040001,68.489998,68.580002,1994900,67.477115
"25",68.870003,69.32,68.599998,69.110001,2211100,67.998591
"26",69.290001,69.779999,69.139999,69.419998,3063000,68.303603
"27",68.959999,69.470001,68.739998,69.120003,2967300,68.008432
"28",69.199997,70.019997,69.139999,69.900002,3713800,68.775887
"29",69.449997,70.169998,69.300003,69.75,2961800,68.628298
"30",69.889999,70.230003,67.139999,70.07,6265300,68.943151
"31",70,70.400002,69.940002,70.290001,2096400,69.159615
"32",70.470001,71.610001,70.32,71.559998,2846800,70.409188
"33",71.190002,71.480003,70.889999,71.449997,2060900,70.300956
"34",72.669998,73.059998,70.779999,71.25,1292700,70.104175
"35",71.209999,71.550003,70.800003,71.019997,1346900,69.877871
"36",72.949997,73.139999,71.059998,71.860001,1756100,70.704366
