"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"1",68.650002,68.699997,67.660004,67.68,6537600,33.520272
"2",67.650002,67.68,66.870003,67.400002,6277600,33.381595
"3",67.230003,67.230003,66.529999,66.779999,6849600,33.074523
"4",66.760002,67.199997,66.510002,67.120003,5568000,33.242919
"5",66.910004,67.129997,66.660004,66.949997,5402000,33.158719
"6",66.959999,67.410004,66.75,67.239998,4465600,33.302349
"7",67.410004,68.300003,67.309998,68.129997,5794400,33.743145
"8",68.199997,68.410004,67.650002,67.830002,5260800,33.594564
"9",68.129997,68.57,67.870003,67.940002,9772400,33.649045
"10",67.800003,68.029999,67.43,67.980003,5921200,33.668856
"11",67.699997,67.75,66.709999,66.760002,5608000,33.064619
"12",66.940002,67.07,66.169998,66.330002,5616000,32.85165
"13",66.25,66.379997,65.449997,66.010002,7722000,32.693162
"14",65.989998,66.169998,65.599998,65.800003,5936800,32.589155
"15",66.089996,66.610001,65.889999,66.129997,4918000,32.752593
"16",66.540001,66.589996,65.989998,66.519997,5187200,32.94575
"17",66.730003,67.230003,66.5,66.970001,4816800,33.168627
"18",67.059998,67.459999,67.059998,67.160004,2075600,33.26273
"19",67.050003,67.25,66.510002,66.620003,3901600,32.995281
"20",66.650002,67.089996,66.290001,66.93,8448800,33.148815
"21",67.279999,67.790001,66.949997,67.760002,5534400,33.559895
"22",66.82,67.040001,66.440002,66.599998,5335200,32.985373
"23",66.25,66.650002,65.580002,65.800003,5817600,32.589155
"24",66.059998,66.330002,64.970001,65.059998,7707200,32.222648
"25",64.959999,65.540001,64.900002,65.269997,7953600,32.326655
"26",64.57,65.089996,62.119999,62.150002,23166400,30.781397
"27",61.91,62.540001,61.830002,62.189999,17685600,30.801207
"28",62.240002,63.57,62.080002,63.310001,8880400,31.355917
"29",63,63.32,62.619999,62.779999,8438400,31.093419
"30",63,63.25,62.580002,62.599998,7293200,31.00427
"31",62.560001,63.099998,62.509998,63,5740800,31.202381
"32",62.98,64,62.950001,63.630001,5380800,31.514405
"33",63.360001,63.75,63.349998,63.459999,4554000,31.430207
"34",63.41,64.209999,63.349998,63.950001,5306000,31.672893
"35",64.129997,64.379997,63.73,63.869999,4520400,31.63327
"36",63.950001,64.860001,63.950001,64.769997,6302000,32.079017
"37",64.309998,64.879997,64.309998,64.400002,7514400,31.895768
"38",64.489998,64.93,64.25,64.690002,5584400,32.039398
"39",64.589996,65.040001,64.360001,64.889999,6966400,32.138452
"40",64.720001,65.309998,64.300003,64.660004,6058000,32.024541
"41",64.160004,65.529999,64.160004,64.940002,6880800,32.163217
"42",65.239998,65.449997,64.489998,64.639999,6509600,32.014633
"43",64.940002,67.150002,64.940002,66.75,8055600,33.059665
"44",66.580002,66.75,66.230003,66.32,4756000,32.846697
"45",66.489998,66.629997,65.82,66.010002,4329200,32.693162
"46",65.75,65.849998,64.800003,65.400002,5643600,32.391044
"47",65.540001,66.160004,65.379997,66.099998,3514800,32.737735
"48",66.510002,66.57,65.169998,65.550003,5079600,32.465336
"49",66.139999,66.739998,65.830002,66.620003,5624000,32.995281
"50",67.349998,69.449997,67.349998,69.309998,12440000,34.32757
"51",69.080002,69.989998,68.68,69.870003,9256400,34.604927
"52",69.949997,70.150002,68.919998,69.25,9676400,34.297855
"53",72.25,74.440002,72.190002,74.370003,23416000,36.833669
"54",74.349998,74.5,73.510002,73.82,8916400,36.561266
"55",73.82,74.870003,73.82,74.349998,7321600,36.823761
"56",74.639999,75.529999,74.349998,75.150002,6218000,37.219984
"57",74.910004,75.43,74.089996,75.230003,4542000,37.259606
"58",74.620003,75.660004,74.620003,75.419998,7812000,37.353706
"59",75.43,76.080002,75.300003,75.769997,7778000,37.527052
"60",75.879997,76.510002,75.459999,76.110001,9182000,37.795213
"61",76.110001,77.029999,76.07,76.870003,6617200,38.172619
"62",76.620003,76.839996,75.699997,76.839996,7394400,38.157719
"63",75.650002,76.849998,75.459999,76.260002,6563200,37.869701
"64",76.440002,76.440002,75.169998,75.510002,6196000,37.497261
"65",75.589996,76.190002,75.07,75.300003,4779200,37.392979
"66",75.120003,75.529999,75.07,75.480003,3952400,37.482364
"67",75.290001,75.660004,74.669998,75.160004,4582000,37.323457
"68",75.449997,75.75,74.889999,74.949997,3644800,37.21917
"69",74.940002,75.760002,74.75,75.489998,4198400,37.487327
"70",75.629997,75.800003,75.029999,75.489998,3293200,37.487327
"71",75.589996,75.900002,75.389999,75.669998,2989200,37.576713
"72",76,76.18,75.059998,75.5,7780800,37.492294
"73",75.199997,75.720001,74.57,74.589996,4548800,37.040399
"74",74.669998,74.82,74.099998,74.169998,4925200,36.831833
"75",74.160004,75.93,74.019997,75.720001,5300800,37.601544
"76",75.110001,75.510002,74.260002,74.830002,6134800,37.159582
"77",74.690002,76.110001,74.589996,76.010002,5698000,37.745555
"78",75.360001,76,75.010002,75.459999,4095200,37.47243
