"","PRGO.Open","PRGO.High","PRGO.Low","PRGO.Close","PRGO.Volume","PRGO.Adjusted"
"149",172,172,169.169998,169.75,399800,169.503437
"150",170.889999,171.449997,168.210007,169.320007,489800,169.074069
"151",170.589996,171.110001,161.580002,163.789993,1488100,163.552087
"152",163.210007,164.869995,162.119995,162.690002,920300,162.453694
"153",163.089996,163.860001,158.330002,158.509995,934000,158.279758
"154",157.949997,160.550003,157.690002,160.520004,767900,160.286848
"155",161.350006,162.330002,159.119995,161.970001,562200,161.734739
"156",162.619995,162.619995,158.380005,158.889999,689900,158.659211
"157",158.589996,158.949997,152.710007,156.210007,1613100,155.983111
"158",156.460007,158.669998,156.149994,157,636800,156.771957
"159",156.559998,157.619995,155.160004,157.529999,895000,157.301186
"160",157.110001,157.589996,155.779999,156.009995,474800,155.783389
"161",156.910004,157.759995,153.080002,153.509995,631200,153.28702
"162",153.910004,154.429993,151.429993,154,1023200,153.776314
"163",152.880005,153.770004,151.389999,151.740005,1138800,151.519602
"164",151.880005,152.649994,150.850006,152.399994,1104200,152.178632
"165",152.399994,153.25,149.759995,151.339996,1357900,151.120174
"166",151.660004,151.949997,150.729996,151.479996,1528800,151.25997
"167",151.710007,157.649994,150.509995,155.029999,1627600,154.804817
"168",155.470001,155.470001,148,150.330002,1470300,150.111647
"169",149.559998,150.490005,147.770004,147.850006,1173800,147.635253
"170",149.110001,150.389999,148.479996,149.960007,813000,149.742189
"171",150.449997,150.460007,147.210007,147.770004,1023300,147.555368
"172",148.279999,151.240005,147.820007,150.679993,1272900,150.461129
"173",150.520004,151.389999,150.199997,150.899994,1012400,150.680811
"174",152.350006,152.649994,151,151.899994,1176600,151.679358
"175",152.259995,152.259995,150.190002,150.600006,869600,150.381259
"176",151.300003,152.029999,151.059998,151.589996,841700,151.369811
"177",151.100006,151.809998,149.529999,151.369995,934000,151.150129
"178",152.220001,152.649994,151.179993,152.050003,1684100,151.82915
"179",152.210007,153.75,151.899994,153.479996,847900,153.257065
"180",153.740005,154.039993,151.300003,152.729996,865400,152.632471
"181",153.220001,155.289993,152.580002,155.25,864600,155.150866
"182",155.130005,155.949997,153.699997,154.470001,1312000,154.371365
"183",154.470001,158.169998,154.470001,157.550003,1184600,157.4494
"184",157.550003,157.550003,153.690002,156.220001,1410100,156.120248
"185",155.539993,158.080002,154.320007,158,1014800,157.89911
"186",158.570007,160.320007,157.809998,160,872100,159.897833
"187",159.429993,160.729996,156.570007,156.830002,865500,156.729859
"188",157.679993,160.5,157.059998,160.149994,705700,160.047731
"189",159.479996,160.580002,158.839996,158.940002,834500,158.838512
"190",159.539993,161.5,158.570007,161.25,1209700,161.147035
"191",162.119995,166.610001,161.880005,166.479996,973100,166.373691
"192",166.490005,167.899994,164.070007,166.419998,1024800,166.313732
"193",167.419998,171.899994,167.419998,171.770004,1354700,171.660321
"194",170.699997,172.559998,169.490005,172.479996,1018200,172.36986
"195",171.360001,174.649994,170.889999,173.699997,1082600,173.589082
"196",173.320007,173.320007,168.149994,170.369995,1989400,170.261206
"197",170.889999,173.710007,170.889999,172.869995,1799600,172.75961
"198",169.839996,169.839996,165.75,166.369995,1492300,166.26376
"199",167.190002,168.360001,165.800003,165.919998,951500,165.814051
"200",167.160004,168.149994,162.910004,163.009995,741200,162.905905
"201",163.509995,166.229996,162.339996,164.320007,791000,164.215082
"202",164.5,166.360001,163.630005,165.970001,677400,165.864022
"203",167.639999,168.75,165.339996,168.259995,981400,168.152553
"204",167.679993,167.75,165.550003,165.550003,606200,165.444292
"205",166.259995,166.389999,162.160004,163.990005,1138200,163.885291
"206",165.009995,166.809998,163.410004,163.729996,850900,163.625447
"207",162.550003,166.009995,161.860001,165,861100,164.89464
"208",165.029999,166.490005,163.979996,164.710007,522200,164.604832
"209",164.699997,215.729996,164.630005,195,17687300,194.875484
"210",195.259995,200.119995,191.830002,198.699997,7320500,198.573118
"211",198.5,200.690002,197.550003,198.550003,3530700,198.42322
"212",199,203.740005,198.440002,201.880005,2021000,201.751096
"213",200.820007,204.899994,200.179993,203.690002,1810000,203.559937
"214",203.270004,205.690002,202.539993,203.210007,1285000,203.080248
"215",202.479996,203.130005,199,199,1787200,198.87293
"216",196.860001,200.369995,189.630005,198.979996,5846300,198.852938
"217",197.869995,199.910004,195.860001,198.080002,1923500,197.953519
"218",195.199997,197,192.350006,192.820007,5959100,192.696883
"219",195,202.270004,194.860001,201.5,4779900,201.371333
"220",199.619995,202.119995,199.529999,201.630005,1857900,201.501255
"221",201.529999,205.720001,192.889999,192.889999,8218300,192.766831
"222",193.860001,195.789993,187.960007,188.279999,3855700,188.159774
"223",188.539993,190.470001,185.570007,186.389999,3693200,186.270981
"224",190.080002,192.190002,184.630005,184.740005,6209400,184.622041
"225",184.979996,185.770004,181.419998,183.279999,2972400,183.162966
"226",186.800003,186.860001,182.649994,186.259995,2135500,186.141059
"227",186.279999,189.639999,185.339996,187.940002,1456300,187.819994
"228",187.910004,189.100006,186.479996,188.130005,1367700,188.009875
"229",188.300003,190.080002,187.619995,189.869995,1336100,189.748755
"230",189.869995,195,189.820007,191,2536700,190.878038
"231",190.710007,195,190.710007,192.600006,1310900,192.477022
"232",193.929993,194.050003,191.839996,193.580002,898800,193.456392
"233",191.960007,195,191.960007,194.259995,1058100,194.135951
"234",194.210007,195,193.110001,193.789993,584000,193.66625
"235",194.410004,194.789993,193.25,194.149994,683900,194.02602
"236",193.259995,194.570007,192.649994,194.5,850600,194.375803
"237",193.899994,200.960007,193.289993,198.369995,2045100,198.243327
"238",199.809998,199.809998,197.119995,197.679993,597200,197.553765
"239",197.850006,198.770004,196.940002,197.539993,541300,197.413855
"240",197.580002,199.740005,195.729996,198.259995,1017900,198.133397
"241",198.300003,199.729996,197.210007,198.470001,771500,198.343269
"242",197.199997,199.009995,195.320007,195.75,946400,195.625005
"243",195.789993,196.369995,193.600006,194.5,1010800,194.5
"244",192.229996,194.910004,192.229996,193.960007,856600,193.960007
"245",195,195,190.220001,190.300003,1612300,190.300003
"246",191.699997,195.229996,191.509995,192.990005,1212600,192.990005
"247",193.050003,195.729996,191.910004,194.309998,1046200,194.309998
"248",194.460007,196.550003,192.089996,195.880005,936600,195.880005
"249",195.75,196.550003,192.399994,192.880005,1087000,192.880005
"250",192.539993,192.869995,190.899994,191.259995,969000,191.259995
"251",191.449997,191.759995,188.179993,188.929993,1104000,188.929993
"252",188.869995,190.479996,188.009995,188.169998,1123700,188.169998
"253",187.580002,188.779999,186.830002,188,962800,188
