"","DPS.Open","DPS.High","DPS.Low","DPS.Close","DPS.Volume","DPS.Adjusted"
"1",58.150002,58.580002,57.939999,58.419998,1473200,56.570737
"2",58.16,58.720001,58.16,58.220001,1117600,56.377071
"3",57.93,58.049999,57.439999,57.849998,1403300,56.416074
"4",57.799999,57.939999,57.630001,57.779999,830400,56.347809
"5",57.740002,58.91,57.66,58.700001,1446000,57.245007
"6",58.669998,58.990002,58,58.32,1662300,56.874425
"7",58.290001,60.27,58.25,60.220001,2185800,58.727331
"8",59.650002,60.23,59.5,60.169998,2061400,58.678567
"9",59.919998,60.5,59.860001,60.029999,1924600,58.542038
"10",59.900002,59.939999,58.98,59.32,1568400,57.849638
"11",58.52,58.77,58.450001,58.560001,2128500,57.108478
"12",58.41,58.77,58.330002,58.509998,1310500,57.059714
"13",58.470001,58.919998,58.330002,58.599998,1260700,57.147483
"14",58.459999,58.700001,57.889999,58.25,2340200,56.80616
"15",58.419998,58.91,58.16,58.580002,1318800,57.127982
"16",58.75,59.439999,58.619999,58.990002,1723300,57.52782
"17",58.970001,59.23,58.799999,58.98,1071600,57.518065
"18",58.990002,59.23,58.900002,59.07,827600,57.605835
"19",59.009998,59.27,58.799999,58.84,1531700,57.381536
"20",58.799999,58.869999,58.299999,58.41,1710000,56.962194
"21",58.630001,58.869999,58.5,58.549999,1338400,57.098723
"22",58.119999,59.07,58.07,58.93,1146200,57.469305
"23",58.98,59.150002,58.740002,59.029999,1316600,57.566825
"24",59.290001,59.650002,59.209999,59.279999,872200,57.810628
"25",59.32,59.5,59.150002,59.380001,2810600,57.908152
"26",59.450001,59.59,59.040001,59.34,1748800,57.869143
"27",59.09,59.580002,58.869999,58.900002,1170000,57.44005
"28",59.150002,59.459999,58.939999,59.450001,962700,57.976417
"29",59.220001,59.25,58.52,58.860001,989200,57.401041
"30",58.84,59,58.560001,58.669998,1543800,57.215748
"31",58.959999,59,58.349998,58.439999,2110200,56.991449
"32",59.290001,61.52,59.290001,60.98,3696900,59.468491
"33",60.98,61.669998,60.799999,61.560001,1702600,60.034117
"34",61.700001,61.919998,61.299999,61.759998,1490000,60.229156
"35",61.66,61.84,60.700001,60.700001,2015100,59.195433
"36",61.049999,61.139999,59.5,59.689999,1956000,58.210466
"37",59.439999,59.439999,58.650002,58.759998,1554100,57.303517
"38",58.779999,59.66,58.639999,58.700001,1647600,57.245007
"39",58.91,59.099998,58.580002,59.060001,1394100,57.596084
"40",59.209999,59.400002,58.869999,59.029999,1296100,57.566825
"41",59.02,60.200001,59.02,60.18,1476100,58.688322
"42",60.459999,60.66,59.830002,59.939999,932400,58.454269
"43",60.09,60.52,59.650002,60.400002,1263500,58.90287
"44",60.700001,60.93,60.5,60.59,2248000,59.088159
"45",60.59,60.75,60.349998,60.400002,1471500,58.90287
"46",60.669998,60.889999,60.310001,60.419998,1369300,58.922371
"47",60.560001,60.799999,60.330002,60.52,1703200,59.019894
"48",60.849998,61.099998,60.330002,60.400002,3480200,58.90287
"49",60.860001,61.09,60.509998,60.830002,2107400,59.322212
"50",60.880001,61.150002,60.740002,61.139999,1082500,59.624525
"51",61.200001,61.200001,60.790001,60.919998,868100,59.409977
"52",61.080002,61.669998,60.939999,61.139999,1069700,59.624525
"53",61.279999,61.34,60.43,60.48,1671000,58.980885
"54",60.790001,61.099998,60.59,60.959999,1353300,59.448987
"55",61.07,61.599998,60.720001,60.880001,1390000,59.370972
"56",61.080002,61.82,60.93,61.82,1374200,60.287671
"57",61.650002,62.639999,61.599998,62.490002,1558400,60.941065
"58",62.619999,63.009998,62.439999,62.919998,1572000,61.360403
"59",62.82,63.41,62.650002,63.029999,1731700,61.467677
"60",63.119999,63.48,63.099998,63.470001,1320400,61.896774
"61",63.41,63.700001,62.529999,62.59,1781000,61.038585
"62",62.540001,62.650002,62.060001,62.23,1209700,60.687508
"63",62.18,62.41,62.009998,62.310001,1083600,60.765527
"64",62.380001,62.48,61.900002,62.25,1402700,60.707012
"65",62.369999,62.799999,62.369999,62.709999,969800,61.15561
"66",62.209999,62.84,62.16,62.799999,1118900,61.646429
"67",62.650002,62.700001,61.810001,61.880001,1187500,60.74333
"68",62.060001,62.689999,61.759998,62.52,1092800,61.371573
"69",62.560001,63.689999,62.419998,63.509998,1753300,62.343386
"70",63.57,63.720001,63.02,63.130001,1076500,61.970369
"71",63.09,63.540001,62.98,63.360001,864500,62.196143
"72",63.509998,64.540001,63.23,64.169998,2216700,62.991262
"73",64.099998,65.43,64.080002,65.32,2422800,64.120139
"74",65.07,65.169998,63.790001,63.799999,1907600,62.62806
"75",63.970001,64.989998,63.959999,64.940002,1411300,63.747122
"76",64.620003,64.620003,63.75,63.950001,1055100,62.775306
"77",63.91,64.18,63.419998,64.050003,1216400,62.873471
"78",63.700001,64.120003,63.52,64.089996,1295300,62.91273
"79",64.230003,64.510002,63.869999,64.309998,1116600,63.12869
"80",64.230003,64.5,63.560001,63.57,1650600,62.402285
"81",63.470001,63.91,63.349998,63.599998,2068500,62.431733
"82",64.18,64.900002,63.599998,64.739998,1842000,63.550791
"83",64.980003,64.980003,64.07,64.690002,981900,63.501714
"84",64.440002,64.980003,64.169998,64.169998,1634500,62.991262
"85",64.330002,65.239998,64.139999,65.199997,1401200,64.002341
"86",65.32,65.769997,64.099998,64.260002,1879700,63.079613
"87",64.519997,65.190002,64.410004,64.43,1650800,63.246488
"88",64.269997,64.620003,63.689999,63.790001,1095000,62.618245
"89",64.040001,64.599998,63.990002,64.080002,1594000,62.902919
"90",63.57,63.900002,61.259998,62.139999,2382700,60.998552
"91",61.299999,62.139999,60.650002,61.849998,2229500,60.713878
"92",62.220001,63.310001,61.759998,63.09,1853100,61.931102
"93",63.099998,64.949997,62.959999,64.879997,1790100,63.688219
"94",64.779999,65.660004,64.5,65.360001,1529900,64.159405
"95",65.370003,65.629997,64.449997,65.43,2433700,64.228119
"96",67.129997,69.349998,66.75,66.949997,2675300,65.720195
"97",67.019997,67.489998,66.43,66.800003,1587500,65.572957
"98",66.349998,67.959999,66.25,67.919998,1832100,66.672378
"99",68.379997,68.709999,67.470001,67.900002,1453100,66.652749
"100",67.919998,68.139999,67.290001,67.720001,1237200,66.476055
"101",67.870003,69.260002,67.519997,68.940002,1683400,67.673646
"102",69.68,69.879997,68.959999,69.25,1884300,67.97795
"103",69.089996,69.690002,69.080002,69.529999,1468500,68.252805
"104",69.639999,70.540001,69.629997,70.349998,1617500,69.057742
"105",70.980003,70.989998,68.839996,69,1889800,67.732542
"106",69.25,70.029999,69.129997,69.940002,1792300,68.655277
"107",69.93,70.349998,69.489998,69.949997,1168500,68.665088
"108",69.949997,70.559998,69.599998,70.470001,1184700,69.175541
"109",70.480003,70.559998,69.620003,69.739998,1254700,68.458947
"110",69.32,70.739998,69.040001,70.660004,1552700,69.362053
"111",70.830002,71.5,70.190002,70.709999,1408000,69.41113
"112",70.730003,70.769997,69.809998,70.099998,1215100,68.812334
"113",70,70.769997,69.830002,70.75,1258300,69.450396
"114",71.160004,71.449997,70.669998,70.900002,1970700,69.597642
"115",71.169998,71.199997,70.690002,71.18,2333100,69.872498
"116",70.870003,72.120003,70.870003,71.760002,1494300,70.441846
"117",72.550003,72.629997,71.589996,71.980003,1815100,70.657806
"118",72.25,72.809998,72.040001,72.690002,1673500,71.354763
"119",72.650002,73.730003,72.550003,73.260002,1764900,71.914292
"120",73.07,73.410004,72.639999,72.889999,1329300,71.551086
"121",73.190002,74.279999,73.190002,74,708700,72.640697
