"","GNW.Open","GNW.High","GNW.Low","GNW.Close","GNW.Volume","GNW.Adjusted"
"1",17.85,17.99,17.74,17.98,3595200,17.98
"2",17.77,17.780001,17.459999,17.469999,5282200,17.469999
"3",17.440001,17.5,17.17,17.25,5271000,17.25
"4",17.26,17.51,17.190001,17.43,5744800,17.43
"5",17.379999,17.42,17.15,17.299999,5871800,17.299999
"6",17.290001,17.73,17.16,17.66,5845700,17.66
"7",17.6,17.74,17.469999,17.74,3651000,17.74
"8",17.74,17.75,17.51,17.6,3200800,17.6
"9",17.639999,17.68,17.51,17.65,4895900,17.65
"10",17.639999,17.75,17.43,17.52,2142100,17.52
"11",17.41,17.65,17.23,17.290001,3810200,17.290001
"12",17.190001,17.469999,17.120001,17.43,3203200,17.43
"13",17.41,17.42,17.120001,17.309999,3327400,17.309999
"14",17.200001,17.360001,17.16,17.32,6089000,17.32
"15",17.360001,17.42,17.26,17.4,3782000,17.4
"16",17.459999,17.82,17.440001,17.65,4866500,17.65
"17",17.67,17.799999,17.459999,17.51,3702500,17.51
"18",17.67,17.85,17.59,17.620001,2057600,17.620001
"19",17.59,17.59,17.1,17.18,5157900,17.18
"20",17.15,17.290001,16.93,17.110001,4487600,17.110001
"21",17.139999,17.280001,17.1,17.18,2966000,17.18
"22",16.780001,17.139999,16.629999,17.059999,4080100,17.059999
"23",16.1,16.75,15.97,16.620001,22635900,16.620001
"24",16.84,17.040001,16.690001,16.73,3390300,16.73
"25",16.799999,16.9,16.65,16.700001,4467500,16.700001
"26",16.780001,16.780001,16.27,16.280001,6914900,16.280001
"27",16.120001,16.450001,16.02,16.139999,4458800,16.139999
"28",16.209999,16.5,16.15,16.49,3027100,16.49
"29",16.35,16.48,16.280001,16.43,3089000,16.43
"30",16.459999,16.6,16.379999,16.43,3394300,16.43
"31",16.450001,16.59,16.33,16.540001,2133600,16.540001
"32",16.610001,16.610001,16.450001,16.5,2256300,16.5
"33",16.4,16.48,16.33,16.35,1842300,16.35
"34",16.35,16.4,16.110001,16.32,3170900,16.32
"35",16.35,16.42,16.209999,16.26,4397700,16.26
"36",14.8,15.08,13.92,13.98,37023800,13.98
"37",13.81,13.81,12.89,13.1,28364200,13.1
"38",13.14,13.4,12.9,13.07,15897500,13.07
"39",13.15,13.27,12.9,12.98,12052800,12.98
"40",12.96,13.23,12.91,12.98,10054100,12.98
"41",12.93,13.06,12.91,13,6922900,13
"42",13.05,13.12,12.64,12.72,10021900,12.72
"43",12.79,12.93,12.67,12.91,6422500,12.91
"44",13.04,13.14,12.94,13.03,3643700,13.03
"45",13,13.05,12.88,12.95,4388500,12.95
"46",13.03,13.26,13.01,13.23,4387900,13.23
"47",13.23,13.46,13.2,13.45,4714400,13.45
"48",13.46,13.51,13.25,13.41,6140900,13.41
"49",13.52,13.82,13.49,13.81,5052000,13.81
"50",13.83,14.04,13.78,13.8,4309100,13.8
"51",13.79,13.93,13.68,13.78,4345400,13.78
"52",13.87,14.01,13.7,14.01,4136500,14.01
"53",13.98,13.98,13.8,13.88,3304500,13.88
"54",13.98,14.05,13.91,13.98,2911100,13.98
"55",14.04,14.08,13.92,14.03,2226400,14.03
"56",14.04,14.19,14.01,14.12,3474900,14.12
"57",13.99,14.12,13.9,14.06,2756400,14.06
"58",14.1,14.26,14.07,14.19,3521400,14.19
"59",14.26,14.32,14.09,14.22,3954900,14.22
"60",14.31,14.32,14.04,14.1,3000400,14.1
"61",14.14,14.24,13.45,13.53,9333500,13.53
"62",13.53,13.54,13.12,13.23,11259200,13.23
"63",13.23,13.31,12.94,13.29,9133700,13.29
"64",13.24,13.3,13.08,13.11,5046300,13.11
"65",13.14,13.31,13.14,13.28,4175800,13.28
"66",13.17,13.3,13.09,13.11,7208300,13.11
"67",13.12,13.19,12.97,13.17,9287100,13.17
"68",13.16,13.25,13.02,13.19,4200700,13.19
"69",13.15,13.32,13.08,13.18,3444000,13.18
"70",13.19,13.34,13.15,13.21,4127000,13.21
"71",13.25,13.35,13.23,13.26,2788500,13.26
"72",13.34,13.39,13.06,13.19,5701100,13.19
"73",13.45,13.5,13.21,13.29,9355600,13.29
"74",13.26,13.28,13.12,13.17,5541200,13.17
"75",13.19,13.44,13.04,13.41,5242500,13.41
"76",13.35,13.47,13.24,13.33,7913500,13.33
"77",13.38,13.49,13.26,13.4,4179800,13.4
"78",13.23,13.38,13.09,13.26,5204000,13.26
"79",13.27,13.35,13.1,13.1,4589900,13.1
"80",13.15,13.26,13,13.12,5994000,13.12
"81",13.11,13.3,13.09,13.2,5168900,13.2
"82",13.34,13.45,13.27,13.37,3291400,13.37
"83",13.39,13.59,13.37,13.38,4435300,13.38
"84",13.28,13.28,12.92,12.93,6221000,12.93
"85",12.94,13.05,12.74,13.01,5853300,13.01
"86",13,13.11,12.58,12.64,6248500,12.64
"87",12.63,12.85,12.56,12.59,4227400,12.59
"88",12.69,13.01,12.46,12.48,4911400,12.48
"89",12.53,12.8,12.48,12.54,4322900,12.54
"90",12.25,12.51,11.91,12.45,9099700,12.45
"91",12.18,12.64,12.07,12.48,4890900,12.48
"92",12.62,12.8,12.57,12.7,4753400,12.7
"93",12.68,12.8,12.6,12.77,3060300,12.77
"94",13,13.42,12.96,13.35,5396500,13.35
"95",13.42,13.46,13.14,13.14,3553600,13.14
"96",13.32,13.41,13.24,13.28,2564100,13.28
"97",13.28,13.39,13.19,13.38,2269500,13.38
"98",13.34,13.46,13.21,13.44,2546900,13.44
"99",13.54,13.72,13.44,13.63,3176400,13.63
"100",13.66,13.84,13.5,13.65,3529600,13.65
"101",13.62,13.87,13.58,13.71,3378900,13.71
"102",13.87,14,13.81,13.99,4601700,13.99
"103",14.01,14.1,13.92,14,4387300,14
"104",13.93,14.08,13.71,13.9,3335700,13.9
"105",13.98,14.09,13.86,14.07,6182300,14.07
"106",10.3,10.3,8.65,8.66,81191500,8.66
"107",8.47,8.75,7.17,8.41,77051500,8.41
"108",8.45,8.5,8.07,8.12,23348400,8.12
"109",8.12,8.46,8.1,8.4,32634500,8.4
"110",8.35,8.93,8.33,8.8,28465200,8.8
"111",8.98,9.32,8.93,9.3,28435100,9.3
"112",9.37,9.59,9.19,9.41,23419500,9.41
"113",9.37,9.45,9.25,9.33,8070600,9.33
"114",9.33,9.44,9.16,9.36,11120700,9.36
"115",9.33,9.38,9.1,9.13,8035900,9.13
"116",9.03,9.45,9.01,9.43,13919500,9.43
"117",9.53,9.74,9.49,9.56,10862000,9.56
"118",9.51,9.64,9.36,9.38,9578700,9.38
"119",9.4,9.46,9.27,9.31,8259000,9.31
"120",9.27,9.37,9.05,9.11,7733000,9.11
"121",9.14,9.14,8.94,9.09,5663500,9.09
"122",9,9.25,8.85,9.19,9547200,9.19
"123",8.8,9.12,8.58,8.65,14430100,8.65
"124",8.61,8.94,8.6,8.77,9104700,8.77
"125",8.73,8.84,8.6,8.61,8822400,8.61
"126",8.68,8.86,8.56,8.63,7579800,8.63
"127",8.62,8.74,8.45,8.52,8625500,8.52
"128",8.39,8.58,8.32,8.47,10625500,8.47
"129",8.43,8.5,8.14,8.16,8380000,8.16
"130",8.17,8.42,8.1,8.24,7450900,8.24
"131",8.12,8.13,7.88,7.92,9090300,7.92
"132",7.96,8.1,7.79,7.8,9333000,7.8
"133",7.68,7.94,7.58,7.64,9152500,7.64
"134",7.69,7.97,7.69,7.93,9082400,7.93
"135",7.59,8.02,7.57,7.99,18174800,7.99
"136",7.97,8.59,7.95,8.59,18237900,8.59
"137",8.57,8.59,8.26,8.32,6458500,8.32
"138",8.39,8.58,8.38,8.39,5693300,8.39
"139",8.44,8.54,8.32,8.4,2826800,8.4
"140",8.42,8.5,8.36,8.39,3385600,8.39
"141",8.4,8.55,8.3,8.46,5781200,8.46
"142",8.44,8.79,8.44,8.56,6819300,8.56
"143",8.57,8.62,8.43,8.5,5681400,8.5
"144",8.59,8.62,8.31,8.43,4055000,8.43
"145",8.31,8.31,8.11,8.23,8391000,8.23
"146",8.23,8.24,7.96,8.04,10209200,8.04
"147",8.15,8.24,7.8,7.83,6568500,7.83
"148",7.95,8.3,7.89,8.15,8164100,8.15
"149",8.16,8.24,7.91,7.92,4580400,7.92
"150",7.91,7.94,7.6,7.66,3556900,7.66
