"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"1",425.519989,436.040009,425.019989,428.290009,3274300,428.290009
"2",425.230011,432.600006,425,430,1963700,430
"3",429.070007,430.25,420.5,422.450012,2257600,422.450012
"4",423,427.899994,417.209991,427.709991,2254100,427.709991
"5",426.529999,431.209991,423.420013,430.26001,1786600,430.26001
"6",438.040009,448.089996,437.769989,443.649994,4142300,443.649994
"7",443.670013,450.820007,440.25,448.679993,2683800,448.679993
"8",449.429993,449.48999,438.059998,441.390015,2472600,441.390015
"9",441.200012,442.880005,434.980011,440.179993,1888900,440.179993
"10",439.359985,441.859985,435.549988,439.519989,1524700,439.519989
"11",438.049988,449.940002,435.5,436.359985,2909600,436.359985
"12",435,444.76001,433.329987,444.209991,2250300,444.209991
"13",440.790009,442.140015,436.75,439.609985,2033900,439.609985
"14",438.320007,443.190002,437.399994,442.079987,2226800,442.079987
"15",442.859985,446.869995,439.690002,440.600006,1512700,440.600006
"16",456.230011,473.679993,455.299988,473.100006,5427900,473.100006
"17",473.480011,475.869995,466.040009,466.73999,2472800,466.73999
"18",470.160004,472.619995,468.869995,472.350006,1622800,472.350006
"19",472.100006,472.230011,460,460.619995,2613800,460.619995
"20",459.649994,461,439.279999,445.049988,3740400,445.049988
"21",446.179993,449.339996,439.730011,443,3001600,443
"22",434.390015,444.190002,428.200012,438.549988,3484100,438.549988
"23",441.459991,444.130005,437.149994,439.959991,2031300,439.959991
"24",443.299988,455.480011,439,452.579987,2490500,452.579987
"25",450.690002,451.369995,442.269989,449.089996,1929400,449.089996
"26",454.070007,455.700012,443.399994,444.440002,1919800,444.440002
"27",443.279999,448.850006,438.290009,439.359985,1895200,439.359985
"28",440.809998,444.299988,435.75,444.170013,1680100,444.170013
"29",451.690002,457.5,447.619995,451.950012,4953000,451.950012
"30",442.980011,444.670013,425.059998,431.089996,8167800,431.089996
"31",430.410004,435.410004,426.51001,427.899994,2466800,427.899994
"32",429.470001,430.209991,419.019989,425.380005,2660200,425.380005
"33",425,428.170013,420.399994,421.859985,1658600,421.859985
"34",422.209991,425.910004,418.519989,424.660004,1708700,424.660004
"35",423.209991,428.390015,423.209991,424.279999,1326000,424.279999
"36",424.75,435.290009,424.309998,434.359985,2180500,434.359985
"37",430.26001,432.970001,421.290009,422.720001,1974300,422.720001
"38",421.76001,427.730011,412.51001,425.399994,2706800,425.399994
"39",427.200012,430,420.779999,422.700012,1526700,422.700012
"40",421.299988,428,420.309998,422.850006,1521900,422.850006
"41",421,434.899994,420.549988,430.299988,2262200,430.299988
"42",435.299988,449.950012,434.549988,449.670013,3901900,449.670013
"43",450.200012,450.970001,442.049988,445.850006,2213600,445.850006
"44",449.220001,457.649994,448.709991,451.540009,1892400,451.540009
"45",451.350006,453,443.410004,446.410004,1549300,446.410004
"46",448.600006,454.220001,446.820007,451.529999,1294700,451.529999
"47",452.209991,455,448.220001,450.869995,953800,450.869995
"48",451.48999,462,448.600006,459.089996,3148100,459.089996
"49",462.059998,469.5,461.25,466,1928000,466
"50",467.089996,470.5,462.429993,468.149994,1556800,468.149994
"51",467,473.75,464.540009,472.190002,1737700,472.190002
"52",471.279999,476.149994,467.670013,472.049988,1678100,472.049988
"53",470.940002,479.549988,470.049988,479.190002,1962200,479.190002
"54",481.549988,485.299988,477.529999,480.929993,1926400,480.929993
"55",478.5,481.850006,474.549988,479.359985,1448200,479.359985
"56",479.399994,480.25,473.630005,474.700012,1484900,474.700012
"57",472.649994,477.480011,470.809998,475.209991,1083500,475.209991
"58",476.850006,480.5,474.140015,477.640015,1405500,477.640015
"59",478.5,478.790009,474.589996,476.600006,1258100,476.600006
"60",480.519989,487.600006,476.529999,477.390015,2317000,477.390015
"61",479.109985,481.690002,472.130005,472.670013,1708400,472.670013
"62",473.230011,477.350006,470.070007,475.679993,1707600,475.679993
"63",474.399994,480.600006,474.200012,479.329987,1095500,479.329987
"64",486.299988,489.290009,476.399994,479.01001,2819700,479.01001
"65",480.200012,484.75,477.040009,484.390015,1300700,484.390015
"66",482.570007,484.359985,479.670013,481.559998,1123600,481.559998
"67",483.649994,484.890015,476.119995,476.549988,1917900,476.549988
"68",477.540009,477.540009,456.850006,457.75,2945300,457.75
"69",448.399994,458.140015,445.600006,456.910004,3834100,456.910004
"70",456.910004,458.869995,451.290009,454.529999,1733300,454.529999
"71",457.470001,461.359985,453.320007,459.01001,1518600,459.01001
"72",461,461.329987,454.170013,457.519989,1708700,457.519989
"73",456.269989,456.950012,438.880005,442.779999,2309900,442.779999
"74",441.230011,448.01001,440.5,443.899994,1638800,443.899994
"75",444.459991,451.660004,442.540009,450.559998,1364500,450.559998
"76",449.899994,452.350006,442.420013,443.48999,1405700,443.48999
"77",445,450.640015,443.890015,448.75,1486400,448.75
"78",444.070007,450.540009,442.019989,449.559998,1359500,449.559998
"79",452.299988,457.190002,449.799988,451.179993,1781800,451.179993
"80",448.690002,450,437.290009,438.799988,2202300,438.799988
"81",438.899994,450.48999,437.880005,449.980011,2635800,449.980011
"82",453.190002,460.600006,452.51001,459.540009,2184300,459.540009
"83",462,467.209991,461,463.480011,1958500,463.480011
"84",461.100006,466.279999,456,456.25,1965600,456.25
"85",456.649994,467.600006,451.380005,466.859985,2047500,466.859985
"86",466.630005,467.98999,459.559998,461.619995,2132600,461.619995
