"","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"1",101.629997,101.809998,101.309998,101.769997,236100,99.641929
"2",101.419998,102,101.190002,101.849998,221000,99.720258
"3",101.589996,101.830002,101.040001,101.120003,294300,99.005527
"4",101.139999,101.290001,100.629997,100.790001,270800,98.682425
"5",100.790001,101.339996,100.110001,100.349998,525200,98.251624
"6",100.550003,101.150002,99.959999,100.940002,230900,98.82929
"7",101.07,102.970001,100.730003,102.940002,501800,100.787469
"8",102.949997,103.110001,102.269997,102.75,315000,100.60144
"9",103.459999,105.610001,101.75,104.809998,837900,102.618362
"10",104.959999,105.330002,103.790001,104.110001,329700,101.933002
"11",103.650002,103.989998,103.099998,103.150002,303100,101.372828
"12",103.290001,104.029999,103.169998,103.839996,351800,102.050935
"13",103.68,103.860001,102.800003,103.510002,192700,101.726626
"14",102.839996,104.440002,102.790001,104.370003,282600,102.57181
"15",104.550003,104.760002,103.480003,104.279999,309800,102.483357
"16",104.730003,105.370003,104.190002,105.120003,331300,103.308888
"17",104.910004,105.349998,104.599998,105.050003,263500,103.240094
"18",105.239998,105.660004,105.169998,105.43,250900,103.613545
"19",105.589996,105.839996,105.040001,105.279999,557800,103.466128
"20",105.349998,105.370003,104.349998,104.5,382800,102.699567
"21",104.980003,105.199997,104.160004,104.379997,313300,102.581632
"22",103.510002,104.25,103.239998,103.93,243500,102.139388
"23",103.93,104.43,103.839996,104.25,255400,102.453875
"24",104.620003,104.699997,104.279999,104.510002,259300,102.709397
"25",104.790001,105.07,104.089996,104.300003,289100,102.503016
"26",104.589996,104.589996,103.93,104.239998,403400,102.444045
"27",103.889999,104.400002,103.25,103.419998,306500,101.638173
"28",103.760002,104.449997,103.230003,104.290001,306000,102.493186
"29",103.980003,104.470001,103.269997,103.809998,282400,102.021453
"30",104.089996,105.07,103.669998,104.089996,618500,102.296628
"31",104.150002,104.150002,103.489998,103.910004,691000,102.119736
"32",104.150002,104.449997,103.639999,103.849998,297800,102.060765
"33",103.800003,104.029999,103.309998,103.809998,359800,102.021453
"34",103.709999,104.410004,103.199997,104.059998,310700,102.267146
"35",103.989998,104.32,102.940002,102.980003,289400,101.205759
"36",103.440002,103.589996,102.669998,103.209999,388900,101.431792
"37",102.760002,103.209999,100.959999,100.989998,439800,99.250039
"38",100.599998,101.589996,97.510002,101.129997,446100,99.387626
"39",101.559998,102.019997,100.489998,101.93,372100,100.173846
"40",98,98.940002,96.230003,96.480003,1082700,94.817747
"41",96.209999,98.279999,96.099998,98.050003,705900,96.360698
