"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"1",204.029999,204.830002,203.300003,204.419998,342300,202.469681
"2",204.050003,204.509995,202.960007,203.25,285400,201.310845
"3",203.110001,204.419998,201.660004,202.220001,393900,200.290673
"4",202.839996,203.279999,201.660004,202.729996,261000,200.795802
"5",202.639999,204.039993,201.520004,202.330002,332000,200.399625
"6",201.720001,203.779999,201.5,202.770004,275400,200.835429
"7",202.830002,203.929993,201.360001,203.720001,338500,201.776362
"8",203.259995,203.630005,202.639999,203.320007,326600,201.380185
"9",203.940002,204.960007,203.350006,203.990005,544200,202.043791
"10",204.259995,205.100006,203.600006,204.589996,343600,202.638057
"11",204,206.100006,203.880005,204.770004,523600,202.816348
"12",204.809998,206.389999,204.649994,206.050003,396400,204.084134
"13",205.949997,205.949997,203.610001,205.289993,356200,203.331376
"14",204.289993,207.679993,204.289993,207.460007,624000,205.480685
"15",208,208,206.520004,206.910004,676400,204.93593
"16",207.020004,208.270004,206.899994,207.350006,431400,205.371734
"17",207,207.899994,206.039993,206.589996,297400,204.618976
"18",206.979996,207.679993,206.470001,207.460007,197300,205.480685
"19",207.229996,207.649994,204.75,205.240005,389400,203.281865
"20",205.330002,205.419998,202.649994,203.210007,545700,201.271234
"21",203.419998,205.220001,202.990005,205.119995,506700,203.162999
"22",202.910004,202.910004,201.850006,202.279999,658800,200.350099
"23",202.460007,202.940002,201.470001,202.759995,346500,200.825515
"24",202.820007,203.639999,202.759995,203.220001,354900,201.281133
"25",203.979996,204.649994,201.770004,202.320007,586900,200.389725
"26",203,203.169998,201.490005,201.729996,759200,199.805343
"27",209.139999,211.369995,205.600006,210.949997,1656500,208.937379
"28",210.809998,212.380005,209.740005,212.179993,1241100,210.155639
"29",212.110001,212.660004,211.199997,212.580002,615300,210.551832
"30",212.669998,214.929993,212.580002,213.960007,593500,211.918671
"31",215,215.619995,213.809998,214.610001,474000,212.562463
"32",215.050003,215.050003,213.179993,213.470001,544100,211.43334
"33",213.470001,214.5,212.529999,212.770004,347900,210.740022
"34",213,213.789993,211.600006,212.649994,529600,210.621156
"35",212.949997,213.440002,210.729996,210.740005,574900,208.729391
"36",210.940002,211.830002,209.720001,210.160004,561700,208.154922
"37",209.779999,209.869995,206.050003,206.229996,595600,204.26241
"38",205.440002,206.160004,203.649994,204.759995,882100,202.806433
"39",205.830002,208.839996,203.919998,208.380005,520000,206.391906
"40",207.279999,208.449997,204.630005,205.020004,777200,203.063962
"41",204.970001,207.529999,204.970001,207.399994,828700,205.421245
"42",208.130005,208.330002,205.270004,205.850006,748900,203.886045
"43",206.699997,209.059998,206.110001,208.910004,605700,206.916848
"44",209.210007,210.770004,208.550003,208.839996,339800,206.847509
"45",208.679993,210.960007,208.630005,210.619995,530000,208.610525
"46",211.130005,212.059998,209.910004,211.75,396800,210.278863
"47",212.539993,212.830002,210.979996,211.809998,420700,210.338444
"48",212.720001,213.839996,210.839996,212.800003,466100,211.321571
"49",213.619995,214.490005,212.940002,214.130005,390900,212.642333
"50",214.960007,214.979996,214.059998,214.350006,325900,212.860806
"51",214.119995,215.449997,213.490005,215.039993,404600,213.545999
"52",215.449997,217.850006,215.289993,217.25,482100,215.740652
"53",217.25,217.990005,216.300003,216.960007,291500,215.452673
"54",217.550003,218,216.589996,217.589996,350400,216.078286
"55",217.649994,218.5,216.830002,217.800003,255700,216.286834
"56",218,218.320007,216.389999,217.630005,419600,216.118017
"57",216.550003,219.210007,216,218.130005,277600,216.614543
"58",217.869995,218.320007,216.899994,218.110001,300700,216.594678
"59",218.589996,219.020004,217.029999,217.570007,370600,216.058436
"60",218.779999,219.199997,216.690002,217.229996,317700,215.720787
"61",217.130005,218.770004,216.899994,217.449997,283700,215.939259
"62",216.889999,218.5,216.339996,218.289993,398400,216.77342
"63",218.25,218.509995,216.940002,217.919998,280600,216.405995
"64",217.210007,217.559998,216.350006,216.520004,409800,215.015728
"65",217.110001,217.160004,215.949997,216.800003,404700,215.293781
"66",216.449997,218.210007,216.119995,218.039993,388800,216.525157
"67",217.449997,217.729996,214.679993,215.550003,421100,214.052466
"68",215.160004,215.910004,213.610001,215.179993,442800,213.685026
"69",215.229996,217.710007,214.699997,216.520004,471700,215.015728
"70",216.940002,218.289993,216.110001,217.089996,292500,215.58176
"71",217.979996,220.470001,217.649994,219.860001,441800,218.332519
"72",221.059998,221.270004,219.899994,220.539993,712900,219.007788
"73",220.039993,220.820007,219.050003,219.050003,478600,217.528149
"74",218.880005,219.949997,218.399994,218.479996,461200,216.962102
"75",218.669998,221.440002,218.199997,221.009995,506500,219.474524
"76",220.110001,220.979996,218.360001,218.369995,402800,216.852866
"77",218.25,221.179993,218.220001,220.789993,366600,219.256051
"78",219.610001,222.529999,218.809998,221.440002,473300,219.901544
"79",220.470001,221.75,218.800003,218.990005,548600,217.468569
"80",218.630005,218.910004,213.070007,213.740005,509100,212.255043
"81",213.720001,214.990005,211.360001,214.509995,449900,213.019683
"82",215.210007,217.529999,215.210007,215.990005,386600,214.489411
"83",216.320007,217.100006,213.869995,214.639999,543900,213.148784
"84",214.039993,214.460007,211.440002,211.440002,495800,209.971019
"85",212.539993,217.059998,211.729996,216.759995,650800,215.254051
"86",216.789993,217.309998,213.990005,214.009995,667300,212.523156
"87",214,216.729996,213.110001,213.139999,565900,211.659206
"88",213.919998,214.460007,203.539993,204.080002,1147100,202.662152
"89",204.369995,207.350006,203.270004,205.770004,752100,204.340414
"90",202.570007,211.279999,202.009995,210.520004,1124200,209.057413
"91",206.259995,212.490005,206.259995,211.589996,549300,210.119971
"92",213.759995,218.800003,213.470001,217.009995,891500,215.502314
"93",217,220.300003,216.720001,219.800003,580500,218.272939
