"","HAR.Open","HAR.High","HAR.Low","HAR.Close","HAR.Volume","HAR.Adjusted"
"1",106.699997,107.410004,106.309998,107.290001,431100,106.078005
"2",106.75,108.309998,106.440002,108.230003,683800,107.007388
"3",108.059998,108.209999,104.07,104.650002,581800,103.467828
"4",104.790001,104.82,102.120003,102.989998,920000,101.826576
"5",102.93,104.099998,102.559998,103.239998,583100,102.073752
"6",103.379997,104.150002,102.699997,103.459999,653400,102.291268
"7",103.959999,104.82,102.339996,104.620003,462100,103.438168
"8",104.610001,104.610001,102.900002,103.309998,553700,102.142961
"9",103.559998,104.269997,103.419998,104.150002,792400,102.973476
"10",104.139999,104.519997,103.639999,104.230003,426700,103.052574
"11",104.199997,107.669998,103.879997,105.059998,850300,103.873192
"12",105.010002,106.989998,104.849998,106.400002,933300,105.198059
"13",106.410004,108.32,105.510002,108.290001,866100,107.066708
"14",107.900002,108.550003,107.309998,107.839996,1251200,106.621787
"15",107.339996,108.099998,106.260002,107.43,522600,106.216423
"16",107.940002,111.43,107.940002,110.599998,874200,109.350611
"17",110.879997,113.580002,110.580002,112.470001,963200,111.199489
"18",112.480003,113.029999,111.580002,112.910004,483600,111.634521
"19",112.720001,112.879997,111.510002,111.660004,394400,110.398642
"20",111.790001,111.970001,108.709999,110.050003,671100,108.806829
"21",110.529999,114.300003,110,113.769997,895000,112.484799
"22",111.440002,114.150002,111.190002,113.269997,495200,111.990448
"23",113.18,117,113.089996,116.510002,1033000,115.193853
"24",117,118.599998,116.739998,117.150002,842300,115.826622
"25",117.449997,117.620003,114.410004,114.900002,884000,113.602039
"26",115.480003,115.860001,113.639999,114.68,671200,113.384523
"27",113.730003,114.190002,112.050003,112.260002,660400,110.991863
"28",112.519997,114.529999,112.400002,114.379997,486300,113.087909
"29",113.889999,114.269997,112.43,113.339996,383400,112.059657
"30",114.239998,114.900002,113.709999,114.309998,461500,113.0187
"31",114.989998,116.269997,114.510002,114.660004,419000,113.364753
"32",115.330002,116.059998,114.860001,114.980003,544400,113.681137
