"","PKI.Open","PKI.High","PKI.Low","PKI.Close","PKI.Volume","PKI.Adjusted"
"1",47,47.040001,46.740002,46.880001,802000,46.588738
"2",46.639999,46.75,46.060001,46.66,1331800,46.370104
"3",46.66,46.799999,46.25,46.389999,593800,46.101781
"4",46.41,46.599998,46.209999,46.41,405700,46.121657
"5",46.360001,46.73,45.709999,46.040001,1568600,45.753957
"6",45.950001,46.599998,45.75,46.34,1186600,46.052092
"7",46.330002,47.029999,46.330002,47,910800,46.707991
"8",47.119999,47.119999,46.560001,46.82,484300,46.529109
"9",46.970001,47.119999,46.669998,47.110001,903700,46.817309
"10",47.049999,47.16,46.849998,46.91,387500,46.61855
"11",46.75,47.25,46.549999,46.580002,347100,46.290603
"12",46.52,46.860001,46.41,46.73,461400,46.439668
"13",46.889999,46.889999,46.380001,46.75,383100,46.459545
"14",46.740002,47.060001,46.549999,46.790001,684400,46.499297
"15",46.77,46.93,46.59,46.84,364000,46.548986
"16",47.130001,47.720001,46.799999,47.610001,536100,47.314202
"17",47.709999,48.130001,47.5,47.68,517400,47.383767
"18",47.689999,48.259998,47.619999,48.25,424300,47.950225
"19",48.029999,48.029999,47.310001,47.459999,489300,47.165132
"20",47.240002,47.259998,46.5,46.799999,629100,46.509233
"21",46.900002,47.060001,46.470001,46.860001,359400,46.568862
"22",46.18,46.790001,46.060001,46.689999,353100,46.399916
"23",46.599998,46.630001,46.27,46.599998,326600,46.310475
"24",46.959999,47,46.599998,46.790001,333100,46.499297
"25",46.689999,46.830002,46.119999,46.25,1004200,45.962651
"26",46.369999,46.439999,45.869999,46.099998,568800,45.883026
"27",46.16,46.68,45.889999,46.02,650200,45.803404
"28",46.139999,46.75,46.139999,46.689999,647100,46.470249
"29",46.400002,47.380001,46.290001,47.080002,736500,46.858417
"30",47.419998,47.849998,47.32,47.650002,770400,47.425734
"31",47.860001,47.990002,47.259998,47.650002,744500,47.425734
"32",47.689999,47.900002,47.540001,47.720001,367200,47.495404
"33",47.380001,47.91,47.119999,47.82,428100,47.594932
"34",47.759998,47.880001,47.220001,47.380001,628000,47.157004
"35",47.389999,47.52,47.080002,47.150002,658100,46.928087
"36",47.200001,47.540001,46.82,47.139999,843800,46.918132
"37",46.98,47.110001,45.830002,46.220001,1465100,46.002464
"38",44.290001,44.84,43.060001,44.540001,2733000,44.330371
"39",44.509998,44.91,44.240002,44.810001,682400,44.5991
"40",44.459999,45.060001,44.419998,44.759998,764200,44.549333
"41",44.400002,45.080002,44.369999,44.779999,470200,44.569239
"42",44.869999,45.220001,44.540001,44.66,637400,44.449805
"43",44.709999,45,44.439999,44.950001,334300,44.738441
"44",45.02,45.189999,44.619999,44.650002,295700,44.439854
"45",44.720001,44.970001,44.529999,44.869999,340900,44.658816
"46",45.040001,45.32,44.880001,45.27,247800,45.056934
"47",45.290001,45.68,45.209999,45.610001,339100,45.395334
"48",45.84,45.84,44.919998,45.330002,361200,45.116653
"49",45.549999,45.880001,45.330002,45.860001,345600,45.644158
"50",45.880001,46.009998,45.459999,45.599998,495800,45.385379
"51",45.41,45.509998,45.060001,45.150002,696300,44.9375
"52",45.279999,45.419998,44.939999,45.119999,664000,44.907639
"53",45.16,45.330002,44.880001,44.889999,523300,44.678722
"54",45.07,45.41,45.02,45.200001,395600,44.987264
"55",45.23,45.41,45.040001,45.07,382500,44.857875
"56",45.130001,45.169998,44.610001,44.689999,538000,44.479662
"57",44.630001,44.869999,44.48,44.709999,597400,44.499569
"58",44.740002,44.939999,44.650002,44.849998,299400,44.638909
"59",44.950001,45.360001,44.759998,44.889999,867700,44.678722
"60",45.09,45.290001,44.849998,44.950001,419700,44.738441
"61",44.970001,45.66,44.849998,45.040001,982600,44.828017
"62",45.040001,45.27,44.779999,45.200001,331800,44.987264
"63",45.310001,45.5,45.169998,45.439999,837400,45.226132
"64",45.439999,45.48,44.93,44.98,585300,44.768298
"65",45.169998,45.189999,44.779999,45.080002,972100,44.86783
"66",44.98,45.220001,44.779999,44.919998,814000,44.708579
"67",44.849998,44.889999,44.310001,44.669998,917600,44.459756
"68",44.580002,44.720001,43.990002,44.150002,737300,43.942207
"69",44,44.169998,43.580002,43.75,1516200,43.544088
"70",43.84,44.450001,43.830002,44.299999,1170300,44.091499
"71",44.48,44.720001,44.290001,44.349998,849000,44.141262
"72",44.560001,44.700001,44.009998,44.040001,980400,43.832724
"73",44.48,44.48,43.880001,44.240002,1294100,44.031783
"74",44,44.110001,43.75,43.779999,1240000,43.573946
"75",43.799999,44.529999,43.689999,44.439999,1073700,44.230839
"76",44.330002,44.380001,43.509998,43.509998,1339700,43.305216
"77",43.59,43.790001,43.360001,43.75,957400,43.544088
"78",43.380001,44.040001,43.380001,43.990002,704600,43.78296
"79",44.009998,44.060001,43.540001,43.599998,702500,43.394792
"80",43.580002,43.580002,42.740002,42.849998,1275000,42.648322
"81",42.68,42.82,42.130001,42.400002,1207200,42.200443
"82",42.59,42.959999,42.5,42.799999,981600,42.598558
"83",43,43.189999,42.610001,42.880001,447900,42.678184
"84",42.639999,42.68,42.23,42.23,863100,42.031241
"85",42.259998,43.299999,42.240002,43.18,1267100,42.976771
"86",43.139999,43.220001,42.43,42.43,2582400,42.230301
"87",42.450001,42.560001,41.16,41.18,1584600,40.986184
"88",41.060001,41.27,39.790001,39.830002,1596400,39.642539
"89",40.139999,40.880001,39.849998,40.400002,1220700,40.209856
"90",39.529999,40.049999,38.959999,39.849998,1113300,39.731284
"91",39.169998,40.16,39.02,40.07,1344100,39.95063
"92",40.389999,40.830002,39.93,40,1226900,39.880838
"93",39.889999,40.169998,39.82,40.07,1835000,39.95063
"94",39.98,41.77,39.869999,41.689999,2663100,41.565802
"95",41.48,41.5,40.209999,40.23,1689800,40.110153
"96",40.630001,41.299999,40.630001,41.130001,986800,41.007473
"97",41.25,41.75,41.080002,41.720001,817500,41.595716
"98",41.630001,41.810001,41.450001,41.790001,639300,41.665507
"99",41.93,42.860001,41.790001,42.84,1147500,42.712378
"100",42.779999,42.779999,41.919998,42.619999,1404500,42.493032
"101",42.330002,43.470001,42.029999,43.389999,1749400,43.260739
"102",43.169998,44.41,42.599998,43.419998,1835200,43.290648
"103",43.34,44.07,43.099998,43.810001,951400,43.67949
"104",43.73,44.220001,43.610001,44.080002,1000700,43.948686
"105",44.419998,44.740002,44.029999,44.07,1135200,43.938713
"106",44.060001,44.669998,44.040001,44.66,729800,44.526956
"107",44.490002,44.610001,43.48,43.810001,1249900,43.67949
"108",43.959999,44.049999,43.669998,44.02,631100,43.888863
"109",43.970001,44.099998,43.73,43.990002,672000,43.858954
"110",43.830002,43.93,43.639999,43.779999,483600,43.649576
"111",43.77,43.790001,43.360001,43.540001,775900,43.410294
"112",43.48,44,43.389999,43.650002,519100,43.519966
"113",43.599998,43.779999,43.16,43.389999,516200,43.260739
"114",43.369999,44.029999,43.330002,43.860001,541000,43.72934
"115",43.799999,43.869999,43.419998,43.73,436700,43.599726
"116",43.610001,44.25,43.450001,44,523800,43.868922
"117",44.5,45.389999,44.330002,45.330002,1272600,45.194962
"118",45.380001,45.599998,45.080002,45.490002,757800,45.354485
"119",45.720001,46.220001,45.52,45.759998,872900,45.623677
"120",45.799999,45.799999,45.299999,45.639999,357300,45.504036
"121",45.650002,45.720001,45.299999,45.470001,532800,45.334544
"122",45.310001,45.59,45.209999,45.380001,751100,45.244812
"123",44.049999,45.080002,43.740002,44.950001,1412100,44.816093
"124",45,45.299999,44.799999,44.849998,568700,44.716389
"125",44.799999,44.990002,44.41,44.549999,1056900,44.417283
"126",44.52,44.799999,43.970001,44.07,763200,43.938713
"127",44.049999,44.189999,43.41,43.490002,819700,43.360443
"128",43.02,43.200001,42.73,43,1096700,42.871901
"129",42.91,43,42.009998,42.02,1375000,41.894821
"130",42.080002,42.610001,42,42.07,853400,41.944671
"131",41.75,42.130001,41.669998,41.73,1074600,41.605684
"132",41.93,42.040001,41.290001,41.41,1047500,41.286638
"133",41.330002,41.759998,40.880001,40.950001,1469800,40.828009
"134",41.23,42.450001,40.84,42.360001,1418400,42.233808
"135",42.849998,43.130001,42.529999,43.119999,1165800,42.991543
"136",43.330002,44.299999,43.310001,43.77,2087400,43.639608
"137",43.779999,44.279999,43.779999,44.240002,630900,44.108209
"138",44.43,44.560001,43.959999,44.049999,488900,43.918773
"139",44.169998,44.349998,43.990002,43.990002,156600,43.858954
"140",44.049999,44.360001,43.889999,44.07,241600,43.938713
"141",43.93,44.130001,43.73,43.93,391800,43.799131
"142",43.810001,44.220001,43.689999,44.080002,466500,43.948686
"143",44.299999,44.490002,43.669998,43.73,529200,43.599726
"144",43.970001,44.119999,43.610001,44.09,723400,43.958654
"145",43.779999,43.900002,43.040001,43.049999,1426800,42.921752
"146",41.759998,42.98,41.700001,42.66,1224400,42.532914
"147",42.98,43.099998,42.650002,42.919998,1132300,42.792138
"148",43.419998,44.279999,43.27,44,1903900,43.868922
"149",44.07,44.119999,43.259998,43.549999,585000,43.420262
"150",43.720001,43.740002,43.02,43.439999,564400,43.310589
"151",43.830002,44.080002,42.98,43.389999,536400,43.260739
"152",42.84,43.119999,42.439999,42.950001,604400,42.891246
"153",42.950001,43.119999,42.27,42.799999,993000,42.741449
"154",42.599998,43.43,42.27,43.369999,953100,43.310669
"155",43.709999,43.93,42.619999,43.029999,909500,42.971134
"156",42.970001,43.650002,42.799999,43.389999,752300,43.330642
"157",43.889999,43.939999,43.169998,43.84,1102000,43.780028
"158",43.869999,44.57,43.66,44.290001,868600,44.229413
"159",44.200001,44.48,43.810001,44.439999,914800,44.379205
"160",43.889999,44.360001,43.689999,43.939999,1186400,43.879889
"161",44.27,44.869999,43.889999,44.490002,1259000,44.42914
"162",44.25,44.91,44,44.860001,1382900,44.798633
"163",45.580002,47.240002,45.459999,45.709999,3565900,45.647468
"164",45.790001,45.919998,44.41,45.59,2056100,45.527634
"165",46.009998,46.830002,45.68,46.830002,1374700,46.765939
"166",46.560001,46.700001,45.869999,45.990002,977300,45.927088
"167",46.07,46.700001,46.07,46.59,952100,46.526266
"168",46.59,46.709999,45.830002,45.98,660600,45.9171
"169",45.889999,45.970001,45.34,45.48,714000,45.417784
"170",45.68,45.919998,45.360001,45.869999,772800,45.807249
"171",45.73,46.18,45.66,45.93,607600,45.867169
"172",46.040001,46.439999,45.880001,46.400002,308100,46.336527
