"","BIIB.Open","BIIB.High","BIIB.Low","BIIB.Close","BIIB.Volume","BIIB.Adjusted"
"1",316.200012,319.839996,312.609985,315.440002,1015900,315.440002
"2",314.040009,314.98999,308,310.720001,909700,310.720001
"3",310.720001,314.070007,308.100006,309.779999,802700,309.779999
"4",310.5,311.380005,306.399994,309.980011,773200,309.980011
"5",309.600006,312.950012,306.76001,307.970001,890700,307.970001
"6",306.98999,307.459991,302.01001,304.790009,860400,304.790009
"7",305.51001,310.359985,304.619995,309.809998,1068300,309.809998
"8",310.670013,313.529999,308.450012,311.980011,1034500,311.980011
"9",313.850006,319.890015,312.5,319.589996,2088800,319.589996
"10",318.01001,321.890015,312.869995,313.459991,889100,313.459991
"11",313.589996,319.26001,312.660004,314.230011,1105200,314.230011
"12",313.089996,318,312.579987,314.76001,1051700,314.76001
"13",315.679993,319.880005,312.869995,318.630005,1027500,318.630005
"14",318.570007,320.98999,315.670013,318.130005,969400,318.130005
"15",317.160004,319.619995,315.01001,315.309998,938200,315.309998
"16",317.029999,326.230011,315.23999,324.73999,1179500,324.73999
"17",325.25,332.779999,324.01001,331,1183800,331
"18",330.799988,332.929993,328.230011,331.149994,700600,331.149994
"19",329.399994,332.970001,324,325.679993,802300,325.679993
"20",324,324.600006,316.910004,317.589996,1235700,317.589996
"21",322.619995,322.869995,313.609985,320.140015,1027100,320.140015
"22",317.100006,321.410004,315,319.119995,825300,319.119995
"23",320,323.440002,316.040009,322.220001,946900,322.220001
"24",325.119995,325.119995,319.059998,319.75,876500,319.75
"25",320.76001,321.809998,311.920013,312,1391100,312
"26",313.829987,313.829987,302.549988,303.73999,1803800,303.73999
"27",301.850006,307.98999,298.309998,299.290009,1651300,299.290009
"28",301.119995,305.820007,298.640015,304.100006,1550700,304.100006
"29",303.040009,304.23999,300.399994,302.5,1027800,302.5
"30",305.179993,308.679993,302.940002,303.670013,1200100,303.670013
"31",335,343.589996,331,337.600006,4143000,337.600006
"32",337.600006,339.829987,335.220001,336.790009,1599900,336.790009
"33",334.779999,337.5,332.769989,335.450012,1068600,335.450012
"34",334.679993,338.339996,332.100006,336.390015,995600,336.390015
"35",337,344.070007,335.700012,341.730011,1286000,341.730011
"36",344.450012,349,343.019989,344.519989,1303300,344.519989
"37",342.720001,342.859985,333.350006,334.390015,1168500,334.390015
"38",332.929993,337.820007,325.850006,329.829987,1319300,329.829987
"39",330.079987,330.940002,325.76001,326.549988,989300,326.549988
"40",325.579987,328.549988,322.140015,325.230011,1144600,325.230011
"41",324.059998,328.48999,322,325.200012,940600,325.200012
"42",326,327.359985,319.799988,320.600006,872700,320.600006
"43",320.880005,326.399994,319.320007,324.049988,1196900,324.049988
"44",327.299988,327.440002,319.070007,320.339996,983000,320.339996
"45",319.959991,325.640015,317,324.959991,1045600,324.959991
"46",325.51001,335.390015,324.130005,334.640015,1449200,334.640015
"47",335.049988,338.51001,333.660004,337.01001,1319200,337.01001
"48",339.25,343.029999,330.700012,342.470001,1722400,342.470001
"49",347.589996,348.399994,342.089996,344.600006,1223600,344.600006
"50",344.820007,348.48999,343.290009,345.839996,815700,345.839996
"51",343.679993,345.459991,340.670013,342.579987,700100,342.579987
"52",342.730011,344.420013,337.190002,338.649994,663700,338.649994
"53",339.839996,341.899994,337,339.970001,677300,339.970001
"54",342.540009,345.75,341.079987,342.700012,719300,342.700012
"55",343.390015,343.600006,340.01001,342.98999,836800,342.98999
"56",343.459991,343.76001,338.540009,343.359985,972100,343.359985
"57",341.140015,343.829987,339.519989,341.23999,643800,341.23999
"58",343.630005,343.630005,339.179993,343.040009,700100,343.040009
"59",345.470001,347.790009,340.600006,342.679993,715600,342.679993
"60",343.369995,345.809998,342.170013,344.119995,735700,344.119995
"61",344.369995,344.440002,333.779999,334.829987,827700,334.829987
"62",335.040009,335.75,321,330.480011,1910600,330.480011
"63",329.279999,331.850006,326.73999,331.309998,927200,331.309998
"64",330.73999,330.73999,326.029999,326.829987,840800,326.829987
"65",325.98999,333,325.98999,332.079987,811100,332.079987
"66",330.410004,332.809998,324.73999,327.109985,925300,327.109985
"67",327.309998,328.160004,321.109985,323.390015,802500,323.390015
"68",323.399994,323.970001,315.709991,320.119995,1062800,320.119995
"69",319.420013,328.75,318.690002,326.880005,991200,326.880005
"70",328.420013,330.980011,322.690002,327.579987,1088600,327.579987
"71",328.859985,330.299988,325.359985,329.98999,637100,329.98999
"72",329.51001,334.820007,327.48999,329.23999,1742600,329.23999
"73",327.359985,330.339996,325.01001,329.76001,1027400,329.76001
"74",328.51001,334.950012,327.679993,332.23999,1039700,332.23999
"75",333.399994,347.75,333.109985,346.299988,1579200,346.299988
"76",344.049988,345.649994,333.059998,333.399994,1554900,333.399994
"77",333.869995,334.790009,328.679993,333.540009,1075600,333.540009
"78",329.700012,333.5,326.850006,330.160004,800900,330.160004
"79",330.230011,332.399994,327.079987,330.809998,1055100,330.809998
"80",330.970001,331.149994,321.980011,323.5,985400,323.5
"81",322.600006,324.450012,317.529999,319.839996,1116300,319.839996
"82",323.329987,331.01001,321.630005,327.089996,1306500,327.089996
