"","CVS.Open","CVS.High","CVS.Low","CVS.Close","CVS.Volume","CVS.Adjusted"
"1",78.43,78.459999,77.800003,78.019997,2704800,76.938878
"2",77.739998,78,77.269997,77.32,3125500,76.248581
"3",77.139999,77.25,75.82,75.980003,3777700,74.927152
"4",76.269997,76.339996,75.370003,75.860001,3107200,74.808813
"5",75.75,76.360001,75.580002,76.139999,3992800,75.084931
"6",76.089996,76.480003,75.910004,76.199997,2780300,75.144098
"7",76.870003,77.389999,76.120003,77.360001,3481600,76.288027
"8",77.470001,77.739998,77.32,77.449997,4535000,76.376776
"9",77.730003,77.879997,76.720001,76.790001,6127200,75.725926
"10",76.769997,76.779999,76,76.32,3573100,75.262437
"11",75.709999,76.239998,74.639999,75.480003,5865300,74.434081
"12",75.559998,75.790001,75.07,75.459999,4240500,74.414354
"13",75.470001,76.059998,75.110001,75.540001,4008400,74.493247
"14",75.449997,75.779999,75.190002,75.720001,7274100,74.670753
"15",75.739998,76.139999,75.209999,75.370003,3982700,74.325605
"16",75.889999,76.330002,75.419998,76.040001,3361300,74.986319
"17",75.989998,76.730003,75.75,76.25,2759100,75.193408
"18",76.419998,76.93,76.309998,76.830002,2040800,75.765373
"19",76.610001,76.989998,76.480003,76.669998,2439600,75.607586
"20",76.580002,76.660004,76.18,76.529999,3318100,75.469527
"21",76.849998,76.959999,76.25,76.839996,3127300,75.775229
"22",76.239998,76.93,76.040001,76.610001,2911700,75.54842
"23",76.550003,77.029999,76.300003,76.900002,2269000,75.834402
"24",77.129997,77.540001,77.099998,77.290001,2272700,76.218997
"25",77.209999,77.650002,76.919998,77.410004,3502300,76.337337
"26",77.690002,77.849998,76.900002,77.029999,2796300,75.962598
"27",76.620003,77.010002,76.089996,76.110001,2418500,75.324259
"28",76.32,77.519997,76.239998,77.470001,3247700,76.670219
"29",76.989998,77.290001,76.550003,77.040001,3152200,76.244658
"30",77.110001,78.050003,77.019997,77.870003,2697100,77.066091
"31",77.82,78.190002,77.57,78.129997,2314500,77.323402
"32",78.339996,79.010002,78.160004,78.889999,3798100,78.075558
"33",78.75,79.209999,78.610001,79.120003,3295000,78.303187
