"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"230",89.75,89.870003,89.029999,89.629997,1667200,89.057889
"231",90.099998,90.449997,89.07,89.889999,2212500,89.316231
"232",90.209999,91.440002,90.059998,91.139999,2845200,90.558253
"233",90.559998,90.849998,90.010002,90.410004,1585200,89.832916
"234",90.830002,91.5,90.440002,90.639999,1778200,90.061444
"235",90.93,92.360001,90.919998,92.209999,1949200,91.621422
"236",90.300003,90.650002,88.129997,89.129997,6658500,88.56108
"237",89,89.550003,88.629997,89.18,2517400,88.610764
"238",89.080002,89.410004,88.459999,89.169998,2122200,88.600826
"239",89.190002,89.410004,88.580002,88.980003,1939700,88.412044
"240",89.18,89.790001,89.050003,89.459999,3037500,88.888976
"241",91.809998,93.540001,91.760002,93.349998,8558100,92.754145
"242",92.580002,94.239998,92.5,93.800003,5536000,93.201277
"243",93.889999,94.879997,93.699997,94.360001,3954000,93.757701
"244",93.919998,93.919998,93.080002,93.5,3210800,92.903189
"245",93.419998,94.110001,93.110001,93.68,5466300,93.082041
"246",93.82,93.839996,92.580002,92.639999,2902200,92.048678
"247",92.730003,93.230003,92.339996,92.75,2574300,92.157977
"248",93.080002,93.25,92.300003,92.739998,2149000,92.148038
"249",92.239998,92.470001,91.660004,91.870003,2484100,91.283596
"250",91.589996,92.459999,91.239998,92.129997,1742900,91.541931
"251",91.93,92.150002,91.489998,91.610001,1678400,91.025254
"252",91.879997,92.889999,91.459999,91.849998,1789300,91.26372
"253",92.110001,93.269997,91.949997,92.940002,2038300,92.346766
