"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume","MKC.Adjusted"
"1",72.809998,72.889999,72.239998,72.559998,447800,70.686402
"2",72.480003,72.790001,71.830002,72.199997,391500,70.335697
"3",72.129997,72.129997,71.620003,71.839996,236100,69.984992
"4",71.800003,72.010002,71.349998,71.709999,347700,69.858352
"5",71.559998,71.739998,71.32,71.449997,565100,69.605063
"6",71.760002,71.839996,71.290001,71.629997,469500,69.780416
"7",71.459999,72.660004,71.370003,72.610001,435900,70.735114
"8",72.730003,72.989998,72.110001,72.489998,427100,70.61821
"9",72.470001,72.699997,72.349998,72.5,609800,70.627954
"10",72.510002,72.599998,71.07,71.290001,647600,69.449198
"11",71.190002,71.419998,70.849998,71.300003,502100,69.458942
"12",71.099998,71.510002,70.980003,71.18,563800,69.342038
"13",70.349998,70.529999,68.410004,70.269997,980600,68.455532
"14",70.269997,71.660004,70.209999,71.57,877700,69.721967
"15",71.5,71.790001,70.980003,71.589996,607500,69.741448
"16",71.43,72.080002,71.260002,71.650002,534800,69.799903
"17",71.279999,71.279999,70.540001,70.919998,537800,69.447378
"18",70.959999,71.230003,70.699997,71.029999,430000,69.555094
"19",71.099998,71.489998,71.080002,71.150002,374800,69.672605
"20",71.019997,71.400002,70.800003,70.879997,459700,69.408207
"21",70.910004,71.160004,70.410004,70.540001,394800,69.075271
"22",70.080002,70.510002,70.080002,70.43,339400,68.967554
"23",70.260002,70.699997,70.160004,70.550003,427500,69.085065
"24",70.699997,70.839996,70.110001,70.410004,299900,68.947973
"25",70.300003,70.459999,69.849998,69.910004,383400,68.458355
"26",70.029999,70.260002,69.610001,69.959999,608200,68.507313
"27",69.849998,69.870003,69.25,69.349998,422500,67.909978
"28",69.489998,70.330002,69.360001,70.300003,812600,68.840257
"29",70.080002,70.400002,69.800003,70.269997,855300,68.810873
"30",70.25,70.330002,69.779999,70.029999,792600,68.575859
"31",70,70.160004,69.389999,69.400002,851700,67.958943
"32",69.610001,69.669998,69.25,69.370003,402500,67.929567
"33",69.18,69.489998,69.029999,69.220001,255000,67.78268
"34",69.150002,69.269997,68.599998,68.75,487700,67.322439
"35",68.879997,69.169998,68.089996,68.099998,499000,66.685934
"36",68.139999,68.370003,67.129997,67.379997,846800,65.980883
"37",67.050003,67.169998,65.720001,65.779999,830900,64.414108
"38",64.919998,66.550003,64.919998,66.370003,925400,64.991861
"39",66.440002,66.779999,66.169998,66.690002,455300,65.305216
"40",66.440002,66.900002,66.300003,66.389999,673500,65.011442
"41",66.330002,67.529999,66.330002,67.410004,792500,66.010267
"42",67.510002,67.690002,66.93,67.010002,450400,65.618571
"43",67.050003,67.860001,66.949997,67.839996,362900,66.431331
"44",67.870003,68.629997,67.870003,68.370003,515400,66.950332
"45",68.32,68.690002,68.230003,68.379997,413400,66.960119
"46",68.540001,68.540001,68.089996,68.309998,491000,66.891573
"47",68.459999,68.790001,68.32,68.75,231900,67.322439
"48",68.949997,69.360001,68.220001,68.57,369100,67.146176
"49",68.830002,69.290001,68.660004,69.07,389600,67.635794
"50",69.059998,69.540001,68.839996,69.370003,281700,67.929567
"51",69.18,69.529999,69.07,69.370003,285700,67.929567
"52",69.449997,70.25,69.440002,69.809998,370800,68.360426
"53",69.82,70.099998,69.040001,69.07,434200,67.635794
"54",69.440002,69.629997,69.169998,69.440002,356000,67.998113
"55",69.529999,69.970001,69.470001,69.739998,262600,68.29188
"56",69.660004,69.860001,69.440002,69.580002,545100,68.135206
"57",69.43,69.559998,69.199997,69.480003,425500,68.037284
"58",69.690002,69.900002,69.300003,69.690002,377400,68.242922
"59",69.720001,69.849998,69.419998,69.529999,700700,68.086241
"60",69.830002,69.940002,69.389999,69.449997,291100,68.0079
"61",69.440002,69.730003,68.980003,69.150002,284600,67.714134
"62",69.089996,69.540001,68.769997,69.540001,230900,68.096036
"63",69.290001,69.57,69,69.129997,307100,67.694545
"64",69.25,69.25,68.510002,68.660004,390500,67.234311
"65",68.57,69.040001,68.300003,68.959999,277800,67.528077
"66",68.709999,68.940002,68.529999,68.93,231900,67.498701
"67",68.760002,68.82,68.019997,68.25,262200,66.832821
"68",68.480003,68.589996,68.139999,68.379997,308600,66.960119
"69",68.370003,68.970001,68.370003,68.709999,453500,67.283268
"70",68.510002,68.620003,67.650002,67.980003,535300,66.568431
"71",68.290001,68.519997,67.760002,68.489998,412200,67.067835
"72",68.730003,68.910004,68.239998,68.25,666400,66.832821
"73",68.059998,68.139999,67.080002,67.190002,635700,65.794834
"74",67.160004,67.290001,66.470001,66.510002,964200,65.128953
"75",66.550003,67.150002,66.550003,67.040001,762900,65.647947
"76",66.940002,67.050003,65.910004,66.120003,591700,64.747052
"77",66.169998,66.5,65.800003,66.389999,418000,65.011442
"78",66.07,66.860001,66.040001,66.779999,781400,65.393344
"79",66.599998,67.25,66.57,66.900002,1070700,65.510854
"80",67.239998,67.239998,65.160004,65.610001,1520400,64.24764
"81",68,69.849998,65.779999,67.5,3522000,66.098394
"82",67.980003,68.610001,67.540001,68.519997,914500,67.097211
"83",68.809998,68.809998,67.870003,68.18,664100,66.764275
"84",68.07,68.489998,67.349998,67.360001,895800,65.961302
"85",67.050003,68.279999,66.849998,68.269997,684000,67.221642
"86",68.260002,68.779999,67.639999,67.720001,880600,66.680093
"87",67.860001,68.330002,67.620003,67.620003,659900,66.58163
"88",67.510002,68.019997,67.139999,67.150002,746500,66.118846
"89",67.550003,68.160004,67.220001,67.480003,541800,66.44378
"90",67.040001,67.330002,65.860001,66.449997,1068800,65.429591
"91",65.629997,66.410004,65.440002,66.160004,602500,65.14405
"92",66.459999,67.330002,66.209999,67.099998,1118600,66.069611
"93",67,67.970001,66.980003,67.940002,501700,66.896715
"94",68.010002,68.239998,67.599998,68.099998,862000,67.054255
"95",68.25,68.839996,68.089996,68.279999,491900,67.231491
"96",68.57,68.769997,68.139999,68.230003,351200,67.182263
"97",68.330002,69.050003,67.980003,69.019997,587500,67.960125
"98",68.790001,69.559998,68.790001,69.160004,450500,68.097982
"99",69.389999,69.769997,69.220001,69.769997,345100,68.698608
"100",69.739998,69.889999,68.620003,69.32,609600,68.255521
"101",68.970001,70.150002,68.940002,69.860001,449400,68.78723
"102",70.5,70.760002,70.099998,70.720001,593900,69.634025
"103",70.650002,71.32,70.559998,71.129997,523600,70.037725
"104",70.470001,72.089996,70.470001,71.610001,808800,70.510357
"105",72.190002,72.75,72.059998,72.599998,706400,71.485153
"106",72.599998,72.989998,72.419998,72.870003,755300,71.751011
"107",72.639999,72.849998,72.269997,72.760002,567900,71.642699
"108",72.720001,73.059998,72.419998,73.029999,351300,71.90855
"109",73.010002,73.480003,72.949997,73.220001,431300,72.095635
"110",72.779999,73.32,72.489998,73.230003,403200,72.105483
"111",73.300003,73.660004,73.110001,73.260002,394100,72.135021
"112",73.279999,73.489998,72.449997,72.540001,535300,71.426076
"113",72.540001,72.919998,72.209999,72.510002,920500,71.396538
"114",72.599998,72.760002,72.339996,72.5,894000,71.38669
"115",72.510002,72.839996,72.279999,72.800003,735300,71.682086
