"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"1",128.910004,129.630005,128.190002,129.520004,477400,127.022617
"2",128.300003,129,127.760002,128.899994,567800,126.414562
"3",128.460007,128.630005,126.510002,126.82,727600,124.374674
"4",127.080002,127.68,126.690002,127.169998,380800,124.717924
"5",126.550003,127.510002,126.309998,127.18,407100,124.727733
"6",127.150002,128.570007,126.410004,127.239998,713200,124.786574
"7",127.029999,128.070007,126.129997,127.989998,580200,125.522112
"8",127.989998,128.009995,125.260002,127.480003,1321500,125.021951
"9",127.400002,128.279999,127.279999,127.720001,944700,125.257322
"10",127.779999,127.949997,126.559998,126.989998,837300,124.541394
"11",126.260002,127.839996,125.440002,125.709999,820600,123.286076
"12",125.139999,126.309998,124.839996,125.919998,730300,123.492026
"13",126.18,126.18,124.650002,125.650002,956700,123.227235
"14",125.160004,126.059998,124.18,125.629997,1473100,123.207617
"15",125.989998,126.230003,124.699997,125.730003,870800,123.305695
"16",126.089996,127.18,125.610001,126.870003,840300,124.423713
"17",126.709999,127.019997,125.760002,126.25,597400,123.815665
"18",126.82,127.599998,126.629997,127.370003,754900,124.914072
"19",126.870003,126.940002,125.550003,125.940002,998800,123.511644
"20",125.669998,125.870003,124.540001,124.739998,715600,122.334778
"21",125.059998,125.519997,123.980003,124.480003,491300,122.079797
"22",122.919998,123.25,122.339996,122.779999,852200,120.412572
"23",122.889999,123.379997,122.050003,123.019997,871700,120.647942
"24",124.18,124.18,122.860001,123.019997,718500,120.647942
"25",123.120003,123.82,122.629997,123.489998,1081300,121.10888
"26",124.080002,124.639999,123.260002,124.620003,806500,122.217097
"27",123.379997,124,121.730003,121.919998,766800,119.569153
"28",122.459999,123.779999,122.110001,123.43,874900,121.05004
"29",123.07,123.580002,122.410004,123.010002,548600,120.63814
"30",123.879997,124.739998,123.510002,123.620003,529600,121.236379
"31",123.669998,123.690002,122.769997,123.290001,474600,120.91274
"32",123.330002,124.029999,123.010002,123.330002,804000,120.951969
"33",122.949997,123.699997,122.699997,122.93,616100,120.559681
"34",122.68,122.68,120.57,121.699997,702700,119.353394
"35",121.220001,121.589996,117.690002,117.739998,1915800,115.469751
"36",118.099998,118.809998,116.93,117.610001,1449800,115.342261
"37",116.470001,116.910004,114.889999,114.949997,1357900,112.733547
"38",114.510002,114.690002,112.769997,114.150002,1712700,111.948977
"39",114.639999,115.919998,114.309998,115.57,961600,113.341595
"40",114.730003,116.980003,114.370003,115.019997,1621600,112.802197
"41",111.639999,111.639999,105.910004,109.550003,5933300,107.437675
"42",110.349998,111.910004,109.360001,109.849998,2954200,107.731886
"43",110.300003,111.610001,109.360001,111.559998,1620300,109.408913
