"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"1",50.419998,50.630001,50.23,50.630001,796400,49.412974
"2",50.34,50.779999,50.34,50.669998,1141000,49.45201
"3",50.369999,50.369999,49.220001,49.630001,1788900,48.437012
"4",49.740002,50,49.400002,49.57,1212800,48.378453
"5",49.369999,49.720001,49,49.43,1018700,48.241819
"6",49.209999,49.689999,49.02,49.59,1096600,48.397973
"7",49.610001,49.799999,49.150002,49.759998,909900,48.563884
"8",49.709999,49.93,49.330002,49.580002,950000,48.388215
"9",49.810001,50.25,49.529999,49.93,1904300,48.7298
"10",49.900002,50.380001,49.669998,49.830002,641100,48.632205
"11",49.700001,50.130001,49.040001,49.16,1110000,47.978309
"12",49.040001,49.310001,48.799999,49.240002,756700,48.056387
"13",49.150002,49.380001,48.869999,49.360001,793500,48.173502
"14",49.380001,49.639999,49.169998,49.619999,664000,48.42725
"15",49.52,49.740002,49.080002,49.490002,1049900,48.300378
"16",49.57,49.790001,49.16,49.290001,1805200,48.105185
"17",49.23,49.540001,49.150002,49.310001,1046200,48.124704
"18",49.5,50.220001,49.450001,50.080002,722400,48.876196
"19",50.169998,50.18,49.59,49.759998,1836700,48.563884
"20",49.709999,49.84,49.259998,49.5,1564400,48.310136
"21",49.700001,49.779999,48.869999,49.009998,1813100,47.831913
"22",48.18,48.799999,48.09,48.16,4039200,47.002346
"23",46.25,46.369999,45.169998,46.150002,7617700,45.040664
"24",46.310001,46.41,45.48,45.490002,3533700,44.396529
"25",45.490002,45.580002,44.759998,44.990002,5614700,43.908547
"26",45.119999,45.57,44.84,45.52,3807200,44.425806
"27",45.209999,45.580002,45,45.029999,2576600,43.947583
"28",45.139999,45.459999,44.889999,45.360001,2274500,44.269652
"29",45.119999,45.220001,44.950001,45,1343000,43.918305
"30",45.029999,45.279999,44.810001,44.93,1995900,43.849988
"31",44.720001,44.759998,44.34,44.599998,2131200,43.771473
"32",44.869999,45.16,44.759998,45.009998,2160400,44.173857
"33",44.93,45.200001,44.799999,45.16,1681500,44.321072
