"","WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.Adjusted"
"1",44.470001,44.869999,44.470001,44.549999,1258100,43.212024
"2",44.41,44.419998,44.080002,44.09,1444900,42.76584
"3",44.049999,44.150002,43.740002,43.889999,1930800,42.571846
"4",43.919998,44.279999,43.830002,44,1212600,42.678543
"5",43.970001,44.25,43.900002,43.990002,1066700,42.668845
"6",43.880001,44.419998,43.799999,44.259998,1239500,42.930733
"7",44.259998,44.43,44.02,44.299999,1438100,42.969532
"8",44.310001,44.48,44.209999,44.369999,1453600,43.03743
"9",44.470001,44.689999,44.41,44.630001,2224200,43.289623
"10",44.689999,44.849998,44.200001,44.389999,1240900,43.05683
"11",44.310001,44.5,44.240002,44.369999,1023700,43.03743
"12",44.299999,44.5,44.18,44.459999,990100,43.124727
"13",44.43,44.57,44.310001,44.439999,961000,43.105327
"14",44.32,44.889999,44.32,44.84,2025300,43.493315
"15",44.82,44.830002,44.52,44.73,1283100,43.386618
"16",44.75,44.970001,44.560001,44.830002,1021300,43.483617
"17",44.830002,44.900002,44.369999,44.470001,926100,43.134429
"18",44.52,44.709999,44.450001,44.709999,662500,43.367219
"19",44.560001,44.700001,44.34,44.540001,1125200,43.202326
"20",44.459999,44.700001,44.389999,44.599998,1391300,43.260522
"21",44.599998,44.689999,44.07,44.240002,1809000,42.911337
"22",44,44.299999,43.830002,44.18,1064200,42.853137
"23",44.169998,44.349998,44.02,44.34,1252300,43.008332
"24",44.490002,44.490002,44.259998,44.400002,1447100,43.066531
"25",44.360001,44.619999,44.18,44.509998,1579200,43.173225
"26",44.549999,44.689999,44.389999,44.650002,930300,43.309023
"27",44.450001,44.580002,44.07,44.07,1083200,42.74644
"28",44.23,44.5,44,44.439999,834300,43.105327
"29",44.369999,44.580002,44.049999,44.48,1232700,43.144127
"30",44.549999,44.66,44.349998,44.509998,1151600,43.173225
"31",44.509998,44.57,44.279999,44.279999,794500,42.950133
"32",44.330002,44.360001,44.119999,44.310001,1221700,42.979234
"33",44.25,44.580002,44.049999,44.099998,1170700,42.775538
"34",44,44.169998,43.490002,43.889999,1506300,42.571846
"35",44.130001,45.669998,44.130001,45.59,7869600,44.220791
"36",45.689999,45.689999,45.110001,45.400002,2174800,44.036498
"37",45.23,45.349998,44.889999,44.889999,2170800,43.541813
"38",44.720001,44.84,44.290001,44.41,1800800,43.076229
"39",44.400002,44.68,44.23,44.549999,1872000,43.212024
"40",44.529999,44.82,44.330002,44.5,2882300,43.163527
"41",44.290001,44.509998,44.119999,44.23,1620500,42.901635
"42",44.400002,44.549999,43.970001,44.049999,1716800,42.727041
"43",44.110001,45.23,44.02,45.18,1666800,43.823104
"44",45.169998,45.59,45.040001,45.279999,1514800,43.9201
"45",45.240002,45.529999,45.23,45.48,1531200,44.114094
"46",45.650002,45.959999,45.580002,45.700001,1359100,44.327488
"47",45.68,45.889999,45.610001,45.849998,852200,44.47298
"48",45.900002,46.07,45.509998,45.82,1591500,44.443883
"49",45.990002,46.150002,45.869999,46.09,1365000,44.705774
"50",46.18,46.43,46.09,46.330002,947100,44.938568
"51",46.299999,46.700001,46.209999,46.68,1376600,45.278055
"52",46.639999,46.919998,46.580002,46.700001,1324400,45.297454
"53",46.700001,46.799999,46.389999,46.43,1146500,45.035563
"54",46.459999,46.689999,46.389999,46.490002,1352100,45.093762
"55",46.529999,46.740002,46.490002,46.57,978000,45.171358
"56",46.849998,47.349998,46.810001,46.959999,2361900,45.549644
"57",46.790001,46.98,46.68,46.82,1321800,45.413849
"58",46.849998,47.060001,46.700001,46.970001,1217600,45.559346
"59",46.970001,47.27,46.849998,47.259998,1517500,45.840634
"60",47,47.09,46.82,46.919998,1527100,45.874854
"61",46.93,47.209999,46.669998,46.860001,1491200,45.816193
"62",46.849998,47.18,46.810001,47.029999,2222700,45.982404
"63",47.049999,47.240002,46.959999,47.169998,1263800,46.119285
"64",47.09,47.220001,46.970001,47.009998,906800,45.962849
"65",46.990002,47.419998,46.990002,47.299999,1282800,46.24639
"66",47.119999,47.290001,47.029999,47.200001,913200,46.148619
"67",47.32,47.380001,46.509998,46.799999,1991300,45.757528
"68",46.889999,47.299999,46.740002,47.119999,1119200,46.0704
"69",47.150002,47.34,46.880001,47.25,943400,46.197505
"70",47.259998,47.549999,47.209999,47.360001,1256800,46.305055
"71",47.360001,47.5,47.169998,47.400002,1364400,46.344165
"72",47.669998,47.689999,47.290001,47.349998,1801300,46.295276
"73",47.240002,47.360001,47.07,47.110001,1189700,46.060624
"74",47.099998,47.290001,46.91,46.919998,1543000,45.874854
"75",47.040001,47.459999,46.93,47.41,1159700,46.353941
"76",47.27,47.400002,46.880001,46.900002,1349400,45.855303
"77",46.880001,47.299999,46.82,47.18,1282700,46.129064
"78",47.18,47.540001,47.110001,47.400002,1645700,46.344165
"79",47.459999,47.68,47.299999,47.529999,1517900,46.471267
"80",47.639999,47.639999,47.060001,47.150002,1810600,46.099734
"81",47.16,47.48,46.970001,47.119999,1618900,46.0704
"82",47.389999,47.619999,47.259998,47.599998,1597200,46.539707
"83",47.639999,47.790001,47.299999,47.509998,1040200,46.451712
"84",47.349998,47.360001,46.720001,46.73,1807100,45.689087
"85",46.73,47.599998,46.619999,47.580002,1596800,46.520156
