"","ANF.Open","ANF.High","ANF.Low","ANF.Close","ANF.Volume","ANF.Adjusted"
"1",40.34,40.93,40.040001,40.470001,2007800,39.323188
"2",40.5,41.299999,40.32,41.07,2064400,39.906184
"3",40.82,41.369999,40.740002,41.060001,1425200,39.896469
"4",41.18,41.880001,41.09,41.709999,1648400,40.528048
"5",41.68,42.23,41.540001,42.139999,1635700,40.945863
"6",42.25,42.900002,41.939999,42.650002,1888400,41.441413
"7",42.59,42.950001,42.150002,42.900002,1206400,41.684329
"8",43,43.34,42.470001,42.599998,1250600,41.392827
"9",43,43.150002,42.650002,42.77,2494200,41.558012
"10",42.919998,43.389999,42.869999,43.330002,1186600,42.102144
"11",43.110001,43.400002,42.52,42.740002,2170400,41.528863
"12",42.509998,43.150002,42.439999,43.049999,1099000,41.830076
"13",42.98,43.130001,41.869999,42.310001,1389600,41.111048
"14",43.02,43.880001,42.830002,43.040001,2180500,41.820361
"15",42.950001,43.43,42.93,43.25,1029400,42.024409
"16",43.27,43.75,43.139999,43.380001,1349000,42.150726
"17",43.200001,43.639999,42.5,42.580002,1089800,41.373397
"18",42.830002,43.84,42.639999,43.23,1088600,42.004976
"19",43.220001,43.610001,42.529999,42.59,823700,41.383112
"20",42.610001,42.639999,41.34,41.77,1697000,40.586349
"21",41.950001,42.799999,41.799999,42.77,1126500,41.558012
"22",42.02,42.200001,41.389999,41.689999,1447200,40.508614
"23",41.73,41.919998,41.25,41.290001,882500,40.119951
"24",41.669998,41.860001,41.18,41.459999,997600,40.285132
"25",41.560001,41.77,40.950001,41.040001,1271600,39.877036
"26",41.299999,41.380001,40.09,40.220001,1896900,39.080273
"27",40.209999,40.25,39.25,39.389999,2138300,38.273791
"28",39.610001,40.459999,39.459999,40.419998,1116600,39.274602
"29",40.310001,40.43,39.18,39.25,1247000,38.137759
"30",38.830002,39.259998,38.400002,38.509998,2936600,37.418727
"31",38.509998,39.009998,38.48,38.650002,1356900,37.554763
"32",38.810001,39.290001,38.709999,38.77,1287100,37.671361
"33",38.68,38.880001,37.990002,38.049999,1227100,36.971763
"34",37.869999,38.5,37.48,38.470001,1378400,37.379863
"35",38.470001,38.790001,38.119999,38.220001,1567800,37.136947
"36",38.400002,39.380001,38.349998,39.139999,1686900,38.030875
"37",39.080002,39.610001,38.130001,39.34,2827200,38.225208
"38",39.169998,39.630001,38.299999,38.389999,1868400,37.302128
"39",38.43,39.540001,38.290001,39.439999,1362800,38.322373
"40",39.419998,40.700001,39.150002,40.5,2312200,39.352337
"41",40.080002,41.02,39.990002,41,1531700,39.838168
"42",41.459999,41.459999,40.59,40.709999,1810500,39.556385
"43",41.099998,41.580002,40.91,41.400002,1520900,40.226835
"44",41.529999,41.759998,41.099998,41.560001,1276400,40.382301
"45",42.759998,42.759998,41.049999,41.25,1591900,40.081084
"46",41.380001,41.549999,40.32,41.110001,1343600,39.945052
