"","L.Open","L.High","L.Low","L.Close","L.Volume","L.Adjusted"
"1",43.869999,44.049999,43.82,43.860001,601500,43.598274
"2",43.779999,43.849998,43.439999,43.540001,836700,43.280184
"3",43.439999,43.68,43.419998,43.59,976600,43.329885
"4",43.639999,43.700001,43.389999,43.52,786200,43.260303
"5",43.470001,43.57,43.18,43.23,1271700,42.972032
"6",43.18,43.34,43.049999,43.32,943700,43.061495
"7",43.27,43.66,43.110001,43.619999,1240700,43.359704
"8",43.709999,43.830002,43.529999,43.779999,1331200,43.51875
"9",43.990002,44.07,43.689999,43.799999,1751000,43.538631
"10",43.779999,43.939999,43.57,43.630001,992300,43.369647
"11",43.5,43.959999,43.5,43.73,1340100,43.469049
"12",43.66,44.009998,43.509998,43.849998,1174000,43.588332
"13",43.740002,43.830002,43.5,43.650002,1008200,43.389528
"14",43.57,44.099998,43.57,43.799999,4349400,43.538631
"15",43.799999,44.09,43.599998,44.009998,1620400,43.747377
"16",44.200001,44.59,44.060001,44.400002,1366500,44.135053
"17",44.279999,44.310001,43.639999,43.73,1153300,43.469049
"18",44.07,44.23,43.950001,44.029999,777200,43.767258
"19",43.869999,44.110001,43.669998,44.09,1226500,43.826901
"20",44,44.169998,44,44.049999,1197600,43.787139
"21",44.099998,44.279999,43.869999,44.049999,1052700,43.787139
"22",43.880001,43.880001,43.630001,43.720001,793100,43.45911
"23",43.580002,43.700001,43.400002,43.610001,741600,43.349766
"24",43.91,44.07,43.82,43.889999,1057000,43.628094
"25",43.970001,44.209999,43.869999,44.16,1105500,43.896483
"26",44.279999,44.360001,44.02,44.25,1008100,43.985946
"27",44.200001,44.330002,43.68,43.759998,1041300,43.498868
"28",43.830002,44.490002,43.700001,44.41,1707000,44.144991
"29",44.299999,44.450001,44.02,44.299999,724500,44.035647
"30",44.41,44.5,43.889999,43.900002,1060000,43.638036
"31",44,44.220001,43.919998,44,868300,43.737438
"32",44.130001,44.130001,43.790001,43.849998,911800,43.588332
"33",43.650002,43.790001,43.52,43.619999,997300,43.359704
"34",43.540001,43.580002,43.220001,43.470001,829700,43.210602
"35",43.490002,43.549999,43.150002,43.27,1131100,43.011795
"36",43.299999,43.490002,42.84,43.009998,1113800,42.753344
"37",42.700001,42.830002,42.110001,42.130001,1335700,41.878598
"38",41.990002,42.439999,41.849998,42.25,1271300,41.997881
"39",42.099998,42.48,41.889999,42.290001,1454600,42.037643
"40",42.25,42.630001,41.970001,42.110001,1504600,41.858717
"41",42.040001,42.509998,42.02,42.139999,1060000,41.888537
"42",42.259998,42.439999,41.639999,41.73,1028300,41.480983
"43",41.720001,42.110001,41.57,42.099998,877300,41.848774
"44",42.130001,42.389999,42.040001,42.150002,770100,41.898479
"45",42.150002,42.220001,41.880001,41.93,1578400,41.679791
"46",42.16,42.330002,42.009998,42.130001,944700,41.878598
"47",42.110001,42.400002,42.110001,42.310001,934100,42.057524
"48",42.5,42.540001,41.919998,42.220001,1157300,41.968061
"49",42.389999,42.41,42,42.189999,1487400,41.938237
"50",42.189999,42.490002,42.07,42.310001,1192600,42.057524
"51",42.330002,42.77,42.18,42.720001,898300,42.465077
"52",42.779999,43.240002,42.689999,43.18,850800,42.922331
"53",43.150002,43.27,43.029999,43.060001,1323900,42.803049
"54",43.279999,43.57,43.080002,43.560001,994800,43.300065
"55",43.599998,43.709999,43.529999,43.669998,1354800,43.409405
"56",43.610001,43.720001,43.509998,43.59,1161900,43.392485
"57",43.369999,43.689999,43.330002,43.549999,922000,43.352665
"58",43.650002,43.75,43.459999,43.740002,1038200,43.541807
"59",43.810001,43.82,43.52,43.599998,946100,43.402438
"60",43.830002,43.889999,43.5,43.540001,727800,43.342712
"61",43.540001,43.68,43.34,43.360001,1437500,43.163528
"62",43.290001,43.459999,43.189999,43.450001,1281400,43.25312
"63",43.419998,43.459999,43.040001,43.119999,1055600,42.924613
"64",43,43.099998,42.73,42.82,1007100,42.625974
"65",42.77,42.919998,42.66,42.82,894600,42.625974
"66",42.599998,42.82,42.57,42.599998,1161800,42.406969
"67",42.509998,42.549999,42.23,42.41,1042800,42.217831
"68",42.349998,42.439999,42.16,42.43,3339400,42.237741
"69",42.380001,42.509998,42.259998,42.43,1211800,42.237741
"70",42.450001,42.639999,42.25,42.419998,1146200,42.227784
"71",42.5,43.139999,42.450001,43.02,1302900,42.825068
"72",43.259998,43.279999,42.799999,42.889999,1784900,42.695656
"73",42.740002,42.84,42.48,42.52,841000,42.327334
"74",42.419998,42.549999,42.049999,42.049999,853400,41.859462
"75",42.009998,42.43,42.009998,42.380001,862500,42.187969
"76",42.23,42.290001,41.790001,41.790001,837900,41.600642
"77",41.810001,42.27,41.630001,42.25,892700,42.058557
"78",41.849998,42.189999,41.759998,41.98,654100,41.78978
"79",41.990002,42.060001,41.630001,41.66,830500,41.47123
"80",41.66,41.889999,41.220001,41.330002,1533400,41.142727
"81",41.209999,41.549999,40.950001,41.450001,905000,41.262182
"82",41.650002,41.970001,41.549999,41.810001,706400,41.620552
"83",41.919998,42.02,41.720001,41.889999,967900,41.700187
"84",41.59,41.869999,41.240002,41.240002,1134300,41.053135
"85",41.310001,41.759998,41.02,41.759998,1313400,41.570775
"86",41.669998,41.82,40.869999,40.900002,2385800,40.714675
"87",40.939999,41.130001,40.509998,40.549999,2066100,40.366259
