"","JCP.Open","JCP.High","JCP.Low","JCP.Close","JCP.Volume","JCP.Adjusted"
"1",8.66,8.93,8.61,8.87,12907800,8.87
"2",8.85,8.85,8.63,8.69,8550700,8.69
"3",8.65,8.8,8.45,8.46,15107500,8.46
"4",8.49,8.64,8.45,8.61,9725600,8.61
"5",8.59,8.67,8.47,8.64,9191000,8.64
"6",8.59,8.91,8.59,8.88,13819400,8.88
"7",8.91,9.13,8.88,9.03,18224700,9.03
"8",9.08,9.19,8.95,9.03,7748800,9.03
"9",9.07,9.09,8.86,9,9724000,9
"10",9.08,9.1,8.66,8.69,15505500,8.69
"11",8.68,8.85,8.54,8.55,13739400,8.55
"12",8.53,8.7,8.51,8.55,9930200,8.55
"13",8.55,8.76,8.49,8.74,16572900,8.74
"14",8.71,9.06,8.66,8.95,21506300,8.95
"15",8.91,9.15,8.88,9.05,15931900,9.05
"16",9.11,9.18,9.01,9.07,14759300,9.07
"17",9.29,9.52,9.22,9.36,25849400,9.36
"18",9.44,9.44,9.16,9.25,6300800,9.25
"19",9.2,9.23,8.95,9.07,11754200,9.07
"20",9.02,9.05,8.74,8.76,15476700,8.76
"21",8.81,9.09,8.8,8.94,10097800,8.94
"22",8.72,8.9,8.68,8.74,10154400,8.74
"23",8.8,8.89,8.68,8.75,8975700,8.75
"24",8.79,8.79,8.53,8.61,12036700,8.61
"25",8.62,8.68,8.5,8.55,9089400,8.55
"26",8.56,8.79,8.51,8.7,11930400,8.7
"27",8.66,8.69,8.52,8.56,9467000,8.56
"28",8.59,8.73,8.45,8.58,13427200,8.58
"29",8.59,8.69,8.49,8.66,8909800,8.66
"30",8.68,8.74,8.58,8.65,9817700,8.65
"31",8.66,8.79,8.59,8.77,10196000,8.77
"32",8.8,9.07,8.78,9.06,16512300,9.06
"33",9,9.28,9,9.19,14411500,9.19
"34",9.2,9.33,9.15,9.22,10846000,9.22
"35",9.23,9.32,9.17,9.23,10378500,9.23
"36",9.3,9.4,9.21,9.38,12209400,9.38
"37",9.3,9.56,9.25,9.38,16373200,9.38
"38",9.44,9.78,9.42,9.63,22097700,9.63
"39",9.71,9.71,9.08,9.24,14599100,9.24
"40",9.25,9.43,9,9.08,13435100,9.08
"41",9.06,9.15,8.95,8.98,11557800,8.98
"42",9.12,9.27,9.03,9.2,10594200,9.2
"43",9.34,9.45,9.13,9.37,11196600,9.37
"44",9.51,9.64,9.34,9.59,18331300,9.59
"45",9.58,9.65,9.36,9.46,13198300,9.46
"46",9.41,9.41,9.18,9.35,23746400,9.35
"47",9.42,9.74,9.26,9.74,54016700,9.74
"48",10,10.14,9.27,9.5,96014300,9.5
"49",9.54,9.88,9.38,9.87,32351600,9.87
"50",9.93,10.44,9.93,10.25,49003900,10.25
"51",10.25,10.47,10.19,10.33,31672500,10.33
"52",10.37,10.54,10.06,10.17,22593000,10.17
"53",10.24,10.29,10.03,10.19,15069500,10.19
"54",10.43,10.78,10.41,10.69,29355500,10.69
"55",10.71,10.88,10.59,10.8,14910300,10.8
