"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume","NUE.Adjusted"
"211",47.689999,48.400002,47.549999,48.220001,1845500,47.839747
"212",48.02,48.110001,47.279999,47.360001,1971000,46.986528
"213",47.619999,48,47.130001,47.810001,2117900,47.432981
"214",48.18,48.91,47.970001,48.52,2541500,48.137381
"215",48.509998,48.509998,47.349998,47.380001,2240400,47.006371
"216",46.98,47,46.049999,46.41,2603800,46.044019
"217",46.619999,47.549999,46.619999,47.380001,1916200,47.006371
"218",47.290001,47.77,46.740002,46.810001,1610500,46.440866
"219",47.009998,47.029999,46.400002,46.82,1894000,46.450786
"220",46.669998,48.630001,46.240002,48.419998,3339200,48.038167
"221",48.66,48.990002,47.869999,48.110001,2596000,47.730614
"222",48.450001,49.279999,48.450001,48.599998,2607300,48.216748
"223",48.709999,49.599998,48.68,49.560001,2931900,49.16918
"224",48.950001,49.560001,48.709999,49.189999,2005800,48.802095
"225",48.900002,49.389999,48.650002,48.860001,3100400,48.4747
"226",49.299999,49.400002,48.43,49,2214400,48.613595
"227",49.259998,49.439999,48.939999,49.220001,2376500,48.831861
"228",49.389999,49.810001,48.759998,48.900002,1763400,48.514385
"229",49.16,49.43,48.41,48.59,1847800,48.206828
"230",48.259998,48.73,47.830002,48.66,1235200,48.276276
"231",49.310001,49.389999,48.84,48.900002,1719100,48.514385
"232",49,49.130001,48.650002,48.93,1600600,48.544147
"233",48.889999,48.959999,48.32,48.330002,1890600,47.94888
"234",48.52,49.07,48.450001,48.759998,1448700,48.375486
"235",49.23,49.650002,49.049999,49.599998,2588300,49.208862
"236",49.639999,49.779999,49.25,49.32,1237500,48.931071
"237",49.099998,49.330002,48.799999,49.049999,1177900,48.6632
"238",48.799999,48.93,47.740002,47.950001,1955800,47.571876
"239",47.810001,48.279999,47.700001,48.060001,1278200,47.681009
"240",48.139999,48.209999,47.52,47.77,1355600,47.393295
"241",47.720001,48.34,47.200001,48.099998,1752100,47.720691
"242",47.880001,47.950001,47.009998,47.189999,1337400,46.817867
"243",47.150002,47.900002,47.07,47.810001,1337600,47.432981
"244",47.48,47.630001,47.209999,47.580002,961000,47.204795
"245",47.470001,47.740002,47.290001,47.299999,1451600,46.927
"246",47.580002,48,47,47.59,1721400,47.214714
"247",47.75,49.59,47.619999,49.41,3087700,49.020362
"248",49.349998,50.700001,49.27,49.77,3568000,49.377524
"249",49.34,49.799999,48.779999,49.060001,1668100,48.673123
"250",49.080002,49.25,48.669998,48.919998,1155000,48.534224
"251",48.869999,49.16,48.400002,48.52,1590900,48.137381
"252",48.59,48.830002,48.290001,48.310001,1335900,47.929038
"253",48.869999,49.119999,48.669998,48.900002,1252600,48.514385
