"","DO.Open","DO.High","DO.Low","DO.Close","DO.Volume","DO.Adjusted"
"223",29.629999,30.4,29.6,29.99,803500,29.879515
"224",29.969999,31.719999,29.9,31.6,1614900,31.483585
"225",32.009998,33.529999,31.23,33.470001,2870800,33.346696
"226",33.139999,33.919998,32.75,33.470001,2930000,33.346696
"227",33.419998,33.880001,31.76,33.099998,3555300,32.978057
"228",33.720001,35.950001,33.360001,34.59,5848500,34.462569
"229",35.880001,35.880001,33.919998,34.810001,2937800,34.68176
"230",34.5,34.57,32.82,33.209999,2046000,33.087652
"231",32.990002,33.849998,32.25,33.799999,1731200,33.675479
"232",33.66,33.709999,32.77,33.16,1311800,33.037837
"233",33.209999,34.099998,32.740002,33.93,1613900,33.805001
"234",33.970001,34.700001,33.720001,34.48,1240500,34.48
"235",34.389999,34.900002,33.349998,33.470001,1093200,33.470001
"236",33.330002,33.59,32.630001,33.119999,1381200,33.119999
"237",33.139999,33.630001,32.360001,33.48,1603000,33.48
"238",32.700001,33.009998,31.629999,31.809999,1773200,31.809999
"239",32.080002,32.18,31.5,31.76,1460200,31.76
"240",32.029999,32.919998,31.870001,32.5,1627300,32.5
"241",31.9,32.740002,31.700001,32.529999,1109300,32.529999
"242",31.91,32.549999,31.08,31.15,1584900,31.15
"243",30.98,31.559999,30.66,31.049999,1064000,31.049999
"244",30.889999,31.209999,30.129999,30.639999,1088300,30.639999
"245",30.719999,31.120001,30.290001,30.34,1146100,30.34
"246",30.280001,30.43,29.92,30.09,1156400,30.09
"247",30.41,31.73,30.389999,31.35,1734500,31.35
"248",31.17,31.83,30.24,30.280001,1638500,30.280001
"249",29.879999,30.32,29.34,29.719999,1188100,29.719999
"250",29.540001,30.93,29.450001,30.24,1002900,30.24
"251",30.15,30.52,29.82,29.870001,725900,29.870001
"252",30.280001,30.58,29.530001,29.559999,979200,29.559999
"253",30.120001,30.540001,29.98,30.280001,812400,30.280001
