"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"1",79.599998,80,79.470001,79.809998,2459200,78.209156
"2",79.760002,80.339996,79.419998,80.169998,2733500,78.561936
"3",79.779999,80,79.099998,79.440002,2560000,78.212427
"4",79.339996,79.370003,78.599998,79.18,2265200,77.956443
"5",79.18,79.209999,77.809998,78,4542900,76.794677
"6",77.900002,78.25,77.529999,78.169998,3430900,76.962048
"7",78.169998,79.370003,77.779999,79.209999,4823000,77.985978
"8",79.349998,80.790001,79.260002,80.510002,4538600,79.265892
"9",80.830002,81.489998,80.459999,81.410004,7366500,80.151986
"10",81.389999,81.650002,80.980003,81.489998,3066900,80.230744
"11",81.43,82.389999,81.419998,81.739998,4685500,80.476881
"12",81.349998,82.379997,80.809998,82.339996,3629200,81.067608
"13",82.480003,82.480003,81.660004,82.290001,2915900,81.018385
"14",81.690002,82.110001,81.309998,82,4755600,80.732865
"15",82.279999,82.540001,81.599998,81.75,3916100,80.486729
"16",81.739998,82.349998,81.650002,81.889999,5482400,80.624565
"17",81.800003,82.519997,81.07,82.489998,3693500,81.215291
"18",82.589996,83.440002,82.32,83.349998,2183400,82.062002
"19",82.989998,83.099998,81.790001,82.220001,2558500,80.949467
"20",82.019997,82.07,81.379997,81.93,2967300,80.663947
"21",81.980003,82.75,81.889999,82.739998,3079500,81.461428
"22",81.279999,82.510002,81.050003,82.080002,3829400,80.811631
"23",81.919998,83.129997,81.730003,82.870003,2758400,81.589424
"24",83.330002,84.690002,83.209999,84.269997,3794500,82.967784
"25",84.040001,84.739998,83.730003,83.900002,4356300,82.603506
"26",84.07,84.129997,83.220001,83.760002,3955200,82.46567
"27",84.25,87.239998,83.43,85.110001,7117900,83.794808
"28",85.470001,85.779999,84.43,85.519997,3892100,84.198468
"29",85.220001,85.290001,84.029999,85.059998,4025100,83.745577
"30",85.519997,86.760002,85.470001,86.050003,4366900,84.720284
"31",86.309998,86.550003,85.769997,85.940002,2596300,84.611983
"32",85.449997,86.330002,85.290001,85.68,4022400,84.355999
"33",84.120003,85.010002,84,84.68,3362600,83.371452
"34",85.029999,85.900002,84.599998,85.75,2206900,84.424917
"35",84.959999,85.559998,83.989998,84.269997,4897800,82.967784
"36",84.760002,84.870003,81.720001,82.949997,7171800,81.668182
"37",81.769997,82.18,80.550003,81.050003,5345400,79.797549
"38",81.139999,82.07,80.559998,81.489998,4625100,80.230744
"39",81.589996,82.529999,81.160004,82.269997,3197700,80.99869
"40",81.830002,82.529999,80.57,80.989998,4599500,79.738471
"41",80.949997,82.120003,80.739998,81.5,3311300,80.240592
"42",81,81.089996,79.160004,79.260002,5465400,78.035208
"43",79.410004,80.190002,78.739998,80.120003,3713400,78.881919
"44",80.389999,80.650002,79.760002,79.870003,3460000,78.635783
"45",79.610001,80.389999,79.529999,80.220001,3206200,78.980373
"46",80.620003,81.669998,80.389999,81.510002,3049900,80.250439
"47",81.709999,82.07,80.160004,81.82,2241100,80.555647
"48",82.209999,82.279999,80.809998,81.470001,2442700,80.211057
"49",81.769997,82.480003,81.349998,82.339996,2795800,81.067608
"50",82.489998,83.760002,82.050003,83.470001,3549300,82.180151
"51",82.940002,83.75,82.360001,83.43,2579600,82.140768
"52",83.610001,84.099998,83.589996,83.769997,2648500,82.47551
"53",83.599998,84,83.459999,83.779999,2089300,82.485358
"54",84.389999,84.75,83.949997,84.239998,1988100,82.938249
"55",84.449997,85.339996,84.150002,85.120003,2267800,83.804655
"56",85.18,86.970001,84.959999,86.379997,5800700,85.045179
"57",86,87,85.519997,86.339996,2749700,85.005796
"58",86.75,87.230003,86.349998,86.68,3297500,85.340546
"59",87.120003,87.220001,85.760002,86.389999,3726100,85.055027
"60",86.779999,87.349998,86.419998,86.790001,2824400,85.448847
"61",86.760002,88.449997,86.709999,87.059998,3650100,85.714671
"62",86.949997,87.800003,86.739998,87.75,3873500,86.394011
"63",87.699997,88,87.419998,87.910004,2298000,86.551543
"64",88,88.849998,87.489998,88.559998,4409400,87.191492
"65",88.440002,88.5,86.690002,87.25,3355800,86.267026
