"","CTAS.Open","CTAS.High","CTAS.Low","CTAS.Close","CTAS.Volume","CTAS.Adjusted"
"1",63.59,63.68,63.330002,63.619999,299000,62.10566
"2",63.439999,63.84,62.990002,63.299999,437600,61.793277
"3",63.119999,63.34,62.810001,63.040001,304600,61.539468
"4",63.16,63.43,62.970001,63.110001,290000,61.607801
"5",62.970001,63.360001,62.860001,63.09,394500,61.588277
"6",62.93,63.689999,62.709999,63.43,284000,61.920184
"7",63.310001,63.599998,62.990002,63.509998,339900,61.998278
"8",63.41,63.869999,63.200001,63.860001,345900,62.339949
"9",64.139999,64.32,63.799999,64.099998,1152900,62.574234
"10",64.239998,64.25,63.009998,63.18,461100,61.676135
"11",63.119999,63.240002,62.439999,62.529999,566800,61.041605
"12",62.220001,63.009998,62.220001,62.970001,297400,61.471134
"13",63.099998,63.330002,62.509998,62.650002,280000,61.158751
"14",62.299999,63.09,62.299999,63.02,1426500,61.519943
"15",62.93,63.57,62.75,63.540001,512300,62.027566
"16",63.630001,64.400002,63.48,64.029999,492600,62.505901
"17",64.010002,64.239998,63.610001,63.900002,252900,62.378998
"18",63.970001,64.440002,63.82,64.370003,165400,62.837812
"19",64.269997,64.269997,63.669998,63.889999,363700,62.369234
"20",63.939999,64.07,63.330002,63.5,345000,61.988517
"21",63.73,64.449997,63.27,63.619999,238800,62.10566
"22",62.77,63.279999,62.220001,63.16,238500,61.65661
"23",63.110001,63.130001,62.48,62.560001,495300,61.070893
"24",62.990002,63.59,62.990002,63.240002,408600,61.734708
"25",63.240002,63.560001,62.59,62.849998,527300,61.353988
"26",63.349998,64.910004,63,64.510002,1145200,62.974479
"27",64.160004,64.440002,63.360001,63.450001,624200,61.939708
"28",63.709999,64.139999,63.41,64.040001,569000,62.515665
"29",63.84,64.010002,63.580002,63.77,469800,62.252091
"30",64.230003,64.470001,63.860001,64.379997,516500,62.847568
"31",64.269997,64.379997,63.970001,64.029999,340800,62.505901
"32",64.330002,64.489998,64.010002,64.110001,218700,62.583998
"33",64.010002,64.290001,63.369999,63.52,351400,62.008042
"34",63.419998,63.709999,62.990002,63.560001,280200,62.047091
"35",63.529999,63.799999,63.099998,63.119999,259700,61.617561
"36",63.439999,64.080002,62.93,63.400002,322600,61.890899
"37",63.07,63.07,62.490002,62.599998,390900,61.109938
"38",62.349998,62.91,62.240002,62.599998,387000,61.109938
"39",62.860001,64.099998,62.599998,63.990002,913800,62.466856
"40",63.610001,64.25,63.130001,63.560001,693500,62.047091
"41",63.040001,63.349998,62.75,62.990002,476300,61.490658
"42",63.200001,63.540001,62.860001,63.110001,370300,61.607801
"43",63.299999,64.480003,62.919998,64.400002,456200,62.867096
"44",64.769997,65.290001,64.43,65,736300,63.452813
"45",65,65.440002,64.860001,65.269997,720900,63.716383
"46",65.410004,65.580002,65.32,65.510002,448600,63.950676
"47",65.459999,65.709999,65.400002,65.5,356300,63.940912
"48",63.849998,65.860001,62.650002,65.379997,564600,63.823765
"49",65.699997,66.089996,65.650002,65.830002,775800,64.263058
"50",65.870003,66.019997,65.75,65.889999,460100,64.321628
"51",65.959999,66.029999,65.650002,65.959999,463500,64.389961
"52",65.959999,66.040001,65.720001,65.910004,556900,64.341156
"53",65.75,66.190002,65.410004,65.730003,606600,64.16544
"54",66.150002,66.25,65.849998,66.059998,253000,64.48758
"55",66.260002,66.389999,65.940002,66.019997,328000,64.448531
"56",66.010002,66.220001,65.639999,65.830002,223600,64.263058
"57",65.540001,66.110001,65.419998,65.879997,218000,64.311864
"58",66.150002,66.5,65.620003,66.139999,413500,64.565677
"59",66.419998,66.879997,66.129997,66.629997,454400,65.044012
"60",66.910004,67.110001,66.300003,66.360001,305200,64.780442
"61",66.660004,66.849998,66.379997,66.559998,615200,64.975678
"62",66.379997,66.800003,66.129997,66.660004,431600,65.073304
"63",66.470001,66.779999,66.07,66.32,299000,64.741393
"64",66.360001,66.660004,66.050003,66.349998,440100,64.770678
"65",66.440002,66.5,65.989998,66.419998,207300,64.839011
"66",66.040001,66.529999,65.830002,66.449997,242600,64.868296
"67",66.349998,66.480003,66.050003,66.339996,298100,64.760914
"68",66.589996,67.190002,66.330002,66.870003,564400,65.278304
"69",66.709999,67.099998,66.199997,66.860001,467900,65.26854
"70",67.129997,67.239998,66.449997,66.919998,434300,65.32711
