"","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume","AIZ.Adjusted"
"1",68.650002,68.970001,68.419998,68.57,755000,67.408024
"2",68.449997,68.620003,68.139999,68.169998,448000,67.0148
"3",68.199997,68.260002,67.510002,67.629997,652100,66.48395
"4",67.730003,68.029999,67.18,67.529999,909400,66.385646
"5",67.330002,67.449997,66.879997,66.919998,605200,65.785983
"6",66.910004,67.809998,66.800003,67.449997,680700,66.307
"7",67.449997,67.839996,66.870003,67.709999,520400,66.562596
"8",67.779999,67.980003,67.120003,67.980003,517800,66.828025
"9",68.019997,68.279999,67.690002,68.120003,541100,66.965652
"10",68.139999,68.360001,67.660004,67.910004,383800,66.759212
"11",67.68,68.510002,67.330002,67.349998,340300,66.208696
"12",66.839996,67.080002,65.900002,66.290001,874300,65.166661
"13",66.330002,66.330002,65.690002,66.169998,462200,65.048692
"14",65.730003,66.139999,65.169998,65.589996,807000,64.478519
"15",65.650002,66.129997,65.260002,65.550003,575300,64.439203
"16",65.980003,66.839996,65.790001,66.279999,550100,65.156829
"17",66.199997,66.410004,65.279999,65.449997,644800,64.340892
"18",65.93,66.360001,65.269997,66.110001,995200,64.989711
"19",66.089996,66.629997,65.900002,66.25,840500,65.127338
"20",66.059998,66.190002,65.519997,66,826400,64.881575
"21",66.220001,66.330002,65.080002,65.470001,926300,64.360557
"22",64.419998,65.970001,64.419998,65.760002,682800,64.645644
"23",65.540001,66.190002,65.160004,66.040001,567200,64.920898
"24",66.389999,66.75,66.110001,66.169998,368400,65.048692
"25",66.290001,66.660004,66.029999,66.339996,341500,65.215809
"26",66.419998,66.639999,65.849998,66.099998,398900,64.979879
"27",65.599998,65.830002,64.690002,64.839996,505900,63.741228
"28",65.080002,65.75,64.940002,65.690002,347100,64.57683
"29",65.330002,65.760002,65.199997,65.599998,334100,64.488351
"30",65.690002,65.940002,65.480003,65.769997,483200,64.655469
"31",65.699997,66,65.5,65.830002,382600,64.714457
"32",66.639999,66.989998,64.889999,65.790001,689800,64.675134
"33",65.540001,66.169998,65.440002,65.910004,524600,64.793103
"34",65.809998,66.510002,65.690002,66.389999,510400,65.264965
"35",66.379997,66.449997,65.190002,65.199997,566600,64.095128
"36",65.239998,65.510002,64.330002,64.669998,376400,63.574111
"37",64.480003,64.580002,63.27,63.360001,593400,62.286312
