"","WYN.Open","WYN.High","WYN.Low","WYN.Close","WYN.Volume","WYN.Adjusted"
"152",84.360001,84.830002,83.650002,84.559998,1086200,83.746308
"153",84.559998,85.470001,83.910004,84.099998,711000,83.290735
"154",83.860001,85.059998,83.470001,85.010002,720700,84.191982
"155",85.309998,85.769997,83.949997,84.900002,670100,84.08304
"156",84.620003,85.580002,84.25,84.830002,572900,84.013714
"157",85.209999,88.150002,85.209999,87.959999,1126600,87.113592
"158",88.150002,88.410004,87.169998,87.230003,932300,86.390621
"159",87.330002,87.669998,86.580002,87.260002,925400,86.420331
"160",86.300003,87.220001,85.760002,86.550003,594900,85.717164
"161",86.900002,86.940002,84.690002,84.839996,809900,84.023612
"162",84.730003,85.849998,84.209999,85.559998,652000,84.736685
"163",84.629997,84.860001,83.699997,83.790001,995200,82.98372
"164",83.389999,83.389999,79.550003,81.980003,2782900,81.19114
"165",82.129997,83.620003,82,83.440002,1448100,82.63709
"166",83.120003,83.830002,82.339996,82.769997,1157800,81.973531
"167",83.129997,83.870003,82.739998,83.480003,718700,82.676706
"168",83.339996,83.739998,81.730003,82.050003,1828500,81.260466
"169",81.379997,81.800003,80.139999,81.010002,2419600,80.230473
"170",85.339996,88.639999,85.150002,88.07,3987900,87.222534
"171",89,89.32,87.559998,88.989998,1901000,88.13368
"172",89.919998,90,88.980003,89.639999,1165600,88.777427
"173",89.739998,90.919998,89.739998,90.57,996400,89.698478
"174",90.5,91.160004,89.900002,90.110001,964100,89.242905
"175",90.199997,91.419998,89.959999,91.389999,1234800,90.510587
"176",91.809998,92.239998,91.160004,91.349998,668500,90.470971
"177",91.220001,91.940002,90.699997,91.769997,676700,90.886928
"178",91.629997,92.239998,91.449997,91.919998,687400,91.035486
"179",91.800003,92.010002,91.010002,91.440002,812500,90.560109
"180",91.790001,92.580002,91.559998,92.059998,696500,91.174138
"181",92.089996,92.239998,91.230003,91.809998,702100,90.926544
"182",91.879997,92.610001,91.300003,91.480003,1228400,90.599725
"183",91.809998,94.349998,91.599998,94.110001,938200,93.204415
"184",93.68,93.940002,92.389999,92.75,831100,91.857501
"185",92.269997,92.610001,91.309998,91.699997,1004800,90.817601
"186",92.110001,92.169998,91.260002,91.339996,903600,90.461065
"187",91.099998,91.330002,89.559998,89.730003,970300,88.866564
"188",90.050003,90.900002,89.639999,90.830002,1060200,89.955978
"189",89.870003,90.059998,89.099998,89.25,960500,88.39118
"190",89.25,89.709999,88.760002,89.040001,614900,88.60014
"191",89.290001,90.199997,89.110001,89.769997,606900,89.32653
"192",89.489998,89.839996,88.910004,89.589996,888700,89.147419
"193",90.010002,90.790001,89.699997,90.57,774300,90.122581
"194",90.309998,90.639999,89.949997,89.959999,631300,89.515594
"195",89.43,90.910004,89.07,90.480003,954200,90.033029
"196",90.379997,91.610001,90.290001,91.529999,854900,91.077838
"197",91.639999,92.339996,91.639999,92.120003,1332700,91.664927
"198",91.82,92.690002,91.400002,91.410004,806200,90.958435
"199",91.349998,91.900002,90.489998,90.580002,655100,90.132534
"200",90.529999,90.900002,88.989998,88.989998,812700,88.550384
"201",88.470001,90.650002,87.919998,90.25,1677800,89.804162
"202",90.260002,91.699997,90.040001,91.419998,1065800,90.96838
"203",91.910004,92.089996,90.720001,90.879997,790800,90.431047
"204",90.559998,91.449997,90.150002,90.470001,583800,90.023076
"205",90.040001,90.529999,88.75,90.510002,1009100,90.06288
"206",90.720001,91.739998,90.410004,91.43,706400,90.978333
"207",90.660004,92.129997,90.269997,91.589996,777100,91.137539
"208",92,92,90.470001,90.540001,627100,90.09273
"209",90.860001,91.739998,90.389999,91.150002,839100,90.699718
"210",91.220001,91.989998,90.800003,91.589996,464000,91.137539
"211",91.349998,91.660004,90.559998,90.900002,624900,90.450953
"212",90.68,91.440002,90.190002,91.190002,734300,90.739521
"213",91.110001,91.150002,90.230003,90.989998,632600,90.540504
"214",91.129997,91.449997,90.449997,90.82,804200,90.371346
"215",90.669998,91.18,89.809998,90.519997,677200,90.072825
"216",89.809998,89.910004,88.690002,89.32,809800,88.878756
"217",89.660004,89.769997,88.739998,89.489998,1083500,89.047914
"218",90.099998,90.360001,89.25,90.230003,739200,89.784264
"219",90.480003,90.910004,89.120003,90.730003,564200,90.281794
"220",90.660004,91.459999,90.360001,90.769997,766400,90.32159
"221",91.110001,91.43,90.519997,91.330002,649100,90.878829
"222",91.900002,92,90.010002,90.099998,1419800,89.654902
"223",90,90.550003,86.050003,86.379997,2572700,85.953277
"224",86.290001,88.68,85.870003,86.110001,2307900,85.684614
"225",86.169998,86.349998,84.830002,85.400002,1366700,84.978123
"226",85.760002,86.75,85.760002,86.5,795000,86.072687
"227",86.599998,87.120003,85.480003,85.839996,899200,85.415944
"228",85.660004,85.959999,84.809998,85.5,1238400,85.077627
"229",85.660004,86.370003,84.510002,85.110001,900200,84.689554
"230",84.68,85.940002,84.68,85.760002,1036800,85.336345
"231",86.75,88.300003,86.040001,86.709999,1073900,86.281649
"232",86.720001,87.860001,86.400002,87.230003,1517400,86.799084
"233",86.839996,87.050003,86.239998,86.510002,719200,86.08264
"234",86.599998,87.139999,85.599998,85.699997,839100,85.276636
"235",86.099998,87.139999,86,87.059998,733200,86.629918
"236",87.459999,88.010002,86.239998,86.599998,839800,86.172192
"237",86.559998,87.510002,86.419998,87.150002,621800,86.719478
