"","WIN.Open","WIN.High","WIN.Low","WIN.Close","WIN.Volume","WIN.Adjusted"
"1",9.749942,9.749942,9.649934,9.669959,2632400,13.297993
"2",9.679942,9.679942,9.609943,9.629935,3093800,13.242953
"3",9.619958,9.669959,9.599959,9.669959,2432300,13.297993
"4",9.649934,9.829956,9.649934,9.799948,2862300,13.476752
"5",9.829956,9.929932,9.829956,9.929932,2992200,13.655504
"6",9.949956,10.089961,9.939947,9.979938,4625100,13.724272
"7",10.009946,10.039954,9.929932,10.039954,2517100,13.806805
"8",10.039954,10.089961,9.99993,10.089961,2138200,13.875574
"9",10.119937,10.199952,10.099944,10.149944,6978700,13.958062
"10",10.169943,10.219944,10.129952,10.189936,3661400,14.013058
"11",10.199952,10.209935,10.059953,10.109953,5348800,13.903067
"12",10.129952,10.129952,9.979938,10.069936,5163300,13.848036
"13",9.799948,9.839939,9.689958,9.819941,4087000,13.848027
"14",9.729949,9.859932,9.65995,9.859932,6283000,13.904423
"15",9.859932,9.979938,9.849949,9.959939,4644200,14.045452
"16",9.919948,9.989953,9.899955,9.949956,5323000,14.031373
"17",9.959939,9.979938,9.829956,9.88994,7681600,13.946739
"18",9.879957,10.009946,9.859932,9.969955,3071700,14.059576
"19",9.989953,10.069936,9.969955,10.029945,2634000,14.144174
"20",9.99993,10.049938,9.959939,10.019962,3699000,14.130095
"21",10.049938,10.049938,9.939947,10.029945,4309100,14.144174
"22",9.979938,10.079945,9.979938,10.049938,4168600,14.172367
"23",10.009946,10.089961,9.99993,10.079945,1891600,14.214684
"24",10.089961,10.129952,10.039954,10.099944,3042800,14.242886
"25",10.149944,10.179953,10.069936,10.139936,4815300,14.299282
"26",10.179953,10.22996,10.139936,10.179953,3942400,14.355714
"27",10.129952,10.179953,10.059953,10.089961,4175900,14.228808
"28",10.119937,10.22996,10.089961,10.169943,2104600,14.341599
"29",10.169943,10.249951,10.139936,10.249951,3765400,14.454426
"30",10.249951,10.379941,10.219944,10.379941,3449900,14.637736
"31",10.379941,10.439957,10.299958,10.319951,2970900,14.553139
"32",10.399934,10.439957,10.319951,10.439957,3095700,14.722371
"33",10.419933,10.569947,10.419933,10.459956,2796700,14.750573
"34",10.459956,10.539939,10.399934,10.529955,4029900,14.849285
"35",13.189915,13.299937,11.539927,11.82994,73473500,16.682517
"36",11.70994,11.769924,11.209924,11.32993,18090900,15.977406
"37",11.209924,11.519934,11.12994,11.459945,9614100,16.160752
"38",11.369953,11.499936,11.32993,11.439952,6013900,16.132558
"39",11.379936,11.529944,11.32993,11.489928,8165800,16.203033
"40",11.419928,11.659933,11.399929,11.579951,6426300,16.329984
"41",11.59995,11.609933,11.32993,11.549943,6999500,16.287666
"42",11.289938,11.399929,10.659938,11.159955,7530200,15.737707
"43",11.139956,11.229955,11.039949,11.199946,5041200,15.794104
"44",11.239938,11.289938,11.119931,11.289938,4158700,15.921009
"45",11.269945,11.369953,11.249946,11.309937,3676000,15.949212
"46",11.369953,11.439952,11.239938,11.319946,2779100,15.963327
"47",11.289938,11.419928,11.189931,11.399929,4006200,16.076117
"48",11.399929,11.519934,11.359938,11.359938,3470800,16.019723
"49",11.449936,11.579951,11.319946,11.359938,2926100,16.019723
"50",11.409944,11.489928,11.25993,11.319946,2965200,15.963327
"51",11.339945,11.419928,11.229955,11.249946,3507500,15.864613
"52",11.229955,11.309937,11.12994,11.209924,3590400,15.808174
"53",11.219939,11.249946,11.109949,11.249946,2382100,15.864613
"54",11.279929,11.379936,11.249946,11.32993,2271000,15.977406
"55",11.319946,11.409944,11.209924,11.229955,2548200,15.836421
"56",11.239938,11.299953,11.199946,11.239938,2866900,15.8505
"57",11.229955,11.349929,11.189931,11.32993,2851600,15.977406
"58",11.339945,11.349929,11.239938,11.309937,4314100,15.949212
"59",11.319946,11.319946,10.999958,11.049932,6402400,15.582555
"60",11.079941,11.239938,11.059942,11.149939,4551900,15.723584
"61",11.179947,11.209924,11.12994,11.139956,3326900,15.709505
"62",11.149939,11.32993,11.109949,11.289938,3562000,15.921009
"63",11.289938,11.32993,11.199946,11.319946,2560000,15.963327
"64",11.299953,11.319946,11.209924,11.289938,3474700,15.921009
"65",11.32993,11.339945,11.109949,11.139956,3368500,15.709505
"66",11.139956,11.309937,11.119931,11.309937,2902800,15.949212
"67",11.309937,11.339945,11.039949,11.069925,3201000,15.610748
"68",11.119931,11.189931,11.039949,11.159955,3060900,15.737707
"69",11.149939,11.349929,11.139956,11.299953,3319600,15.935133
"70",11.299953,11.359938,11.239938,11.279929,2450600,15.906894
"71",11.369953,11.369953,11.219939,11.229955,2433800,15.836421
"72",11.269945,11.319946,11.189931,11.279929,5066000,15.906894
"73",11.279929,11.359938,11.219939,11.279929,2515500,15.906894
"74",11.299953,11.339945,11.209924,11.229955,2338800,15.836421
"75",11.239938,11.25993,11.139956,11.239938,1948500,15.8505
"76",11.239938,11.25993,11.059942,11.059942,3397300,15.59667
"77",10.879951,10.889935,10.549948,10.859959,4727800,15.66882
"78",10.709945,10.839929,10.539939,10.639945,5124900,15.351382
"79",10.62993,10.799943,10.579956,10.779944,3859500,15.553373
"80",10.739954,10.789959,10.649955,10.689946,3482500,15.423524
