"","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume","MCK.Adjusted"
"198",230.220001,232.690002,229.259995,230.259995,927800,230.026842
"199",229.880005,231.270004,228.300003,228.399994,667600,228.168724
"200",228.259995,230.229996,225.520004,225.520004,956800,225.291651
"201",225.139999,229.220001,223.619995,226.050003,1297000,225.821113
"202",225.589996,227.860001,225.100006,226.110001,814100,225.88105
"203",228,229.5,226.789993,229.139999,539300,228.907981
"204",228.300003,230.289993,226.199997,226.199997,769900,225.970955
"205",226.029999,226.509995,221.259995,222.710007,1224800,222.484499
"206",222.600006,224.919998,222.059998,223.520004,736200,223.293676
"207",222.020004,225.699997,222.020004,224.429993,793600,224.202743
"208",225.139999,225.869995,221.619995,221.839996,813900,221.615369
"209",221.630005,222.520004,219.509995,222.490005,1483000,222.26472
"210",222.570007,224.479996,221.679993,223.279999,1142000,223.053914
"211",222.960007,224.899994,222.669998,224.339996,701700,224.112838
"212",224.429993,226.740005,223.949997,223.970001,834500,223.743217
"213",224.190002,226.259995,222.490005,226.009995,949200,225.781145
"214",226.559998,227.880005,225.240005,225.660004,711900,225.431509
"215",226,227.610001,224.860001,226.570007,835500,226.340591
"216",225.149994,228.410004,223.360001,228.029999,1454400,227.799104
"217",229.020004,231.429993,228.5,229.229996,1107800,228.997886
"218",230.75,231.639999,229.919998,231.289993,937300,231.055797
"219",231.229996,231.899994,230.369995,231.270004,801700,231.035829
"220",229.649994,230.259995,227.449997,229.110001,1635200,228.878012
"221",229.210007,230.570007,227.789993,229.199997,808600,228.967917
"222",230.559998,230.800003,226.800003,227.169998,912000,226.939974
"223",226.880005,228.600006,224.199997,228.520004,852100,228.288613
"224",227,228.970001,224.850006,225.399994,1268200,225.171762
"225",225.720001,228.699997,222.720001,223.399994,1317300,223.173787
"226",224.330002,225.5,222.419998,224.940002,889500,224.712236
"227",225.410004,227.130005,225.029999,225.899994,643800,225.671256
"228",225.240005,225.789993,222.240005,222.779999,838300,222.55442
"229",222.470001,223.929993,221.039993,222.899994,918200,222.674293
"230",223.100006,224.919998,222.490005,223.820007,798000,223.593375
"231",226.070007,229.570007,225.279999,229.080002,1061900,228.848044
"232",228.860001,230.330002,227.669998,228.539993,821700,228.308582
"233",227.669998,230.029999,226.130005,229.550003,1448800,229.317569
"234",232.970001,236,231.770004,232.380005,2055500,232.144705
"235",234.050003,239.580002,233.820007,239.479996,1462700,239.237507
"236",239.399994,240.899994,239.139999,239.929993,955800,239.687048
"237",240.440002,242.889999,239.970001,242.75,1012600,242.5042
"238",243.610001,243.610001,242,242.600006,828500,242.354358
"239",242.350006,243.440002,240.990005,241.800003,765400,241.555165
"240",241.009995,241.419998,238.460007,239.440002,1361300,239.197554
"241",239.449997,241.740005,239,240.610001,728700,240.366368
"242",239.440002,240.899994,237.059998,237.860001,929600,237.619152
"243",237.5,239.619995,237.100006,239.199997,770500,238.957792
"244",238.339996,239.600006,237.309998,237.839996,832300,237.599168
"245",238.889999,239.449997,237.039993,237.229996,1289300,236.989785
"246",237.429993,239.190002,235.570007,238.270004,641600,238.028741
"247",237.899994,239.080002,235.339996,236.619995,817900,236.380402
"248",236.649994,237.929993,235.600006,237.020004,557600,236.780006
"249",235.940002,237.059998,234.020004,234.720001,650300,234.720001
"250",234.520004,235.610001,233.009995,235.449997,620600,235.449997
"251",235,236,233.419998,233.419998,819300,233.419998
"252",234.020004,234.600006,232.759995,234,675400,234
"253",234.039993,236.199997,232.899994,235.949997,711600,235.949997
