"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"1",103.470001,104.120003,102.769997,104.099998,5792100,101.278867
"2",103.809998,104.150002,103.129997,103.32,5960500,100.520006
"3",103.18,103.209999,102.510002,102.529999,5930700,99.751415
"4",102.510002,102.650002,102.169998,102.529999,4301600,99.751415
"5",102.519997,102.889999,101.839996,102.449997,5645500,99.673581
"6",102.129997,102.199997,101.379997,101.93,4834600,99.167676
"7",101.910004,102.830002,101.860001,102.809998,5445000,100.023826
"8",102.93,103.870003,102.809998,103.809998,5481500,100.996725
"9",104.370003,105.480003,104.07,105.269997,12459700,102.417158
"10",104.910004,105.120003,104.440002,104.75,6063200,101.911253
"11",104.629997,105.230003,104.550003,104.589996,5915000,101.755586
"12",104.230003,105.870003,104.230003,105.760002,6411100,102.893884
"13",105.839996,105.970001,105.029999,105.650002,5106900,102.786865
"14",105.470001,105.589996,104.449997,104.989998,6463000,102.144747
"15",105.620003,106,104.519997,104.620003,6944200,101.784779
"16",105.150002,106,104.989998,105.870003,5129200,103.000904
"17",105.699997,105.970001,105.300003,105.860001,3764900,102.991173
"18",105.870003,106.25,105.110001,105.419998,4199100,102.563095
"19",105.419998,106.739998,105.269997,106.470001,7014900,103.584642
"20",106.209999,106.25,105.519997,105.720001,6268400,102.854967
"21",106,106.209999,105.720001,106.040001,5720900,103.166295
"22",105.080002,106,104.519997,105.800003,4955100,102.932801
"23",105.839996,106.010002,104.860001,105.099998,5461000,102.251767
"24",105.379997,105.489998,105.110001,105.379997,7784800,102.524178
"25",105.230003,105.470001,102.769997,103.279999,14219700,100.48109
"26",103.529999,103.669998,101.949997,102.220001,11946800,99.449818
"27",101.900002,102.099998,100.260002,100.370003,11218900,97.649955
"28",100.669998,101.959999,100.370003,101.800003,8408400,99.041202
"29",101.440002,101.580002,101.019997,101.269997,6379900,98.525559
"30",101.910004,102.540001,101.779999,102.470001,6554100,99.693043
"31",102.800003,102.93,101.879997,102.190002,4815300,99.420632
"32",102.339996,102.730003,102.019997,102.199997,5177200,99.430356
"33",102.269997,102.400002,101.800003,102.110001,3951500,99.342799
"34",101.889999,102.400002,101.660004,102.110001,4634800,99.342799
"35",102.449997,102.510002,101.690002,101.959999,6053900,99.196862
"36",102.269997,102.849998,101.809998,102.300003,5994800,99.527652
"37",101.769997,101.839996,100.050003,100.089996,9141500,97.377537
"38",99.760002,100.410004,98.800003,99.900002,8610700,97.192691
"39",99.989998,100.379997,99.32,100.160004,6790800,97.445647
"40",99.830002,100.239998,99.550003,99.82,6230900,97.114857
"41",99.669998,100.830002,99.599998,100.709999,7412100,97.980737
"42",101.089996,101.190002,99.580002,99.93,7417800,97.221877
"43",100.209999,101.150002,99.769997,101.080002,5618400,98.340713
"44",101.620003,101.779999,101.010002,101.160004,5703000,98.418547
"45",101,101.220001,100.309998,100.629997,4577700,97.902904
"46",101.150002,101.949997,101.150002,101.739998,4563700,98.982823
"47",101.889999,102.050003,101.5,102.019997,5239400,99.255234
"48",102.209999,102.440002,100.800003,101.169998,6986000,98.42827
"49",101.919998,102.720001,101.75,102.699997,5979500,99.916806
